Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,<>,source
0:0:0:0,9597.339615,0,0,0,0,33 12 (33.0:15.0)[false-Van]:10 18 (10.0:55.0)[false-Van]:7 2 (7.0:71.0)[false-City Cargo Bike]:22 15 (22.0:19.0)[false-City Cargo Bike]:18 4 (18.0:19.0)[false-Van]:11 23 (11.0:23.0)[false-Walker]:13 21 (13.0:57.0)[true-Van]:15 14 (15.0:65.0)[false-City Cargo Bike]:25 13 (25.0:19.0)[false-City Cargo Bike]:21 20 (21.0:41.0)[false-Van]:6 18 (6.0:33.0)[false-City Cargo Bike]:2 1 (2.0:1.0)[false-City Cargo Bike]:3 14 (3.0:87.0)[true-Van]:5 11 (5.0:93.0)[false-City Cargo Bike]:9 7 (9.0:93.0)[false-Walker]:35 23 (35.0:71.0)[false-City Cargo Bike]:29 15 (29.0:59.0)[false-City Cargo Bike]:8 22 (8.0:29.0)[false-City Cargo Bike]:12 12 (12.0:19.0)[true-Van]:19 19 (19.0:21.0)[false-City Cargo Bike]:32 21 (32.0:61.0)[false-City Cargo Bike]:16 9 (16.0:69.0)[false-Van]:20 2 (20.0:67.0)[false-Walker]:4 15 (4.0:69.0)[false-Van]:17 10 (17.0:3.0)[false-City Cargo Bike]:14 2 (14.0:5.0)[false-City Cargo Bike]:23 11 (23.0:15.0)[false-Van]:28 8 (28.0:25.0)[false-Walker]:34 2 (34.0:31.0)[false-City Cargo Bike]:36 11 (36.0:91.0)[false-Walker]:24 6 (24.0:79.0)[false-Van]:27 13 (27.0:29.0)[false-Van]:30 18 (30.0:27.0)[false-Van]:31 11 (31.0:21.0)[false-Van]:26 19 (26.0:27.0)[false-City Cargo Bike]:,SOL:R:Van:33:10:7:22:18:11::R:Van:13:15:25:21:6:2::R:Van:3:5:9:35:29:8::R:Van:12:19:32:16:20:4:17:14::R:Van:23:28:34:36:24:27:30:31:26:,9597.339615,5,47986.69807,144560.0942,600,143960.0942,6132.013644,885.7060727,4130.288406,1371.048516,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,init
0:0:0:1,-1,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:2,-1,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:3,-1,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:4,-1,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:0,11848.90359,0,0,1,0,10 18 (10.0:55.0)[true-Van]:25 13 (25.0:19.0)[false-Walker]:2 1 (2.0:1.0)[false-Van]:3 14 (3.0:87.0)[true-Van]:5 11 (5.0:93.0)[false-Walker]:9 7 (9.0:93.0)[false-City Cargo Bike]:4 15 (4.0:69.0)[false-City Cargo Bike]:8 22 (8.0:29.0)[false-City Cargo Bike]:19 19 (19.0:21.0)[true-Van]:21 20 (21.0:41.0)[false-City Cargo Bike]:7 2 (7.0:71.0)[false-City Cargo Bike]:36 11 (36.0:91.0)[false-Van]:6 18 (6.0:33.0)[false-Van]:17 10 (17.0:3.0)[true-Van]:22 15 (22.0:19.0)[false-City Cargo Bike]:33 12 (33.0:15.0)[false-City Cargo Bike]:26 19 (26.0:27.0)[false-City Cargo Bike]:28 8 (28.0:25.0)[false-City Cargo Bike]:34 2 (34.0:31.0)[false-Van]:31 11 (31.0:21.0)[false-Walker]:23 11 (23.0:15.0)[false-City Cargo Bike]:14 2 (14.0:5.0)[false-City Cargo Bike]:13 21 (13.0:57.0)[true-Van]:30 18 (30.0:27.0)[false-Van]:32 21 (32.0:61.0)[false-City Cargo Bike]:29 15 (29.0:59.0)[false-City Cargo Bike]:18 4 (18.0:19.0)[false-Walker]:12 12 (12.0:19.0)[true-City Cargo Bike]:27 13 (27.0:29.0)[false-Van]:15 14 (15.0:65.0)[false-City Cargo Bike]:16 9 (16.0:69.0)[false-City Cargo Bike]:24 6 (24.0:79.0)[false-City Cargo Bike]:20 2 (20.0:67.0)[false-City Cargo Bike]:35 23 (35.0:71.0)[false-Walker]:11 23 (11.0:23.0)[false-City Cargo Bike]:,SOL:R:Van::R:Van:10:25:2::R:Van:3:5:9:4:8::R:Van:19:21:7:36:6::R:Van:17:22:33:26:28:34:31:23:14::R:Van:13:30:32:29:18::R:City Cargo Bike:12::R:Van:27:15:16:24:20:35:11:,11848.90359,8,52741.23738,161715.0244,890,160825.0244,6121.987495,NaN,4620.429268,1506.892497,88,0,0,13,97,0,0,3,89,0,0,11,97,0,0,3,AddRoute:CargoBike:simple
0:0:1:1,62449.23003,0,0,1,1,6 18 (6.0:33.0)[false-Van]:2 1 (2.0:1.0)[false-City Cargo Bike]:11 23 (11.0:23.0)[false-Van]:4 15 (4.0:69.0)[true-Van]:16 9 (16.0:69.0)[false-City Cargo Bike]:21 20 (21.0:41.0)[false-City Cargo Bike]:22 15 (22.0:19.0)[false-City Cargo Bike]:17 10 (17.0:3.0)[false-City Cargo Bike]:19 19 (19.0:21.0)[false-City Cargo Bike]:8 22 (8.0:29.0)[false-City Cargo Bike]:12 12 (12.0:19.0)[false-City Cargo Bike]:9 7 (9.0:93.0)[false-City Cargo Bike]:20 2 (20.0:67.0)[false-City Cargo Bike]:5 11 (5.0:93.0)[false-City Cargo Bike]:24 6 (24.0:79.0)[false-City Cargo Bike]:7 2 (7.0:71.0)[false-City Cargo Bike]:25 13 (25.0:19.0)[true-Van]:13 21 (13.0:57.0)[false-Walker]:10 18 (10.0:55.0)[false-City Cargo Bike]:33 12 (33.0:15.0)[false-City Cargo Bike]:26 19 (26.0:27.0)[false-City Cargo Bike]:23 11 (23.0:15.0)[false-Van]:27 13 (27.0:29.0)[true-City Cargo Bike]:3 14 (3.0:87.0)[false-City Cargo Bike]:32 21 (32.0:61.0)[false-City Cargo Bike]:35 23 (35.0:71.0)[true-City Cargo Bike]:34 2 (34.0:31.0)[false-City Cargo Bike]:28 8 (28.0:25.0)[false-City Cargo Bike]:18 4 (18.0:19.0)[false-Van]:14 2 (14.0:5.0)[false-City Cargo Bike]:36 11 (36.0:91.0)[true-Van]:29 15 (29.0:59.0)[false-Van]:15 14 (15.0:65.0)[false-City Cargo Bike]:30 18 (30.0:27.0)[false-City Cargo Bike]:31 11 (31.0:21.0)[false-Walker]:,SOL:R:Van:6:2:11::R:Van:4:16:21:22:17:19::R:City Cargo Bike:8::R:City Cargo Bike:12::R:City Cargo Bike:9:20::R:City Cargo Bike:5::R:City Cargo Bike:24:7::R:Van:25:13:10:33:26:23::R:City Cargo Bike:27::R:City Cargo Bike:3::R:City Cargo Bike:32::R:City Cargo Bike:35::R:City Cargo Bike:34:28::R:Van:18:14::R:Van:36:29:15:30:31:,62449.23003,15,55934.75516,271428.8235,1100,270328.8235,6085.110109,1923.799149,7755.109242,1598.135862,33,0,0,67,63,0,0,37,18,0,0,82,68,0,0,32,DelRoute:LargeVan:simple
0:0:1:2,-1,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:3,-1,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:4,-1,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:2:0,27652.06604,0,0,2,0,10 18 (10.0:55.0)[true-Van]:2 1 (2.0:1.0)[false-Van]:3 14 (3.0:87.0)[true-Van]:5 11 (5.0:93.0)[false-Walker]:9 7 (9.0:93.0)[false-City Cargo Bike]:4 15 (4.0:69.0)[false-City Cargo Bike]:8 22 (8.0:29.0)[false-City Cargo Bike]:19 19 (19.0:21.0)[true-Van]:21 20 (21.0:41.0)[true-Walker]:22 15 (22.0:19.0)[false-City Cargo Bike]:7 2 (7.0:71.0)[false-City Cargo Bike]:34 2 (34.0:31.0)[false-Van]:17 10 (17.0:3.0)[true-Walker]:33 12 (33.0:15.0)[false-City Cargo Bike]:6 18 (6.0:33.0)[false-Van]:36 11 (36.0:91.0)[false-Van]:26 19 (26.0:27.0)[false-City Cargo Bike]:28 8 (28.0:25.0)[false-City Cargo Bike]:31 11 (31.0:21.0)[false-Walker]:23 11 (23.0:15.0)[false-City Cargo Bike]:14 2 (14.0:5.0)[false-City Cargo Bike]:13 21 (13.0:57.0)[true-Van]:30 18 (30.0:27.0)[false-Van]:25 13 (25.0:19.0)[false-Walker]:32 21 (32.0:61.0)[false-City Cargo Bike]:29 15 (29.0:59.0)[false-City Cargo Bike]:18 4 (18.0:19.0)[false-Walker]:12 12 (12.0:19.0)[true-City Cargo Bike]:27 13 (27.0:29.0)[false-Van]:15 14 (15.0:65.0)[false-City Cargo Bike]:16 9 (16.0:69.0)[false-City Cargo Bike]:24 6 (24.0:79.0)[false-City Cargo Bike]:20 2 (20.0:67.0)[false-City Cargo Bike]:35 23 (35.0:71.0)[false-Walker]:11 23 (11.0:23.0)[false-City Cargo Bike]:,SOL:R:Van::R:Van:10:2::R:Van:3:5:9:4:8::R:Van:19::R:Walker:21::R:City Cargo Bike:22::R:City Cargo Bike:7:34::R:Walker:17::R:City Cargo Bike:33::R:Van:6:36:26:28:31:23:14::R:Van:13:30:25:32:29:18::R:City Cargo Bike:12::R:Van:27:15:16:24:20:35:11:,27652.06604,13,52904.37458,193995.506,1140,192855.506,6087.863133,NaN,5542.728742,1511.553559,54,15,0,31,80,6,0,14,38,21,0,41,83,7,0,10,init
