Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,,source
0:0:0:0,-1.0,0,0,0,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:1:0,62243.46966102761,0,0,1,0,2 20 (2.0:1.0)[true-Van]:38 23 (38.0:23.0)[false-Walker]:39 8 (39.0:13.0)[false-City Cargo Bike]:20 16 (20.0:13.0)[false-City Cargo Bike]:13 22 (13.0:11.0)[false-Walker]:4 5 (4.0:23.0)[false-Walker]:8 2 (8.0:41.0)[false-Van]:3 14 (3.0:97.0)[true-Walker]:29 9 (29.0:73.0)[false-City Cargo Bike]:27 12 (27.0:47.0)[false-City Cargo Bike]:6 22 (6.0:3.0)[true-Van]:7 25 (7.0:5.0)[false-Walker]:23 5 (23.0:11.0)[false-City Cargo Bike]:44 13 (44.0:13.0)[false-City Cargo Bike]:26 16 (26.0:3.0)[false-City Cargo Bike]:9 18 (9.0:51.0)[false-Walker]:47 18 (47.0:97.0)[false-City Cargo Bike]:17 24 (17.0:71.0)[true-City Cargo Bike]:10 10 (10.0:67.0)[true-Walker]:32 2 (32.0:11.0)[false-City Cargo Bike]:25 8 (25.0:77.0)[false-City Cargo Bike]:11 26 (11.0:89.0)[false-Walker]:5 11 (5.0:77.0)[false-Van]:12 14 (12.0:71.0)[false-Walker]:36 13 (36.0:37.0)[false-City Cargo Bike]:46 16 (46.0:53.0)[false-City Cargo Bike]:40 16 (40.0:47.0)[false-City Cargo Bike]:41 9 (41.0:45.0)[false-City Cargo Bike]:45 7 (45.0:37.0)[false-City Cargo Bike]:15 11 (15.0:57.0)[false-Walker]:14 9 (14.0:85.0)[true-Van]:22 8 (22.0:87.0)[false-City Cargo Bike]:42 14 (42.0:83.0)[false-City Cargo Bike]:43 4 (43.0:69.0)[false-City Cargo Bike]:48 16 (48.0:75.0)[false-Van]:31 10 (31.0:89.0)[false-Walker]:34 20 (34.0:95.0)[false-City Cargo Bike]:16 18 (16.0:57.0)[false-Walker]:24 12 (24.0:21.0)[false-City Cargo Bike]:18 15 (18.0:61.0)[false-Walker]:19 23 (19.0:39.0)[true-Walker]:37 25 (37.0:33.0)[false-City Cargo Bike]:21 14 (21.0:43.0)[false-City Cargo Bike]:28 15 (28.0:53.0)[false-City Cargo Bike]:30 2 (30.0:81.0)[false-City Cargo Bike]:35 3 (35.0:63.0)[false-City Cargo Bike]:33 3 (33.0:27.0)[false-City Cargo Bike]:,SOL:R:Van::R:Van:2:38:39:20:13:4:8::R:Walker:3::R:City Cargo Bike:29::R:City Cargo Bike:27::R:Van:6:7:23:44:26:9::R:City Cargo Bike:47::R:City Cargo Bike:17::R:Walker:10::R:City Cargo Bike:32:25::R:Walker:11::R:Van:5:12:36:46:40:41:45:15::R:Van:14:22:42:43:48:31:34:16::R:City Cargo Bike:24::R:Walker:18::R:Walker:19::R:City Cargo Bike:37::R:City Cargo Bike:21::R:City Cargo Bike:28::R:City Cargo Bike:30:35:33:,62243.46966102761,20.0,29599.744384921014,202796.27472284986,1350.0,201446.27472284986,5756.19579491004,NaN,4314.814355805316,629.7817954238513,25.0,25.0,0.0,50.0,62.0,11.0,0.0,28.0,10.0,28.0,0.0,63.0,62.0,14.0,0.0,23.0,RndSwap:simple
0:0:1:1,84199.37757626736,0,0,1,1,5 11 (5.0:77.0)[false-Van]:16 18 (16.0:57.0)[false-City Cargo Bike]:4 5 (4.0:23.0)[false-City Cargo Bike]:6 22 (6.0:3.0)[false-City Cargo Bike]:7 25 (7.0:5.0)[false-City Cargo Bike]:9 18 (9.0:51.0)[false-Van]:11 26 (11.0:89.0)[true-Van]:12 14 (12.0:71.0)[false-City Cargo Bike]:36 13 (36.0:37.0)[false-City Cargo Bike]:19 23 (19.0:39.0)[false-City Cargo Bike]:15 11 (15.0:57.0)[true-City Cargo Bike]:10 10 (10.0:67.0)[false-City Cargo Bike]:13 22 (13.0:11.0)[false-City Cargo Bike]:17 24 (17.0:71.0)[false-Walker]:48 16 (48.0:75.0)[false-Walker]:18 15 (18.0:61.0)[false-City Cargo Bike]:20 16 (20.0:13.0)[false-City Cargo Bike]:22 8 (22.0:87.0)[false-City Cargo Bike]:30 2 (30.0:81.0)[false-City Cargo Bike]:23 5 (23.0:11.0)[true-City Cargo Bike]:33 3 (33.0:27.0)[false-Walker]:2 20 (2.0:1.0)[false-City Cargo Bike]:26 16 (26.0:3.0)[false-City Cargo Bike]:3 14 (3.0:97.0)[false-City Cargo Bike]:28 15 (28.0:53.0)[true-City Cargo Bike]:14 9 (14.0:85.0)[false-Van]:29 9 (29.0:73.0)[false-City Cargo Bike]:34 20 (34.0:95.0)[false-City Cargo Bike]:31 10 (31.0:89.0)[false-City Cargo Bike]:42 14 (42.0:83.0)[false-Van]:43 4 (43.0:69.0)[false-Van]:46 16 (46.0:53.0)[false-Walker]:27 12 (27.0:47.0)[false-City Cargo Bike]:8 2 (8.0:41.0)[false-City Cargo Bike]:38 23 (38.0:23.0)[false-Van]:32 2 (32.0:11.0)[false-Van]:39 8 (39.0:13.0)[false-City Cargo Bike]:45 7 (45.0:37.0)[false-City Cargo Bike]:35 3 (35.0:63.0)[false-Van]:37 25 (37.0:33.0)[false-City Cargo Bike]:40 16 (40.0:47.0)[false-Van]:21 14 (21.0:43.0)[false-City Cargo Bike]:44 13 (44.0:13.0)[true-Walker]:25 8 (25.0:77.0)[true-City Cargo Bike]:47 18 (47.0:97.0)[false-City Cargo Bike]:41 9 (41.0:45.0)[false-City Cargo Bike]:24 12 (24.0:21.0)[false-City Cargo Bike]:,SOL:R:Van:5:16:4:6:7:9::R:Van:11:12:36:19::R:City Cargo Bike:15::R:City Cargo Bike:10::R:City Cargo Bike:13::R:Walker:17::R:Walker:48::R:City Cargo Bike:18::R:City Cargo Bike:20::R:City Cargo Bike:22:30::R:City Cargo Bike:23:33::R:City Cargo Bike:2::R:City Cargo Bike:26::R:City Cargo Bike:3::R:City Cargo Bike:28::R:Van:14:29:34:31:42:43:46:27:8::R:Van:38:32:39:45:35:37:40:21::R:Walker:44::R:City Cargo Bike:25::R:City Cargo Bike:47::R:City Cargo Bike:41::R:City Cargo Bike:24:,84199.37757626736,22.0,32340.662884099693,253864.47865119396,1380.0,252484.47865119396,5880.045753799014,2199.2792644988263,5401.371886195616,688.0992102999935,18.0,14.0,0.0,68.0,57.0,6.0,0.0,36.0,8.0,18.0,0.0,75.0,59.0,8.0,0.0,33.0,DelRoute:LargeVan:simple
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
