Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,z,source
0:0:0:0,-1.0,0,0,0,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:1:0,53653.79320519261,0,0,1,0,14 7 (14.0:75.0)[false-City Cargo Bike]:15 8 (15.0:49.0)[false-City Cargo Bike]:5 23 (5.0:39.0)[false-City Cargo Bike]:2 14 (2.0:95.0)[false-City Cargo Bike]:8 5 (8.0:87.0)[false-City Cargo Bike]:42 6 (42.0:17.0)[false-City Cargo Bike]:22 3 (22.0:49.0)[false-City Cargo Bike]:7 6 (7.0:29.0)[false-City Cargo Bike]:9 1 (9.0:75.0)[false-City Cargo Bike]:4 16 (4.0:15.0)[false-City Cargo Bike]:44 21 (44.0:7.0)[false-City Cargo Bike]:39 2 (39.0:81.0)[false-City Cargo Bike]:17 8 (17.0:89.0)[false-Van]:31 20 (31.0:63.0)[false-City Cargo Bike]:16 21 (16.0:85.0)[false-Van]:24 17 (24.0:93.0)[false-City Cargo Bike]:33 14 (33.0:67.0)[false-City Cargo Bike]:41 10 (41.0:93.0)[false-City Cargo Bike]:27 16 (27.0:47.0)[false-City Cargo Bike]:20 19 (20.0:45.0)[false-City Cargo Bike]:23 26 (23.0:63.0)[false-City Cargo Bike]:19 20 (19.0:79.0)[true-Van]:32 12 (32.0:41.0)[false-City Cargo Bike]:30 22 (30.0:33.0)[false-City Cargo Bike]:28 20 (28.0:29.0)[false-City Cargo Bike]:12 14 (12.0:17.0)[false-City Cargo Bike]:6 12 (6.0:55.0)[false-City Cargo Bike]:34 25 (34.0:41.0)[true-Van]:35 17 (35.0:49.0)[false-City Cargo Bike]:21 13 (21.0:93.0)[false-City Cargo Bike]:26 8 (26.0:89.0)[false-Walker]:18 24 (18.0:89.0)[false-City Cargo Bike]:10 13 (10.0:65.0)[false-City Cargo Bike]:29 12 (29.0:13.0)[false-City Cargo Bike]:25 22 (25.0:39.0)[true-Van]:45 24 (45.0:35.0)[false-City Cargo Bike]:36 19 (36.0:57.0)[false-Van]:38 15 (38.0:83.0)[false-City Cargo Bike]:11 20 (11.0:73.0)[false-City Cargo Bike]:43 11 (43.0:89.0)[true-Van]:37 20 (37.0:45.0)[false-City Cargo Bike]:40 9 (40.0:57.0)[false-City Cargo Bike]:13 18 (13.0:39.0)[false-City Cargo Bike]:3 1 (3.0:45.0)[false-City Cargo Bike]:,SOL:R:City Cargo Bike:14::R:City Cargo Bike:15::R:City Cargo Bike:5::R:City Cargo Bike:2::R:City Cargo Bike:8::R:City Cargo Bike:42:22::R:City Cargo Bike:7:9::R:City Cargo Bike:4::R:City Cargo Bike:44::R:City Cargo Bike:39:17::R:City Cargo Bike:31::R:Van:16:24:33:41:27:20::R:City Cargo Bike:23::R:Van:19:32:30:28:12:6::R:Van:34:35:21:26:18:10::R:City Cargo Bike:29::R:Van:25:45:36:38:11::R:Van:43:37:40:13:3:,53653.79320519261,18.0,41113.362714698495,215452.32946860135,1250.0,214202.32946860135,5023.819826657772,1638.9634858584918,4896.643851559122,934.3946071522386,28.0,0.0,0.0,72.0,64.0,0.0,0.0,36.0,15.0,0.0,0.0,85.0,72.0,0.0,0.0,28.0,RndSwap:simple
0:0:1:1,87288.28255240926,0,0,1,1,3 1 (3.0:45.0)[false-Van]:7 6 (7.0:29.0)[false-City Cargo Bike]:4 16 (4.0:15.0)[false-Van]:35 17 (35.0:49.0)[false-City Cargo Bike]:31 20 (31.0:63.0)[false-City Cargo Bike]:15 8 (15.0:49.0)[false-City Cargo Bike]:6 12 (6.0:55.0)[false-City Cargo Bike]:25 22 (25.0:39.0)[false-City Cargo Bike]:23 26 (23.0:63.0)[false-City Cargo Bike]:8 5 (8.0:87.0)[false-City Cargo Bike]:22 3 (22.0:49.0)[false-City Cargo Bike]:24 17 (24.0:93.0)[false-City Cargo Bike]:30 22 (30.0:33.0)[false-City Cargo Bike]:10 13 (10.0:65.0)[false-City Cargo Bike]:2 14 (2.0:95.0)[false-City Cargo Bike]:11 20 (11.0:73.0)[false-City Cargo Bike]:12 14 (12.0:17.0)[false-City Cargo Bike]:37 20 (37.0:45.0)[false-City Cargo Bike]:14 7 (14.0:75.0)[false-City Cargo Bike]:26 8 (26.0:89.0)[false-City Cargo Bike]:13 18 (13.0:39.0)[false-City Cargo Bike]:16 21 (16.0:85.0)[false-Van]:17 8 (17.0:89.0)[false-City Cargo Bike]:18 24 (18.0:89.0)[false-City Cargo Bike]:21 13 (21.0:93.0)[false-City Cargo Bike]:43 11 (43.0:89.0)[false-City Cargo Bike]:9 1 (9.0:75.0)[false-City Cargo Bike]:20 19 (20.0:45.0)[false-City Cargo Bike]:33 14 (33.0:67.0)[false-City Cargo Bike]:27 16 (27.0:47.0)[false-City Cargo Bike]:28 20 (28.0:29.0)[false-City Cargo Bike]:41 10 (41.0:93.0)[false-City Cargo Bike]:29 12 (29.0:13.0)[false-City Cargo Bike]:19 20 (19.0:79.0)[false-City Cargo Bike]:40 9 (40.0:57.0)[false-City Cargo Bike]:5 23 (5.0:39.0)[false-City Cargo Bike]:45 24 (45.0:35.0)[true-Van]:44 21 (44.0:7.0)[false-City Cargo Bike]:42 6 (42.0:17.0)[false-City Cargo Bike]:32 12 (32.0:41.0)[false-City Cargo Bike]:36 19 (36.0:57.0)[false-Van]:39 2 (39.0:81.0)[false-City Cargo Bike]:38 15 (38.0:83.0)[false-City Cargo Bike]:34 25 (34.0:41.0)[false-City Cargo Bike]:,SOL:R:Van:3:7:4:35:31:15:6::R:City Cargo Bike:25::R:City Cargo Bike:23::R:City Cargo Bike:8:22::R:City Cargo Bike:24::R:City Cargo Bike:30::R:City Cargo Bike:10::R:City Cargo Bike:2::R:City Cargo Bike:11::R:City Cargo Bike:12::R:City Cargo Bike:37::R:City Cargo Bike:14::R:City Cargo Bike:26::R:City Cargo Bike:13::R:Van:16:17:18:21:43:9:20::R:City Cargo Bike:33::R:City Cargo Bike:27::R:City Cargo Bike:28::R:City Cargo Bike:41::R:City Cargo Bike:29::R:City Cargo Bike:19::R:City Cargo Bike:40::R:City Cargo Bike:5::R:Van:45:44:42:32:36:39:38::R:City Cargo Bike:34:,87288.28255240926,25.0,41474.43465718294,283870.0952134942,1460.0,282410.0952134942,4990.356837431911,1683.5296371613035,6451.59307303396,942.6007876632485,12.0,0.0,0.0,88.0,48.0,0.0,0.0,52.0,10.0,0.0,0.0,90.0,44.0,0.0,0.0,56.0,CrossOver:simple
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
