Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,z,z,source
0:0:0:0:0,16870.35764,0,0,0,0,0,2 24 (2.0:79.0)[true-Van]:45 16 (45.0:18.0)[false-City Cargo Bike]:6 24 (6.0:13.0)[false-Van]:31 3 (31.0:72.0)[false-Van]:13 17 (13.0:42.0)[false-City Cargo Bike]:11 15 (11.0:44.0)[false-Van]:41 20 (41.0:84.0)[false-Van]:51 36 (51.0:45.0)[false-City Cargo Bike]:48 11 (48.0:47.0)[false-City Cargo Bike]:40 4 (40.0:80.0)[false-Van-30]:12 20 (12.0:51.0)[false-Van-30]:7 17 (7.0:11.0)[false-Van]:44 24 (44.0:88.0)[false-City Cargo Bike]:50 54 (50.0:86.0)[false-City Cargo Bike]:4 2 (4.0:41.0)[false-Van]:64 17 (64.0:76.0)[false-Van]:5 3 (5.0:11.0)[false-Van-30]:49 3 (49.0:18.0)[false-City Cargo Bike]:43 15 (43.0:78.0)[false-City Cargo Bike]:15 20 (15.0:14.0)[false-Van]:53 11 (53.0:82.0)[false-City Cargo Bike]:23 2 (23.0:18.0)[false-Van]:16 8 (16.0:18.0)[false-Van-30]:47 4 (47.0:74.0)[false-City Cargo Bike]:3 15 (3.0:73.0)[false-Van-30]:19 6 (19.0:45.0)[false-Van]:42 16 (42.0:76.0)[false-Van]:20 18 (20.0:20.0)[false-Van-30]:59 14 (59.0:18.0)[false-City Cargo Bike]:61 21 (61.0:18.0)[false-City Cargo Bike]:24 18 (24.0:78.0)[false-Van-30]:21 5 (21.0:74.0)[false-City Cargo Bike]:18 2 (18.0:72.0)[false-Van-30]:26 13 (26.0:78.0)[false-Van]:36 6 (36.0:16.0)[false-City Cargo Bike]:22 16 (22.0:78.0)[false-Van-30]:29 14 (29.0:52.0)[false-Van]:58 16 (58.0:76.0)[false-City Cargo Bike]:33 6 (33.0:42.0)[false-Van]:25 1 (25.0:16.0)[false-Van]:28 5 (28.0:78.0)[false-Van]:17 6 (17.0:60.0)[false-Van]:14 15 (14.0:58.0)[false-Van]:27 17 (27.0:80.0)[false-Van]:34 9 (34.0:50.0)[false-Van]:35 22 (35.0:82.0)[false-Van-30]:37 18 (37.0:18.0)[false-Van]:38 23 (38.0:42.0)[false-Van-30]:8 9 (8.0:71.0)[false-Van]:32 22 (32.0:72.0)[false-Van]:39 24 (39.0:78.0)[false-City Cargo Bike]:52 19 (52.0:14.0)[false-Van]:54 21 (54.0:14.0)[false-City Cargo Bike]:46 9 (46.0:18.0)[false-City Cargo Bike]:10 2 (10.0:41.0)[false-City Cargo Bike]:56 9 (56.0:18.0)[false-Van]:55 12 (55.0:76.0)[false-City Cargo Bike]:30 19 (30.0:49.0)[false-Van]:57 17 (57.0:58.0)[false-Van]:62 19 (62.0:46.0)[false-Van-30]:63 6 (63.0:82.0)[false-City Cargo Bike]:60 14 (60.0:14.0)[false-Van-30]:9 4 (9.0:77.0)[false-Van]:,SOL:R:Van::R:Van:2:45:6:31:13:11::R:Van:41:51:48:40:12::R:Van:7:44:50:4::R:Van:64:5:49:43:15:53:23:16:47:3::R:Van:19:42:20:59:61:24:21:18::R:Van:26:36:22:29:58:33:25:28:17:14::R:Van:27:34:35:37:38:8::R:Van:32:39:52:54:46:10::R:Van:56:55:30:57:62:63:60:9:,16870.35764,10,84351.78822,254255.3647,1200,253055.3647,19014.71346,NaN,4035.799439,1338.917273,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,DelRoute:LargeVan:simple
0:0:0:0:1,-1,0,0,0,0,1,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:0:2,-1,0,0,0,0,2,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:0:3,-1,0,0,0,0,3,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:0:4,-1,0,0,0,0,4,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:1:0,21714.34641,0,0,0,1,0,3 15 (3.0:73.0)[false-City Cargo Bike]:41 20 (41.0:84.0)[true-Van]:51 36 (51.0:45.0)[false-City Cargo Bike]:48 11 (48.0:47.0)[false-City Cargo Bike]:25 1 (25.0:16.0)[false-Van]:23 2 (23.0:18.0)[false-Van]:31 3 (31.0:72.0)[false-Van]:18 2 (18.0:72.0)[false-Van-30]:2 24 (2.0:79.0)[true-Van]:45 16 (45.0:18.0)[false-City Cargo Bike]:6 24 (6.0:13.0)[false-Van]:11 15 (11.0:44.0)[false-City Cargo Bike]:12 20 (12.0:51.0)[false-Van-30]:7 17 (7.0:11.0)[false-Van]:44 24 (44.0:88.0)[false-City Cargo Bike]:50 54 (50.0:86.0)[false-Van-30]:4 2 (4.0:41.0)[false-Van]:64 17 (64.0:76.0)[false-Van]:5 3 (5.0:11.0)[false-Van-30]:49 3 (49.0:18.0)[false-City Cargo Bike]:15 20 (15.0:14.0)[false-Van]:53 11 (53.0:82.0)[false-City Cargo Bike]:16 8 (16.0:18.0)[false-Van-30]:43 15 (43.0:78.0)[false-City Cargo Bike]:47 4 (47.0:74.0)[false-City Cargo Bike]:14 15 (14.0:58.0)[false-City Cargo Bike]:19 6 (19.0:45.0)[false-Van]:42 16 (42.0:76.0)[false-City Cargo Bike]:20 18 (20.0:20.0)[false-Van-30]:59 14 (59.0:18.0)[false-City Cargo Bike]:61 21 (61.0:18.0)[false-City Cargo Bike]:24 18 (24.0:78.0)[false-Van-30]:21 5 (21.0:74.0)[false-City Cargo Bike]:13 17 (13.0:42.0)[false-City Cargo Bike]:26 13 (26.0:78.0)[false-Van]:27 17 (27.0:80.0)[false-Van]:36 6 (36.0:16.0)[false-City Cargo Bike]:22 16 (22.0:78.0)[false-Van-30]:29 14 (29.0:52.0)[false-Van]:58 16 (58.0:76.0)[false-City Cargo Bike]:33 6 (33.0:42.0)[false-Van]:28 5 (28.0:78.0)[false-Van]:17 6 (17.0:60.0)[false-Van]:34 9 (34.0:50.0)[false-Van]:35 22 (35.0:82.0)[false-Van-30]:37 18 (37.0:18.0)[false-Van]:38 23 (38.0:42.0)[false-Van-30]:40 4 (40.0:80.0)[false-Van-30]:8 9 (8.0:71.0)[false-Van]:32 22 (32.0:72.0)[false-Van]:39 24 (39.0:78.0)[false-City Cargo Bike]:52 19 (52.0:14.0)[false-Van]:54 21 (54.0:14.0)[false-City Cargo Bike]:46 9 (46.0:18.0)[false-Van-30]:10 2 (10.0:41.0)[false-Van]:56 9 (56.0:18.0)[false-Van]:55 12 (55.0:76.0)[false-City Cargo Bike]:57 17 (57.0:58.0)[false-Van]:62 19 (62.0:46.0)[false-Van-30]:60 14 (60.0:14.0)[false-Van-30]:63 6 (63.0:82.0)[false-City Cargo Bike]:30 19 (30.0:49.0)[false-Van]:9 4 (9.0:77.0)[false-Van]:,SOL:R:City Cargo Bike::R:City Cargo Bike:3::R:Van:41:51:48:25:23:31:18::R:Van:2:45:6:11:12::R:Van:7:44:50:4::R:Van:64:5:49:15:53:16:43:47:14::R:Van:19:42:20:59:61:24:21::R:City Cargo Bike:13::R:Van:26:27:36:22:29:58:33:28:17::R:Van:34:35:37:38:40:8::R:Van:32:39:52:54:46:10::R:Van:56:55:57:62:60:63:30:9:,21714.34641,12,89212.17727,276610.3537,1230,275380.3537,16387.4343,NaN,4390.640535,1416.066306,75,0,0,25,97,0,0,3,82,0,0,18,96,0,0,4,RndSwap:simple
0:0:0:1:1,-1,0,0,0,1,1,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:1:2,-1,0,0,0,1,2,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:1:3,-1,0,0,0,1,3,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:1:4,-1,0,0,0,1,4,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
