Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,,source
0:0:0:0,-1.0,0,0,0,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:1:0,102643.03816511299,0,0,1,0,3 20 (3.0:46.0)[false-Van]:35 12 (35.0:15.0)[false-City Cargo Bike]:54 17 (54.0:60.0)[false-Van]:39 16 (39.0:74.0)[false-Walker]:31 17 (31.0:76.0)[false-City Cargo Bike]:5 17 (5.0:70.0)[false-City Cargo Bike]:32 16 (32.0:41.0)[true-Van]:13 22 (13.0:41.0)[false-City Cargo Bike]:8 1 (8.0:41.0)[false-City Cargo Bike]:9 15 (9.0:21.0)[false-City Cargo Bike]:10 16 (10.0:46.0)[false-City Cargo Bike]:14 25 (14.0:60.0)[false-Van]:19 12 (19.0:80.0)[false-City Cargo Bike]:11 22 (11.0:95.0)[false-City Cargo Bike]:12 2 (12.0:16.0)[false-City Cargo Bike]:30 2 (30.0:61.0)[false-City Cargo Bike]:53 26 (53.0:85.0)[true-City Cargo Bike]:4 26 (4.0:91.0)[true-Van]:15 20 (15.0:55.0)[false-City Cargo Bike]:7 17 (7.0:20.0)[false-City Cargo Bike]:26 12 (26.0:69.0)[false-City Cargo Bike]:16 20 (16.0:71.0)[false-City Cargo Bike]:59 16 (59.0:20.0)[false-City Cargo Bike]:60 5 (60.0:94.0)[false-City Cargo Bike]:20 5 (20.0:100.0)[false-City Cargo Bike]:38 21 (38.0:34.0)[true-City Cargo Bike]:21 11 (21.0:65.0)[true-Van]:22 5 (22.0:40.0)[false-Van]:23 21 (23.0:19.0)[false-City Cargo Bike]:28 21 (28.0:19.0)[false-City Cargo Bike]:24 17 (24.0:34.0)[false-City Cargo Bike]:25 12 (25.0:36.0)[false-City Cargo Bike]:40 2 (40.0:75.0)[false-City Cargo Bike]:2 11 (2.0:60.0)[false-City Cargo Bike]:27 15 (27.0:61.0)[true-City Cargo Bike]:18 26 (18.0:61.0)[false-City Cargo Bike]:29 12 (29.0:51.0)[false-City Cargo Bike]:44 10 (44.0:99.0)[false-City Cargo Bike]:37 16 (37.0:79.0)[true-City Cargo Bike]:42 2 (42.0:55.0)[false-City Cargo Bike]:43 6 (43.0:100.0)[false-City Cargo Bike]:46 1 (46.0:75.0)[false-City Cargo Bike]:33 15 (33.0:35.0)[false-City Cargo Bike]:34 26 (34.0:1.0)[false-City Cargo Bike]:36 22 (36.0:21.0)[true-Van]:45 11 (45.0:25.0)[false-City Cargo Bike]:48 10 (48.0:21.0)[false-City Cargo Bike]:62 17 (62.0:40.0)[false-City Cargo Bike]:58 25 (58.0:40.0)[false-City Cargo Bike]:41 6 (41.0:65.0)[false-Van]:6 5 (6.0:86.0)[false-City Cargo Bike]:17 21 (17.0:39.0)[false-City Cargo Bike]:47 63 (47.0:30.0)[false-City Cargo Bike]:56 25 (56.0:6.0)[false-City Cargo Bike]:51 1 (51.0:56.0)[false-Van]:55 10 (55.0:41.0)[false-City Cargo Bike]:61 22 (61.0:31.0)[false-City Cargo Bike]:50 7 (50.0:71.0)[false-City Cargo Bike]:57 25 (57.0:60.0)[false-Walker]:63 6 (63.0:56.0)[false-City Cargo Bike]:52 6 (52.0:25.0)[false-City Cargo Bike]:49 21 (49.0:75.0)[false-City Cargo Bike]:,SOL:R:Van:3:35:54:39:31:5::R:Van:32:13:8:9:10:14::R:City Cargo Bike:19::R:City Cargo Bike:11::R:City Cargo Bike:12:30::R:City Cargo Bike:53::R:Van:4:15:7:26:16::R:City Cargo Bike:59::R:City Cargo Bike:60:20::R:City Cargo Bike:38::R:Van:21:22:23:28:24:25:40:2::R:City Cargo Bike:27::R:City Cargo Bike:18::R:City Cargo Bike:29::R:City Cargo Bike:44::R:City Cargo Bike:37::R:City Cargo Bike:42:43:46::R:City Cargo Bike:33::R:City Cargo Bike:34::R:Van:36:45:48:62:58:41:6::R:City Cargo Bike:17::R:City Cargo Bike:47::R:City Cargo Bike:56::R:Van:51:55:61:50:57:63:52:49:,102643.03816511299,24.0,65994.80615440223,378492.57233167184,1620.0,376872.57233167184,6030.179338465413,2146.2317640607544,6104.7189085753525,1064.4323573290683,25.0,0.0,0.0,75.0,65.0,0.0,0.0,35.0,13.0,0.0,0.0,87.0,63.0,0.0,0.0,37.0,RndSwap:simple
0:0:1:1,148097.044179359,0,0,1,1,47 63 (47.0:30.0)[false-City Cargo Bike]:63 6 (63.0:56.0)[false-City Cargo Bike]:2 11 (2.0:60.0)[false-Van]:3 20 (3.0:46.0)[false-City Cargo Bike]:27 15 (27.0:61.0)[false-City Cargo Bike]:53 26 (53.0:85.0)[true-City Cargo Bike]:9 15 (9.0:21.0)[false-City Cargo Bike]:59 16 (59.0:20.0)[false-City Cargo Bike]:10 16 (10.0:46.0)[false-City Cargo Bike]:14 25 (14.0:60.0)[false-Van]:15 20 (15.0:55.0)[false-City Cargo Bike]:41 6 (41.0:65.0)[false-City Cargo Bike]:43 6 (43.0:100.0)[false-City Cargo Bike]:32 16 (32.0:41.0)[false-City Cargo Bike]:16 20 (16.0:71.0)[false-City Cargo Bike]:7 17 (7.0:20.0)[false-City Cargo Bike]:44 10 (44.0:99.0)[false-City Cargo Bike]:21 11 (21.0:65.0)[true-Van]:22 5 (22.0:40.0)[false-Van]:17 21 (17.0:39.0)[false-City Cargo Bike]:23 21 (23.0:19.0)[false-City Cargo Bike]:24 17 (24.0:34.0)[false-City Cargo Bike]:8 1 (8.0:41.0)[false-City Cargo Bike]:25 12 (25.0:36.0)[false-City Cargo Bike]:19 12 (19.0:80.0)[false-City Cargo Bike]:26 12 (26.0:69.0)[true-Van]:55 10 (55.0:41.0)[false-City Cargo Bike]:38 21 (38.0:34.0)[false-City Cargo Bike]:28 21 (28.0:19.0)[false-City Cargo Bike]:5 17 (5.0:70.0)[false-City Cargo Bike]:18 26 (18.0:61.0)[true-City Cargo Bike]:31 17 (31.0:76.0)[false-Van]:39 16 (39.0:74.0)[false-City Cargo Bike]:29 12 (29.0:51.0)[false-City Cargo Bike]:51 1 (51.0:56.0)[false-City Cargo Bike]:20 5 (20.0:100.0)[false-City Cargo Bike]:11 22 (11.0:95.0)[false-City Cargo Bike]:6 5 (6.0:86.0)[false-City Cargo Bike]:33 15 (33.0:35.0)[true-Van]:34 26 (34.0:1.0)[false-City Cargo Bike]:35 12 (35.0:15.0)[false-City Cargo Bike]:36 22 (36.0:21.0)[false-City Cargo Bike]:37 16 (37.0:79.0)[false-City Cargo Bike]:57 25 (57.0:60.0)[false-City Cargo Bike]:56 25 (56.0:6.0)[false-City Cargo Bike]:62 17 (62.0:40.0)[false-City Cargo Bike]:49 21 (49.0:75.0)[false-City Cargo Bike]:13 22 (13.0:41.0)[false-City Cargo Bike]:61 22 (61.0:31.0)[false-City Cargo Bike]:46 1 (46.0:75.0)[false-City Cargo Bike]:50 7 (50.0:71.0)[false-City Cargo Bike]:12 2 (12.0:16.0)[false-City Cargo Bike]:4 26 (4.0:91.0)[true-City Cargo Bike]:52 6 (52.0:25.0)[false-City Cargo Bike]:40 2 (40.0:75.0)[false-City Cargo Bike]:48 10 (48.0:21.0)[false-City Cargo Bike]:45 11 (45.0:25.0)[false-City Cargo Bike]:54 17 (54.0:60.0)[false-City Cargo Bike]:60 5 (60.0:94.0)[false-City Cargo Bike]:42 2 (42.0:55.0)[false-City Cargo Bike]:30 2 (30.0:61.0)[false-City Cargo Bike]:58 25 (58.0:40.0)[false-City Cargo Bike]:,SOL:R:City Cargo Bike::R:City Cargo Bike:47::R:City Cargo Bike:63::R:Van:2:3:27::R:City Cargo Bike:53::R:City Cargo Bike:9::R:City Cargo Bike:59::R:City Cargo Bike:10::R:Van:14:15:41:43:32:16::R:City Cargo Bike:7::R:City Cargo Bike:44::R:Van:21:22:17:23:24:8:25:19::R:Van:26:55:38:28:5::R:City Cargo Bike:18::R:Van:31:39:29:51:20:11:6::R:Van:33:34:35:36:37::R:City Cargo Bike:57::R:City Cargo Bike:56::R:City Cargo Bike:62::R:City Cargo Bike:49::R:City Cargo Bike:13::R:City Cargo Bike:61::R:City Cargo Bike:46:50:12::R:City Cargo Bike:4::R:City Cargo Bike:52:40::R:City Cargo Bike:48::R:City Cargo Bike:45::R:City Cargo Bike:54::R:City Cargo Bike:60:42:30::R:City Cargo Bike:58:,148097.044179359,30.0,65848.45539982161,469320.07239825436,1920.0,467400.07239825436,6033.710236989162,NaN,7569.678587068619,1062.0718612874455,20.0,0.0,0.0,80.0,55.0,0.0,0.0,45.0,9.0,0.0,0.0,91.0,52.0,0.0,0.0,48.0,RndSwap:simple
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
