Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,<>,source
0:0:0:0,12780.47181,0,0,0,0,11 5 (11.0:47.0)[false-Van]:3 3 (3.0:39.0)[false-Van]:4 24 (4.0:3.0)[false-Van]:17 24 (17.0:35.0)[false-City Cargo Bike]:2 23 (2.0:67.0)[false-Van]:12 7 (12.0:51.0)[true-Van]:23 13 (23.0:27.0)[false-Van]:20 16 (20.0:29.0)[false-City Cargo Bike]:25 20 (25.0:87.0)[false-City Cargo Bike]:5 15 (5.0:97.0)[false-Van]:6 15 (6.0:91.0)[false-Van]:15 13 (15.0:63.0)[true-Van]:31 19 (31.0:87.0)[false-Van]:21 13 (21.0:71.0)[false-City Cargo Bike]:26 23 (26.0:23.0)[false-City Cargo Bike]:7 24 (7.0:55.0)[false-Van]:29 15 (29.0:19.0)[true-Van]:32 4 (32.0:19.0)[false-City Cargo Bike]:33 15 (33.0:1.0)[false-City Cargo Bike]:13 5 (13.0:11.0)[false-Van]:10 13 (10.0:21.0)[false-City Cargo Bike]:14 14 (14.0:43.0)[false-City Cargo Bike]:8 7 (8.0:55.0)[false-City Cargo Bike]:9 25 (9.0:57.0)[false-Walker]:27 20 (27.0:89.0)[false-City Cargo Bike]:18 15 (18.0:27.0)[true-Van]:22 16 (22.0:31.0)[false-City Cargo Bike]:19 9 (19.0:49.0)[false-City Cargo Bike]:34 1 (34.0:55.0)[false-Van]:24 24 (24.0:67.0)[false-Walker]:30 12 (30.0:65.0)[false-City Cargo Bike]:28 3 (28.0:71.0)[false-Van]:16 5 (16.0:55.0)[false-Walker]:,SOL:R:Van:11:3:4:17:2::R:Van:12:23:20:25:5:6::R:Van:15:31:21:26:7::R:Van:29:32:33:13:10:14:8:9::R:City Cargo Bike:27::R:Van:18:22:19:34:24:30:28:16:,12780.47181,6,47107.71465,148691.0017,650,148041.0017,5421.785927,986.7396746,4505.787931,1427.506505,83,0,0,17,97,0,0,3,74,0,0,26,96,0,0,4,RndSwap:simple
0:0:0:1,-1,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:2,-1,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:3,-1,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:4,-1,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:0,18562.56464,0,0,1,0,11 5 (11.0:47.0)[true-Van]:3 3 (3.0:39.0)[false-Van]:4 24 (4.0:3.0)[false-Van]:2 23 (2.0:67.0)[false-Van]:12 7 (12.0:51.0)[true-Walker]:23 13 (23.0:27.0)[false-Van]:17 24 (17.0:35.0)[false-City Cargo Bike]:20 16 (20.0:29.0)[false-City Cargo Bike]:5 15 (5.0:97.0)[false-Van]:6 15 (6.0:91.0)[false-Van]:15 13 (15.0:63.0)[true-Van]:31 19 (31.0:87.0)[false-Van]:21 13 (21.0:71.0)[false-City Cargo Bike]:26 23 (26.0:23.0)[false-City Cargo Bike]:7 24 (7.0:55.0)[false-Van]:25 20 (25.0:87.0)[false-City Cargo Bike]:29 15 (29.0:19.0)[true-Van]:32 4 (32.0:19.0)[false-City Cargo Bike]:33 15 (33.0:1.0)[false-City Cargo Bike]:13 5 (13.0:11.0)[false-Van]:10 13 (10.0:21.0)[false-City Cargo Bike]:14 14 (14.0:43.0)[false-City Cargo Bike]:8 7 (8.0:55.0)[false-City Cargo Bike]:9 25 (9.0:57.0)[false-Walker]:27 20 (27.0:89.0)[false-City Cargo Bike]:18 15 (18.0:27.0)[true-Van]:22 16 (22.0:31.0)[false-City Cargo Bike]:19 9 (19.0:49.0)[false-City Cargo Bike]:34 1 (34.0:55.0)[false-Van]:24 24 (24.0:67.0)[false-Walker]:30 12 (30.0:65.0)[false-City Cargo Bike]:28 3 (28.0:71.0)[false-Van]:16 5 (16.0:55.0)[false-Walker]:,SOL:R:Van::R:Van:11:3:4:2::R:Walker:12::R:Van:23:17:20:5:6::R:Van:15:31:21:26:7::R:City Cargo Bike:25::R:Van:29:32:33:13:10:14:8:9::R:City Cargo Bike:27::R:Van:18:22:19:34:24:30:28:16:,18562.56464,9,47107.71465,160475.1874,870,159605.1874,5421.785927,NaN,4862.884466,1427.506505,67,11,0,22,91,3,0,6,51,15,0,35,90,2,0,9,init
0:0:1:1,74106.91527,0,0,1,1,6 15 (6.0:91.0)[false-Van]:21 13 (21.0:71.0)[false-City Cargo Bike]:12 7 (12.0:51.0)[false-Walker]:30 12 (30.0:65.0)[false-City Cargo Bike]:24 24 (24.0:67.0)[false-Van]:2 23 (2.0:67.0)[false-Van]:34 1 (34.0:55.0)[true-Van]:14 14 (14.0:43.0)[false-City Cargo Bike]:17 24 (17.0:35.0)[false-City Cargo Bike]:8 7 (8.0:55.0)[false-City Cargo Bike]:7 24 (7.0:55.0)[false-City Cargo Bike]:9 25 (9.0:57.0)[false-City Cargo Bike]:15 13 (15.0:63.0)[false-City Cargo Bike]:4 24 (4.0:3.0)[false-City Cargo Bike]:5 15 (5.0:97.0)[false-Walker]:29 15 (29.0:19.0)[false-City Cargo Bike]:11 5 (11.0:47.0)[false-City Cargo Bike]:13 5 (13.0:11.0)[false-City Cargo Bike]:19 9 (19.0:49.0)[false-City Cargo Bike]:20 16 (20.0:29.0)[false-City Cargo Bike]:22 16 (22.0:31.0)[false-City Cargo Bike]:23 13 (23.0:27.0)[false-City Cargo Bike]:10 13 (10.0:21.0)[false-City Cargo Bike]:3 3 (3.0:39.0)[false-City Cargo Bike]:16 5 (16.0:55.0)[false-City Cargo Bike]:18 15 (18.0:27.0)[false-City Cargo Bike]:28 3 (28.0:71.0)[false-Van]:31 19 (31.0:87.0)[false-Van]:25 20 (25.0:87.0)[false-Walker]:27 20 (27.0:89.0)[false-Walker]:33 15 (33.0:1.0)[false-Van]:32 4 (32.0:19.0)[false-Van]:26 23 (26.0:23.0)[false-City Cargo Bike]:,SOL:R:Van:6:21:12:30:24:2::R:Van:34:14:17:8:7:9::R:City Cargo Bike:15::R:City Cargo Bike:4::R:Walker:5::R:City Cargo Bike:29::R:City Cargo Bike:11:13::R:City Cargo Bike:19::R:City Cargo Bike:20::R:City Cargo Bike:22::R:City Cargo Bike:23::R:City Cargo Bike:10::R:City Cargo Bike:3:16::R:City Cargo Bike:18::R:Van:28:31:25:27:33:32::R:City Cargo Bike:26:,74106.91527,16,46378.94686,269809.0924,1010,268799.0924,5165.366859,2150.494648,8176.033103,1405.422632,19,6,0,75,55,3,0,42,13,4,0,84,59,3,0,38,RndSwap:simple
0:0:1:2,-1,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:3,-1,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:4,-1,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
