Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol
0:0:0:0,9846.647028501122,0,0,0,0,2 18 (2.0:79.0)[false-Van]:31 9 (31.0:43.0)[false-Van]:6 3 (6.0:33.0)[false-City Cargo Bike]:15 7 (15.0:23.0)[true-Van]:32 10 (32.0:13.0)[false-Van]:36 7 (36.0:5.0)[false-Van]:20 23 (20.0:49.0)[false-Van]:4 22 (4.0:25.0)[false-Walker]:13 16 (13.0:1.0)[true-Van]:29 5 (29.0:9.0)[false-City Cargo Bike]:39 2 (39.0:7.0)[false-City Cargo Bike]:38 10 (38.0:7.0)[false-City Cargo Bike]:26 16 (26.0:19.0)[false-City Cargo Bike]:12 18 (12.0:59.0)[false-City Cargo Bike]:27 15 (27.0:41.0)[false-Van]:9 6 (9.0:53.0)[false-Van]:34 9 (34.0:45.0)[true-Van]:11 12 (11.0:79.0)[false-City Cargo Bike]:23 11 (23.0:93.0)[false-City Cargo Bike]:28 7 (28.0:83.0)[false-City Cargo Bike]:5 24 (5.0:63.0)[false-Van]:7 19 (7.0:69.0)[false-Van]:8 6 (8.0:57.0)[false-Van]:10 6 (10.0:1.0)[true-Van]:25 22 (25.0:31.0)[false-City Cargo Bike]:14 72 (14.0:41.0)[false-Walker]:17 23 (17.0:85.0)[false-Van]:22 11 (22.0:83.0)[false-Van]:18 4 (18.0:93.0)[false-City Cargo Bike]:19 22 (19.0:85.0)[false-Van]:24 1 (24.0:87.0)[false-Van]:30 22 (30.0:13.0)[false-Van]:16 16 (16.0:37.0)[false-Walker]:21 7 (21.0:55.0)[true-Van]:33 11 (33.0:71.0)[false-Van]:37 15 (37.0:81.0)[false-Van]:35 3 (35.0:93.0)[false-Van]:3 16 (3.0:41.0)[false-Van]:,SOL:R:Van:2:31:6::R:Van:15:32:36:20:4::R:Van:13:29:39:38:26:12:27:9::R:Van:34:11:23:28:5:7:8::R:Van:10:25:14::R:Van:17:22:18:19:24:30:16::R:Van:21:33:37:35:3:,9846.647028501122,7.0,49233.23514250561,148539.70542751683,840.0,147699.70542751683,6227.926835599676,950.9041064561286,3908.939616513601,1295.6114511185688,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:0,9846.647028501122,0,0,1,0,2 18 (2.0:79.0)[true-Van]:31 9 (31.0:43.0)[false-Van]:6 3 (6.0:33.0)[false-City Cargo Bike]:15 7 (15.0:23.0)[true-Van]:32 10 (32.0:13.0)[false-Van]:36 7 (36.0:5.0)[false-Van]:20 23 (20.0:49.0)[false-Van]:4 22 (4.0:25.0)[false-Walker]:13 16 (13.0:1.0)[true-Van]:29 5 (29.0:9.0)[false-City Cargo Bike]:39 2 (39.0:7.0)[false-City Cargo Bike]:38 10 (38.0:7.0)[false-City Cargo Bike]:26 16 (26.0:19.0)[false-City Cargo Bike]:12 18 (12.0:59.0)[false-City Cargo Bike]:27 15 (27.0:41.0)[false-Van]:9 6 (9.0:53.0)[false-Van]:34 9 (34.0:45.0)[true-Van]:11 12 (11.0:79.0)[false-City Cargo Bike]:23 11 (23.0:93.0)[false-City Cargo Bike]:28 7 (28.0:83.0)[false-City Cargo Bike]:5 24 (5.0:63.0)[false-Van]:7 19 (7.0:69.0)[false-Van]:8 6 (8.0:57.0)[false-Van]:10 6 (10.0:1.0)[true-Van]:25 22 (25.0:31.0)[false-City Cargo Bike]:14 72 (14.0:41.0)[false-Walker]:17 23 (17.0:85.0)[false-Van]:22 11 (22.0:83.0)[false-Van]:18 4 (18.0:93.0)[false-City Cargo Bike]:19 22 (19.0:85.0)[false-Van]:24 1 (24.0:87.0)[false-Van]:30 22 (30.0:13.0)[false-Van]:16 16 (16.0:37.0)[false-Walker]:21 7 (21.0:55.0)[true-Van]:33 11 (33.0:71.0)[false-Van]:37 15 (37.0:81.0)[false-Van]:35 3 (35.0:93.0)[false-Van]:3 16 (3.0:41.0)[false-Van]:,SOL:R:Van::R:Van:2:31:6::R:Van:15:32:36:20:4::R:Van:13:29:39:38:26:12:27:9::R:Van:34:11:23:28:5:7:8::R:Van:10:25:14::R:Van:17:22:18:19:24:30:16::R:Van:21:33:37:35:3:,9846.647028501122,8.0,49233.23514250561,148659.70542751683,960.0,147699.70542751683,6227.926835599676,NaN,3912.097511250443,1295.6114511185688,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0:0:1:1,59054.81865306709,0,0,1,1,19 22 (19.0:85.0)[false-City Cargo Bike]:3 16 (3.0:41.0)[true-Van]:5 24 (5.0:63.0)[false-Van]:20 23 (20.0:49.0)[false-Van]:4 22 (4.0:25.0)[false-Walker]:6 3 (6.0:33.0)[false-Walker]:15 7 (15.0:23.0)[true-Van]:32 10 (32.0:13.0)[true-Van]:12 18 (12.0:59.0)[false-City Cargo Bike]:36 7 (36.0:5.0)[false-Van]:25 22 (25.0:31.0)[false-City Cargo Bike]:37 15 (37.0:81.0)[true-Van]:34 9 (34.0:45.0)[false-City Cargo Bike]:29 5 (29.0:9.0)[false-City Cargo Bike]:39 2 (39.0:7.0)[false-City Cargo Bike]:38 10 (38.0:7.0)[false-City Cargo Bike]:26 16 (26.0:19.0)[false-City Cargo Bike]:27 15 (27.0:41.0)[false-City Cargo Bike]:9 6 (9.0:53.0)[true-Van]:11 12 (11.0:79.0)[false-City Cargo Bike]:23 11 (23.0:93.0)[false-City Cargo Bike]:33 11 (33.0:71.0)[false-City Cargo Bike]:28 7 (28.0:83.0)[false-City Cargo Bike]:2 18 (2.0:79.0)[false-Van]:7 19 (7.0:69.0)[false-Van]:21 7 (21.0:55.0)[false-City Cargo Bike]:8 6 (8.0:57.0)[false-Van]:10 6 (10.0:1.0)[true-Walker]:13 16 (13.0:1.0)[true-City Cargo Bike]:35 3 (35.0:93.0)[false-City Cargo Bike]:16 16 (16.0:37.0)[true-Walker]:14 72 (14.0:41.0)[false-Walker]:22 11 (22.0:83.0)[false-City Cargo Bike]:17 23 (17.0:85.0)[false-City Cargo Bike]:18 4 (18.0:93.0)[false-City Cargo Bike]:24 1 (24.0:87.0)[false-City Cargo Bike]:31 9 (31.0:43.0)[false-City Cargo Bike]:30 22 (30.0:13.0)[false-City Cargo Bike]:,SOL:R:City Cargo Bike::R:City Cargo Bike:19::R:Van:3:5:20:4:6::R:Van:15::R:Van:32:12:36:25::R:Van:37:34:29:39:38:26:27::R:Van:9:11:23:33:28:2:7:21:8::R:Walker:10::R:City Cargo Bike:13::R:City Cargo Bike:35::R:Walker:16::R:Walker:14::R:City Cargo Bike:22::R:City Cargo Bike:17::R:City Cargo Bike:18:24::R:City Cargo Bike:31::R:City Cargo Bike:30:,59054.81865306709,17.0,55305.17812275745,263103.10042530356,1200.0,261903.10042530356,6119.598684444331,NaN,6923.765800665883,1455.3994242830906,29.0,18.0,0.0,53.0,68.0,8.0,0.0,24.0,19.0,13.0,0.0,69.0,61.0,18.0,0.0,21.0
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
