Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol
0:0:0:0,-1.0,0,0,0,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:0,107020.02088245616,0,0,1,0,2 11 (2.0:60.0)[false-Van]:36 22 (36.0:21.0)[false-City Cargo Bike]:56 25 (56.0:6.0)[false-Van]:21 11 (21.0:65.0)[false-City Cargo Bike]:5 17 (5.0:70.0)[false-City Cargo Bike]:47 63 (47.0:30.0)[true-Van]:17 21 (17.0:39.0)[false-City Cargo Bike]:6 5 (6.0:86.0)[false-City Cargo Bike]:7 17 (7.0:20.0)[false-City Cargo Bike]:4 26 (4.0:91.0)[false-City Cargo Bike]:10 16 (10.0:46.0)[true-Van]:33 15 (33.0:35.0)[false-City Cargo Bike]:59 16 (59.0:20.0)[false-City Cargo Bike]:53 26 (53.0:85.0)[false-Van]:11 22 (11.0:95.0)[false-City Cargo Bike]:12 2 (12.0:16.0)[true-Van]:3 20 (3.0:46.0)[false-City Cargo Bike]:13 22 (13.0:41.0)[false-City Cargo Bike]:38 21 (38.0:34.0)[false-City Cargo Bike]:14 25 (14.0:60.0)[false-Van]:15 20 (15.0:55.0)[false-City Cargo Bike]:60 5 (60.0:94.0)[false-City Cargo Bike]:20 5 (20.0:100.0)[false-City Cargo Bike]:22 5 (22.0:40.0)[false-Van]:23 21 (23.0:19.0)[false-City Cargo Bike]:48 10 (48.0:21.0)[false-City Cargo Bike]:32 16 (32.0:41.0)[false-City Cargo Bike]:24 17 (24.0:34.0)[false-City Cargo Bike]:27 15 (27.0:61.0)[false-City Cargo Bike]:19 12 (19.0:80.0)[false-City Cargo Bike]:35 12 (35.0:15.0)[false-City Cargo Bike]:29 12 (29.0:51.0)[true-City Cargo Bike]:31 17 (31.0:76.0)[false-City Cargo Bike]:41 6 (41.0:65.0)[false-City Cargo Bike]:8 1 (8.0:41.0)[false-City Cargo Bike]:34 26 (34.0:1.0)[false-City Cargo Bike]:40 2 (40.0:75.0)[false-City Cargo Bike]:43 6 (43.0:100.0)[false-City Cargo Bike]:42 2 (42.0:55.0)[false-City Cargo Bike]:44 10 (44.0:99.0)[false-City Cargo Bike]:49 21 (49.0:75.0)[false-City Cargo Bike]:61 22 (61.0:31.0)[false-City Cargo Bike]:50 7 (50.0:71.0)[false-City Cargo Bike]:30 2 (30.0:61.0)[false-City Cargo Bike]:26 12 (26.0:69.0)[false-City Cargo Bike]:62 17 (62.0:40.0)[false-City Cargo Bike]:52 6 (52.0:25.0)[false-City Cargo Bike]:51 1 (51.0:56.0)[false-City Cargo Bike]:46 1 (46.0:75.0)[false-City Cargo Bike]:37 16 (37.0:79.0)[false-City Cargo Bike]:54 17 (54.0:60.0)[false-Van]:58 25 (58.0:40.0)[false-City Cargo Bike]:63 6 (63.0:56.0)[false-City Cargo Bike]:55 10 (55.0:41.0)[false-City Cargo Bike]:45 11 (45.0:25.0)[false-City Cargo Bike]:16 20 (16.0:71.0)[false-City Cargo Bike]:57 25 (57.0:60.0)[false-City Cargo Bike]:39 16 (39.0:74.0)[true-Van]:28 21 (28.0:19.0)[false-City Cargo Bike]:25 12 (25.0:36.0)[false-City Cargo Bike]:9 15 (9.0:21.0)[false-City Cargo Bike]:18 26 (18.0:61.0)[false-City Cargo Bike]:,SOL:R:Van:2:36:56:21:5::R:Van:47:17:6::R:City Cargo Bike:7::R:City Cargo Bike:4::R:Van:10:33:59:53:11::R:Van:12:3:13:38:14::R:City Cargo Bike:15::R:City Cargo Bike:60:20::R:Van:22:23:48:32:24:27:19::R:City Cargo Bike:35::R:City Cargo Bike:29::R:City Cargo Bike:31::R:City Cargo Bike:41:8::R:City Cargo Bike:34::R:City Cargo Bike:40:43:42::R:City Cargo Bike:44::R:City Cargo Bike:49::R:City Cargo Bike:61::R:City Cargo Bike:50:30::R:City Cargo Bike:26::R:City Cargo Bike:62::R:City Cargo Bike:52:51:46::R:City Cargo Bike:37::R:Van:54:58:63:55:45:16::R:City Cargo Bike:57::R:Van:39:28:25:9:18:,107020.02088245616,26.0,65016.84266033629,384873.83268178673,1790.0,383083.83268178673,6016.221490863702,2128.5501954044125,6207.642462609463,1048.658752586069,27.0,0.0,0.0,73.0,58.0,0.0,0.0,42.0,12.0,0.0,0.0,88.0,68.0,0.0,0.0,32.0
0:0:1:1,147335.01348110492,0,0,1,1,2 11 (2.0:60.0)[false-Van]:3 20 (3.0:46.0)[false-Van]:11 22 (11.0:95.0)[false-Van]:4 26 (4.0:91.0)[false-Van]:5 17 (5.0:70.0)[false-Van]:56 25 (56.0:6.0)[false-City Cargo Bike]:61 22 (61.0:31.0)[false-City Cargo Bike]:7 17 (7.0:20.0)[false-City Cargo Bike]:8 1 (8.0:41.0)[false-City Cargo Bike]:51 1 (51.0:56.0)[false-City Cargo Bike]:9 15 (9.0:21.0)[false-City Cargo Bike]:10 16 (10.0:46.0)[false-City Cargo Bike]:54 17 (54.0:60.0)[false-Van]:45 11 (45.0:25.0)[false-City Cargo Bike]:28 21 (28.0:19.0)[false-City Cargo Bike]:12 2 (12.0:16.0)[false-Van]:13 22 (13.0:41.0)[false-Van]:14 25 (14.0:60.0)[false-City Cargo Bike]:15 20 (15.0:55.0)[false-City Cargo Bike]:31 17 (31.0:76.0)[true-Van]:27 15 (27.0:61.0)[false-City Cargo Bike]:57 25 (57.0:60.0)[false-City Cargo Bike]:37 16 (37.0:79.0)[false-City Cargo Bike]:43 6 (43.0:100.0)[false-City Cargo Bike]:16 20 (16.0:71.0)[false-City Cargo Bike]:20 5 (20.0:100.0)[false-City Cargo Bike]:6 5 (6.0:86.0)[false-City Cargo Bike]:17 21 (17.0:39.0)[true-City Cargo Bike]:18 26 (18.0:61.0)[false-City Cargo Bike]:44 10 (44.0:99.0)[false-City Cargo Bike]:19 12 (19.0:80.0)[false-City Cargo Bike]:21 11 (21.0:65.0)[true-Van]:22 5 (22.0:40.0)[false-City Cargo Bike]:23 21 (23.0:19.0)[false-City Cargo Bike]:29 12 (29.0:51.0)[false-City Cargo Bike]:24 17 (24.0:34.0)[false-City Cargo Bike]:25 12 (25.0:36.0)[false-City Cargo Bike]:26 12 (26.0:69.0)[false-City Cargo Bike]:32 16 (32.0:41.0)[false-City Cargo Bike]:33 15 (33.0:35.0)[false-City Cargo Bike]:34 26 (34.0:1.0)[false-City Cargo Bike]:35 12 (35.0:15.0)[false-City Cargo Bike]:36 22 (36.0:21.0)[false-City Cargo Bike]:38 21 (38.0:34.0)[false-City Cargo Bike]:41 6 (41.0:65.0)[false-City Cargo Bike]:42 2 (42.0:55.0)[false-City Cargo Bike]:40 2 (40.0:75.0)[false-City Cargo Bike]:39 16 (39.0:74.0)[false-City Cargo Bike]:62 17 (62.0:40.0)[false-City Cargo Bike]:60 5 (60.0:94.0)[false-City Cargo Bike]:46 1 (46.0:75.0)[false-City Cargo Bike]:47 63 (47.0:30.0)[false-City Cargo Bike]:58 25 (58.0:40.0)[false-City Cargo Bike]:49 21 (49.0:75.0)[true-Van]:59 16 (59.0:20.0)[false-City Cargo Bike]:48 10 (48.0:21.0)[false-City Cargo Bike]:52 6 (52.0:25.0)[false-City Cargo Bike]:55 10 (55.0:41.0)[false-City Cargo Bike]:53 26 (53.0:85.0)[false-City Cargo Bike]:50 7 (50.0:71.0)[false-City Cargo Bike]:63 6 (63.0:56.0)[false-City Cargo Bike]:30 2 (30.0:61.0)[false-City Cargo Bike]:,SOL:R:Van:2:3:11:4:5::R:City Cargo Bike:56::R:City Cargo Bike:61::R:City Cargo Bike:7::R:City Cargo Bike:8:51::R:City Cargo Bike:9::R:City Cargo Bike:10::R:Van:54:45:28:12:13:14::R:City Cargo Bike:15::R:Van:31:27:57:37:43:16::R:City Cargo Bike:20:6::R:City Cargo Bike:17::R:City Cargo Bike:18::R:City Cargo Bike:44::R:City Cargo Bike:19::R:Van:21:22:23:29:24:25:26::R:City Cargo Bike:32::R:City Cargo Bike:33::R:City Cargo Bike:34::R:City Cargo Bike:35::R:City Cargo Bike:36::R:City Cargo Bike:38::R:City Cargo Bike:41:42:40::R:City Cargo Bike:39::R:City Cargo Bike:62::R:City Cargo Bike:60:46::R:City Cargo Bike:47::R:City Cargo Bike:58::R:Van:49:59:48:52:55:53:50::R:City Cargo Bike:63:30:,147335.01348110492,30.0,65930.67316780309,467939.77719849796,1850.0,466089.77719849796,5768.106192570053,2364.328690369634,7547.4157612660965,1063.3979543194048,17.0,0.0,0.0,83.0,50.0,0.0,0.0,50.0,9.0,0.0,0.0,91.0,51.0,0.0,0.0,49.0
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
