Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol
0:0:0:0,79167.72315003225,0,0,0,0,4 23 (4.0:55.0)[false-City Cargo Bike]:7 17 (7.0:93.0)[false-City Cargo Bike]:14 8 (14.0:67.0)[false-City Cargo Bike]:12 18 (12.0:67.0)[false-City Cargo Bike]:27 5 (27.0:35.0)[true-Van]:15 23 (15.0:45.0)[false-City Cargo Bike]:17 4 (17.0:29.0)[false-Van]:20 26 (20.0:47.0)[false-City Cargo Bike]:24 8 (24.0:39.0)[false-City Cargo Bike]:10 2 (10.0:47.0)[false-City Cargo Bike]:5 23 (5.0:29.0)[false-City Cargo Bike]:13 9 (13.0:71.0)[false-City Cargo Bike]:26 16 (26.0:85.0)[false-City Cargo Bike]:25 26 (25.0:45.0)[false-City Cargo Bike]:63 54 (63.0:51.0)[false-City Cargo Bike]:46 8 (46.0:71.0)[false-Van]:54 8 (54.0:57.0)[false-City Cargo Bike]:57 18 (57.0:83.0)[false-City Cargo Bike]:49 19 (49.0:65.0)[false-Van]:38 8 (38.0:37.0)[false-City Cargo Bike]:18 18 (18.0:59.0)[false-City Cargo Bike]:19 16 (19.0:93.0)[false-City Cargo Bike]:23 23 (23.0:87.0)[true-Walker]:2 10 (2.0:57.0)[false-Walker]:39 19 (39.0:83.0)[true-Van]:62 12 (62.0:53.0)[false-City Cargo Bike]:50 19 (50.0:25.0)[false-Van]:31 8 (31.0:49.0)[false-City Cargo Bike]:21 16 (21.0:51.0)[false-Van]:22 4 (22.0:23.0)[false-City Cargo Bike]:28 2 (28.0:47.0)[false-Van]:16 13 (16.0:71.0)[false-City Cargo Bike]:30 23 (30.0:83.0)[true-Walker]:32 5 (32.0:21.0)[false-City Cargo Bike]:9 4 (9.0:25.0)[false-City Cargo Bike]:34 26 (34.0:69.0)[false-City Cargo Bike]:35 12 (35.0:37.0)[true-Van]:36 8 (36.0:37.0)[false-City Cargo Bike]:56 9 (56.0:27.0)[false-City Cargo Bike]:64 8 (64.0:9.0)[false-City Cargo Bike]:59 15 (59.0:9.0)[false-Walker]:37 3 (37.0:5.0)[false-City Cargo Bike]:40 16 (40.0:17.0)[false-City Cargo Bike]:41 2 (41.0:5.0)[false-Van]:43 17 (43.0:59.0)[false-Walker]:42 3 (42.0:81.0)[false-City Cargo Bike]:29 21 (29.0:59.0)[false-City Cargo Bike]:44 7 (44.0:63.0)[true-Van]:45 5 (45.0:21.0)[false-Walker]:47 4 (47.0:21.0)[false-Walker]:48 12 (48.0:9.0)[false-Walker]:51 26 (51.0:13.0)[false-Van]:52 24 (52.0:47.0)[false-Van]:61 11 (61.0:33.0)[false-City Cargo Bike]:60 5 (60.0:25.0)[false-City Cargo Bike]:11 5 (11.0:87.0)[false-City Cargo Bike]:33 8 (33.0:51.0)[true-Van]:6 24 (6.0:21.0)[false-City Cargo Bike]:8 1 (8.0:5.0)[false-City Cargo Bike]:3 15 (3.0:1.0)[false-Van]:55 22 (55.0:21.0)[false-Van]:58 19 (58.0:63.0)[false-Van]:53 5 (53.0:77.0)[false-Walker]:,SOL:R:City Cargo Bike::R:City Cargo Bike:4::R:City Cargo Bike:7::R:City Cargo Bike:14::R:City Cargo Bike:12::R:Van:27:15:17:20:24:10:5:13::R:City Cargo Bike:26::R:City Cargo Bike:25::R:City Cargo Bike:63::R:Van:46:54:57:49:38:18:19::R:Walker:23::R:Walker:2::R:Van:39:62:50:31:21:22:28:16::R:Walker:30::R:City Cargo Bike:32:9::R:City Cargo Bike:34::R:Van:35:36:56:64:59:37:40:41:43:42::R:City Cargo Bike:29::R:Van:44:45:47:48:51:52:61:60:11::R:Van:33:6:8:3:55:58:53:,79167.72315003225,20.0,104927.0535458343,432565.78551923373,1420.0,431145.78551923373,7478.608189471399,NaN,6866.123579670377,1665.5087864418142,30.0,15.0,0.0,55.0,78.0,5.0,0.0,17.0,27.0,13.0,0.0,60.0,68.0,7.0,0.0,26.0
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:0,84785.6595914904,0,0,1,0,4 23 (4.0:55.0)[false-City Cargo Bike]:14 8 (14.0:67.0)[false-City Cargo Bike]:12 18 (12.0:67.0)[false-City Cargo Bike]:10 2 (10.0:47.0)[false-City Cargo Bike]:27 5 (27.0:35.0)[true-Van]:15 23 (15.0:45.0)[false-City Cargo Bike]:17 4 (17.0:29.0)[false-Van]:20 26 (20.0:47.0)[false-City Cargo Bike]:24 8 (24.0:39.0)[false-City Cargo Bike]:5 23 (5.0:29.0)[false-City Cargo Bike]:13 9 (13.0:71.0)[false-City Cargo Bike]:26 16 (26.0:85.0)[false-City Cargo Bike]:25 26 (25.0:45.0)[false-City Cargo Bike]:63 54 (63.0:51.0)[false-City Cargo Bike]:46 8 (46.0:71.0)[false-Van]:54 8 (54.0:57.0)[false-City Cargo Bike]:57 18 (57.0:83.0)[false-City Cargo Bike]:49 19 (49.0:65.0)[false-Van]:38 8 (38.0:37.0)[false-City Cargo Bike]:18 18 (18.0:59.0)[false-City Cargo Bike]:19 16 (19.0:93.0)[false-City Cargo Bike]:23 23 (23.0:87.0)[true-Walker]:2 10 (2.0:57.0)[false-Walker]:39 19 (39.0:83.0)[true-Van]:62 12 (62.0:53.0)[false-City Cargo Bike]:50 19 (50.0:25.0)[false-Van]:31 8 (31.0:49.0)[false-City Cargo Bike]:21 16 (21.0:51.0)[false-Van]:22 4 (22.0:23.0)[false-City Cargo Bike]:28 2 (28.0:47.0)[false-Van]:16 13 (16.0:71.0)[false-City Cargo Bike]:30 23 (30.0:83.0)[true-Walker]:32 5 (32.0:21.0)[false-City Cargo Bike]:9 4 (9.0:25.0)[false-City Cargo Bike]:34 26 (34.0:69.0)[false-City Cargo Bike]:35 12 (35.0:37.0)[true-Van]:36 8 (36.0:37.0)[false-City Cargo Bike]:56 9 (56.0:27.0)[false-City Cargo Bike]:64 8 (64.0:9.0)[false-City Cargo Bike]:59 15 (59.0:9.0)[false-Walker]:37 3 (37.0:5.0)[false-City Cargo Bike]:40 16 (40.0:17.0)[false-City Cargo Bike]:41 2 (41.0:5.0)[false-Van]:43 17 (43.0:59.0)[false-Walker]:42 3 (42.0:81.0)[false-City Cargo Bike]:29 21 (29.0:59.0)[false-City Cargo Bike]:44 7 (44.0:63.0)[true-Van]:45 5 (45.0:21.0)[false-Walker]:47 4 (47.0:21.0)[false-Walker]:48 12 (48.0:9.0)[false-Walker]:51 26 (51.0:13.0)[false-Van]:52 24 (52.0:47.0)[false-Van]:61 11 (61.0:33.0)[false-City Cargo Bike]:60 5 (60.0:25.0)[false-City Cargo Bike]:11 5 (11.0:87.0)[false-City Cargo Bike]:7 17 (7.0:93.0)[false-City Cargo Bike]:33 8 (33.0:51.0)[true-Van]:6 24 (6.0:21.0)[false-City Cargo Bike]:8 1 (8.0:5.0)[false-City Cargo Bike]:3 15 (3.0:1.0)[false-Van]:55 22 (55.0:21.0)[false-Van]:58 19 (58.0:63.0)[false-Van]:53 5 (53.0:77.0)[false-Walker]:,SOL:R:City Cargo Bike::R:City Cargo Bike:4::R:City Cargo Bike:14::R:City Cargo Bike:12::R:City Cargo Bike:10::R:Van:27:15:17:20:24:5:13::R:City Cargo Bike:26::R:City Cargo Bike:25::R:City Cargo Bike:63::R:Van:46:54:57:49:38:18:19::R:Walker:23::R:Walker:2::R:Van:39:62:50:31:21:22:28:16::R:Walker:30::R:City Cargo Bike:32:9::R:City Cargo Bike:34::R:Van:35:36:56:64:59:37:40:41:43:42::R:City Cargo Bike:29::R:Van:44:45:47:48:51:52:61:60:11::R:City Cargo Bike:7::R:Van:33:6:8:3:55:58:53:,84785.6595914904,21.0,104927.0535458343,443851.65840215003,1470.0,442381.65840215003,7478.608189471399,NaN,7045.264419081746,1665.5087864418142,29.0,14.0,0.0,57.0,76.0,5.0,0.0,19.0,25.0,13.0,0.0,63.0,67.0,7.0,0.0,26.0
0:0:1:1,160650.3402417941,0,0,1,1,2 10 (2.0:57.0)[false-Van]:3 15 (3.0:1.0)[false-City Cargo Bike]:4 23 (4.0:55.0)[false-Van]:7 17 (7.0:93.0)[false-City Cargo Bike]:6 24 (6.0:21.0)[true-Van]:8 1 (8.0:5.0)[false-City Cargo Bike]:9 4 (9.0:25.0)[false-City Cargo Bike]:35 12 (35.0:37.0)[false-City Cargo Bike]:10 2 (10.0:47.0)[false-City Cargo Bike]:11 5 (11.0:87.0)[false-City Cargo Bike]:12 18 (12.0:67.0)[true-Van]:14 8 (14.0:67.0)[false-City Cargo Bike]:15 23 (15.0:45.0)[false-City Cargo Bike]:16 13 (16.0:71.0)[false-City Cargo Bike]:17 4 (17.0:29.0)[false-City Cargo Bike]:18 18 (18.0:59.0)[false-City Cargo Bike]:19 16 (19.0:93.0)[false-City Cargo Bike]:5 23 (5.0:29.0)[false-Van]:21 16 (21.0:51.0)[false-City Cargo Bike]:53 5 (53.0:77.0)[false-City Cargo Bike]:57 18 (57.0:83.0)[false-City Cargo Bike]:23 23 (23.0:87.0)[false-City Cargo Bike]:13 9 (13.0:71.0)[false-City Cargo Bike]:20 26 (20.0:47.0)[false-City Cargo Bike]:25 26 (25.0:45.0)[false-City Cargo Bike]:22 4 (22.0:23.0)[false-City Cargo Bike]:55 22 (55.0:21.0)[false-City Cargo Bike]:59 15 (59.0:9.0)[false-City Cargo Bike]:31 8 (31.0:49.0)[false-City Cargo Bike]:44 7 (44.0:63.0)[false-Walker]:41 2 (41.0:5.0)[false-City Cargo Bike]:24 8 (24.0:39.0)[false-City Cargo Bike]:43 17 (43.0:59.0)[false-City Cargo Bike]:26 16 (26.0:85.0)[false-City Cargo Bike]:27 5 (27.0:35.0)[false-City Cargo Bike]:36 8 (36.0:37.0)[false-City Cargo Bike]:28 2 (28.0:47.0)[false-City Cargo Bike]:29 21 (29.0:59.0)[true-City Cargo Bike]:46 8 (46.0:71.0)[false-City Cargo Bike]:30 23 (30.0:83.0)[false-City Cargo Bike]:32 5 (32.0:21.0)[false-City Cargo Bike]:42 3 (42.0:81.0)[false-City Cargo Bike]:33 8 (33.0:51.0)[false-City Cargo Bike]:34 26 (34.0:69.0)[false-City Cargo Bike]:39 19 (39.0:83.0)[false-City Cargo Bike]:37 3 (37.0:5.0)[false-City Cargo Bike]:45 5 (45.0:21.0)[false-City Cargo Bike]:63 54 (63.0:51.0)[false-City Cargo Bike]:48 12 (48.0:9.0)[true-Van]:47 4 (47.0:21.0)[false-City Cargo Bike]:58 19 (58.0:63.0)[false-City Cargo Bike]:52 24 (52.0:47.0)[false-City Cargo Bike]:62 12 (62.0:53.0)[false-City Cargo Bike]:64 8 (64.0:9.0)[false-City Cargo Bike]:49 19 (49.0:65.0)[false-City Cargo Bike]:50 19 (50.0:25.0)[true-Van]:40 16 (40.0:17.0)[false-City Cargo Bike]:38 8 (38.0:37.0)[false-City Cargo Bike]:56 9 (56.0:27.0)[false-City Cargo Bike]:51 26 (51.0:13.0)[false-Walker]:61 11 (61.0:33.0)[false-City Cargo Bike]:60 5 (60.0:25.0)[false-City Cargo Bike]:54 8 (54.0:57.0)[false-City Cargo Bike]:,SOL:R:Van:2:3:4:7::R:Van:6:8:9:35:10:11::R:Van:12:14:15:16:17:18:19::R:Van:5:21:53:57:23:13::R:City Cargo Bike:20::R:City Cargo Bike:25::R:City Cargo Bike:22::R:City Cargo Bike:55::R:City Cargo Bike:59::R:City Cargo Bike:31::R:Walker:44::R:City Cargo Bike:41:24::R:City Cargo Bike:43::R:City Cargo Bike:26::R:City Cargo Bike:27::R:City Cargo Bike:36:28::R:City Cargo Bike:29::R:City Cargo Bike:46::R:City Cargo Bike:30::R:City Cargo Bike:32:42::R:City Cargo Bike:33::R:City Cargo Bike:34::R:City Cargo Bike:39::R:City Cargo Bike:37:45::R:City Cargo Bike:63::R:Van:48:47:58:52:62:64:49::R:Van:50:40:38:56:51:61:60::R:City Cargo Bike:54:,160650.3402417941,28.0,113259.55144892886,617595.5142508033,1820.0,615775.5142508033,7634.981297862395,2774.2962919136985,9803.103400806402,1797.7706579195058,21.0,4.0,0.0,75.0,59.0,2.0,0.0,40.0,14.0,4.0,0.0,82.0,59.0,1.0,0.0,40.0
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
