Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol
0:0:0:0,-1.0,0,0,0,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:0,76480.81307811123,0,0,1,0,3 14 (3.0:97.0)[false-City Cargo Bike]:5 11 (5.0:77.0)[true-Van]:17 24 (17.0:71.0)[false-City Cargo Bike]:28 15 (28.0:53.0)[false-City Cargo Bike]:6 22 (6.0:3.0)[false-City Cargo Bike]:7 25 (7.0:5.0)[false-City Cargo Bike]:8 2 (8.0:41.0)[false-City Cargo Bike]:45 7 (45.0:37.0)[true-Van]:41 9 (41.0:45.0)[false-City Cargo Bike]:23 5 (23.0:11.0)[false-City Cargo Bike]:32 2 (32.0:11.0)[false-City Cargo Bike]:39 8 (39.0:13.0)[false-City Cargo Bike]:38 23 (38.0:23.0)[false-Van]:36 13 (36.0:37.0)[false-City Cargo Bike]:15 11 (15.0:57.0)[false-City Cargo Bike]:9 18 (9.0:51.0)[false-City Cargo Bike]:10 10 (10.0:67.0)[true-Van]:11 26 (11.0:89.0)[false-City Cargo Bike]:14 9 (14.0:85.0)[false-City Cargo Bike]:30 2 (30.0:81.0)[false-City Cargo Bike]:22 8 (22.0:87.0)[false-City Cargo Bike]:12 14 (12.0:71.0)[false-City Cargo Bike]:35 3 (35.0:63.0)[false-Van]:16 18 (16.0:57.0)[false-City Cargo Bike]:18 15 (18.0:61.0)[false-City Cargo Bike]:19 23 (19.0:39.0)[false-City Cargo Bike]:20 16 (20.0:13.0)[false-City Cargo Bike]:4 5 (4.0:23.0)[true-City Cargo Bike]:2 20 (2.0:1.0)[false-City Cargo Bike]:25 8 (25.0:77.0)[true-City Cargo Bike]:26 16 (26.0:3.0)[false-City Cargo Bike]:37 25 (37.0:33.0)[false-City Cargo Bike]:27 12 (27.0:47.0)[false-City Cargo Bike]:47 18 (47.0:97.0)[false-City Cargo Bike]:29 9 (29.0:73.0)[true-Van]:31 10 (31.0:89.0)[false-City Cargo Bike]:42 14 (42.0:83.0)[false-Van]:43 4 (43.0:69.0)[false-Van]:46 16 (46.0:53.0)[false-Walker]:48 16 (48.0:75.0)[false-Walker]:40 16 (40.0:47.0)[false-City Cargo Bike]:21 14 (21.0:43.0)[false-City Cargo Bike]:24 12 (24.0:21.0)[false-City Cargo Bike]:13 22 (13.0:11.0)[false-City Cargo Bike]:33 3 (33.0:27.0)[false-City Cargo Bike]:34 20 (34.0:95.0)[false-City Cargo Bike]:44 13 (44.0:13.0)[false-City Cargo Bike]:,SOL:R:City Cargo Bike::R:City Cargo Bike:3::R:Van:5:17:28:6:7:8::R:Van:45:41:23:32:39:38:36:15:9::R:Van:10:11:14:30:22:12:35:16::R:City Cargo Bike:18::R:City Cargo Bike:19::R:City Cargo Bike:20::R:City Cargo Bike:4::R:City Cargo Bike:2::R:City Cargo Bike:25::R:City Cargo Bike:26::R:City Cargo Bike:37::R:City Cargo Bike:27::R:City Cargo Bike:47::R:Van:29:31:42:43:46:48:40:21::R:City Cargo Bike:24::R:City Cargo Bike:13::R:City Cargo Bike:33::R:City Cargo Bike:34::R:City Cargo Bike:44:,76480.81307811123,21.0,31404.099345671268,235942.28445496768,1330.0,234612.28445496768,5821.04900307401,NaN,5020.048605424844,668.172326503644,19.0,0.0,0.0,81.0,66.0,0.0,0.0,34.0,8.0,0.0,0.0,92.0,61.0,0.0,0.0,39.0
0:0:1:1,85040.13817882311,0,0,1,1,2 20 (2.0:1.0)[false-Van]:6 22 (6.0:3.0)[false-City Cargo Bike]:7 25 (7.0:5.0)[false-City Cargo Bike]:46 16 (46.0:53.0)[false-City Cargo Bike]:8 2 (8.0:41.0)[false-City Cargo Bike]:13 22 (13.0:11.0)[true-Walker]:3 14 (3.0:97.0)[true-Van]:41 9 (41.0:45.0)[false-City Cargo Bike]:45 7 (45.0:37.0)[false-City Cargo Bike]:40 16 (40.0:47.0)[false-City Cargo Bike]:27 12 (27.0:47.0)[false-City Cargo Bike]:9 18 (9.0:51.0)[false-City Cargo Bike]:10 10 (10.0:67.0)[true-City Cargo Bike]:11 26 (11.0:89.0)[true-Van]:5 11 (5.0:77.0)[false-City Cargo Bike]:22 8 (22.0:87.0)[false-City Cargo Bike]:29 9 (29.0:73.0)[false-City Cargo Bike]:12 14 (12.0:71.0)[false-City Cargo Bike]:14 9 (14.0:85.0)[false-City Cargo Bike]:25 8 (25.0:77.0)[false-City Cargo Bike]:18 15 (18.0:61.0)[false-City Cargo Bike]:20 16 (20.0:13.0)[false-City Cargo Bike]:19 23 (19.0:39.0)[false-City Cargo Bike]:39 8 (39.0:13.0)[true-City Cargo Bike]:30 2 (30.0:81.0)[false-City Cargo Bike]:16 18 (16.0:57.0)[false-City Cargo Bike]:23 5 (23.0:11.0)[false-City Cargo Bike]:35 3 (35.0:63.0)[false-City Cargo Bike]:44 13 (44.0:13.0)[true-City Cargo Bike]:24 12 (24.0:21.0)[true-City Cargo Bike]:17 24 (17.0:71.0)[false-City Cargo Bike]:26 16 (26.0:3.0)[false-City Cargo Bike]:28 15 (28.0:53.0)[false-City Cargo Bike]:31 10 (31.0:89.0)[false-City Cargo Bike]:32 2 (32.0:11.0)[false-City Cargo Bike]:4 5 (4.0:23.0)[false-City Cargo Bike]:34 20 (34.0:95.0)[true-Van]:36 13 (36.0:37.0)[false-City Cargo Bike]:37 25 (37.0:33.0)[false-City Cargo Bike]:38 23 (38.0:23.0)[false-City Cargo Bike]:15 11 (15.0:57.0)[false-City Cargo Bike]:42 14 (42.0:83.0)[false-City Cargo Bike]:43 4 (43.0:69.0)[false-City Cargo Bike]:33 3 (33.0:27.0)[false-City Cargo Bike]:21 14 (21.0:43.0)[false-City Cargo Bike]:47 18 (47.0:97.0)[false-City Cargo Bike]:48 16 (48.0:75.0)[false-City Cargo Bike]:,SOL:R:Van:2:6:7:46:8::R:Walker:13::R:Van:3:41:45:40:27:9::R:City Cargo Bike:10::R:Van:11:5:22:29:12:14:25:18::R:City Cargo Bike:20::R:City Cargo Bike:19::R:City Cargo Bike:39:30::R:City Cargo Bike:16::R:City Cargo Bike:23:35::R:City Cargo Bike:44::R:City Cargo Bike:24::R:City Cargo Bike:17::R:City Cargo Bike:26::R:City Cargo Bike:28::R:City Cargo Bike:31::R:City Cargo Bike:32:4::R:Van:34:36:37:38:15::R:City Cargo Bike:42::R:City Cargo Bike:43:33::R:City Cargo Bike:21::R:City Cargo Bike:47::R:City Cargo Bike:48:,85040.13817882311,23.0,31777.299624719577,254131.25538191714,1430.0,252701.25538191714,5838.927793820076,2050.144752261617,5407.047986849301,676.112757972757,17.0,4.0,0.0,78.0,51.0,2.0,0.0,47.0,7.0,5.0,0.0,88.0,56.0,4.0,0.0,40.0
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
