Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,z,source
0:0:0:0,31072.75102,0,0,0,0,2 5 (2.0:77.0)[false-City Cargo Bike]:12 5 (12.0:53.0)[false-City Cargo Bike]:32 24 (32.0:68.0)[false-City Cargo Bike]:11 20 (11.0:48.0)[false-City Cargo Bike]:4 14 (4.0:77.0)[false-City Cargo Bike]:10 18 (10.0:82.0)[false-City Cargo Bike]:24 14 (24.0:52.0)[false-City Cargo Bike]:18 24 (18.0:73.0)[false-City Cargo Bike]:31 20 (31.0:42.0)[false-City Cargo Bike]:23 19 (23.0:47.0)[true-Van]:25 13 (25.0:32.0)[false-City Cargo Bike]:33 3 (33.0:7.0)[false-City Cargo Bike]:27 2 (27.0:17.0)[false-Van]:14 23 (14.0:7.0)[false-City Cargo Bike]:21 8 (21.0:23.0)[false-City Cargo Bike]:3 23 (3.0:28.0)[false-City Cargo Bike]:6 8 (6.0:32.0)[false-Van]:5 13 (5.0:32.0)[false-City Cargo Bike]:8 19 (8.0:8.0)[true-Van]:9 10 (9.0:7.0)[false-City Cargo Bike]:28 23 (28.0:38.0)[false-City Cargo Bike]:20 14 (20.0:58.0)[false-City Cargo Bike]:13 9 (13.0:39.0)[false-City Cargo Bike]:7 18 (7.0:42.0)[false-City Cargo Bike]:29 15 (29.0:58.0)[false-Van]:26 14 (26.0:39.0)[false-City Cargo Bike]:19 13 (19.0:59.0)[false-City Cargo Bike]:15 9 (15.0:67.0)[false-City Cargo Bike]:22 10 (22.0:68.0)[false-City Cargo Bike]:30 8 (30.0:82.0)[false-City Cargo Bike]:17 10 (17.0:72.0)[false-City Cargo Bike]:16 18 (16.0:54.0)[false-City Cargo Bike]:,SOL:R:City Cargo Bike:2:12::R:City Cargo Bike:32::R:City Cargo Bike:11::R:City Cargo Bike:4::R:City Cargo Bike:10::R:City Cargo Bike:24::R:City Cargo Bike:18::R:City Cargo Bike:31::R:Van:23:25:33:27:14:21:3:6::R:City Cargo Bike:5::R:Van:8:9:28:20:13:7::R:Van:29:26:19:15:22:30:17:16:,31072.75102,12,20168.26241,115392.9843,810,114582.9843,4911.560834,1355.945832,3606.030759,630.2582002,25,0,0,75,69,0,0,31,13,0,0,87,65,0,0,35,RndSwap:simple
0:0:0:1,-1,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:2,-1,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:3,-1,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:4,-1,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:0,30654.32099,0,0,1,0,19 13 (19.0:59.0)[true-City Cargo Bike]:27 2 (27.0:17.0)[true-Van]:13 9 (13.0:39.0)[false-City Cargo Bike]:12 5 (12.0:53.0)[false-City Cargo Bike]:15 9 (15.0:67.0)[false-Walker]:22 10 (22.0:68.0)[false-City Cargo Bike]:20 14 (20.0:58.0)[false-City Cargo Bike]:16 18 (16.0:54.0)[false-City Cargo Bike]:6 8 (6.0:32.0)[false-City Cargo Bike]:3 23 (3.0:28.0)[true-City Cargo Bike]:29 15 (29.0:58.0)[true-Walker]:23 19 (23.0:47.0)[true-City Cargo Bike]:7 18 (7.0:42.0)[true-City Cargo Bike]:21 8 (21.0:23.0)[false-Van]:8 19 (8.0:8.0)[false-Van]:14 23 (14.0:7.0)[false-Van]:9 10 (9.0:7.0)[false-City Cargo Bike]:33 3 (33.0:7.0)[false-Van]:26 14 (26.0:39.0)[false-City Cargo Bike]:5 13 (5.0:32.0)[false-City Cargo Bike]:10 18 (10.0:82.0)[false-Van]:30 8 (30.0:82.0)[false-City Cargo Bike]:32 24 (32.0:68.0)[false-City Cargo Bike]:17 10 (17.0:72.0)[false-Walker]:4 14 (4.0:77.0)[false-Walker]:2 5 (2.0:77.0)[false-Walker]:11 20 (11.0:48.0)[false-Van]:18 24 (18.0:73.0)[true-City Cargo Bike]:24 14 (24.0:52.0)[false-City Cargo Bike]:31 20 (31.0:42.0)[false-City Cargo Bike]:28 23 (28.0:38.0)[false-City Cargo Bike]:25 13 (25.0:32.0)[false-Walker]:,SOL:R:City Cargo Bike::R:City Cargo Bike:19::R:Van:27:13:12:15:22:20:16:6::R:City Cargo Bike:3::R:Walker:29::R:City Cargo Bike:23::R:City Cargo Bike:7::R:Van:21:8:14:9:33:26:5::R:Van:10:30:32:17:4:2:11::R:City Cargo Bike:18::R:City Cargo Bike:24::R:City Cargo Bike:31::R:City Cargo Bike:28::R:Walker:25:,30654.32099,14,18662.34834,110740.7477,910,109830.7477,4983.193142,NaN,3460.648365,583.1983857,21,14,0,64,69,6,0,25,12,21,0,67,59,6,0,35,RndSwap:simple
0:0:1:1,37348.58738,0,0,1,1,14 23 (14.0:7.0)[false-City Cargo Bike]:19 13 (19.0:59.0)[false-Walker]:26 14 (26.0:39.0)[false-City Cargo Bike]:3 23 (3.0:28.0)[false-City Cargo Bike]:5 13 (5.0:32.0)[true-City Cargo Bike]:6 8 (6.0:32.0)[true-Walker]:2 5 (2.0:77.0)[false-Van]:4 14 (4.0:77.0)[false-City Cargo Bike]:10 18 (10.0:82.0)[false-City Cargo Bike]:17 10 (17.0:72.0)[false-City Cargo Bike]:32 24 (32.0:68.0)[false-City Cargo Bike]:7 18 (7.0:42.0)[false-City Cargo Bike]:8 19 (8.0:8.0)[true-Walker]:9 10 (9.0:7.0)[false-City Cargo Bike]:11 20 (11.0:48.0)[false-City Cargo Bike]:15 9 (15.0:67.0)[true-Van]:18 24 (18.0:73.0)[false-City Cargo Bike]:28 23 (28.0:38.0)[false-City Cargo Bike]:20 14 (20.0:58.0)[false-City Cargo Bike]:31 20 (31.0:42.0)[false-City Cargo Bike]:13 9 (13.0:39.0)[false-City Cargo Bike]:21 8 (21.0:23.0)[true-Van]:24 14 (24.0:52.0)[false-City Cargo Bike]:22 10 (22.0:68.0)[false-City Cargo Bike]:29 15 (29.0:58.0)[false-City Cargo Bike]:23 19 (23.0:47.0)[false-City Cargo Bike]:25 13 (25.0:32.0)[false-Walker]:16 18 (16.0:54.0)[false-City Cargo Bike]:30 8 (30.0:82.0)[false-City Cargo Bike]:12 5 (12.0:53.0)[false-City Cargo Bike]:27 2 (27.0:17.0)[false-Van]:33 3 (33.0:7.0)[false-Van]:,SOL:R:City Cargo Bike::R:City Cargo Bike:14::R:Walker:19::R:City Cargo Bike:26::R:City Cargo Bike:3::R:City Cargo Bike:5::R:Walker:6::R:Van:2:4:10:17:32:7::R:Walker:8::R:City Cargo Bike:9::R:City Cargo Bike:11::R:Van:15:18:28:20:31:13::R:Van:21:24:22:29:23:25:16::R:City Cargo Bike:30::R:City Cargo Bike:12:27:33:,37348.58738,15,20836.61479,129832.3732,960,128872.3732,4756.557597,NaN,4057.261663,651.1442121,20,20,0,60,59,9,0,31,11,21,0,68,64,9,0,27,RndSwap:simple
0:0:1:2,-1,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:3,-1,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:4,-1,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
