Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,z,source
0:0:0:0,35309.17871,0,0,0,0,3 18 (3.0:33.0)[false-City Cargo Bike]:2 26 (2.0:64.0)[false-Van]:12 7 (12.0:82.0)[false-City Cargo Bike]:4 16 (4.0:77.0)[false-Van]:22 1 (22.0:94.0)[false-City Cargo Bike]:24 12 (24.0:96.0)[false-City Cargo Bike]:18 4 (18.0:94.0)[false-City Cargo Bike]:10 9 (10.0:73.0)[false-City Cargo Bike]:37 19 (37.0:8.0)[false-City Cargo Bike]:16 22 (16.0:5.0)[true-City Cargo Bike]:54 2 (54.0:26.0)[false-City Cargo Bike]:13 6 (13.0:30.0)[false-City Cargo Bike]:9 9 (9.0:7.0)[false-City Cargo Bike]:61 2 (61.0:54.0)[false-Van]:52 16 (52.0:0.0)[false-City Cargo Bike]:45 10 (45.0:28.0)[false-Walker]:44 16 (44.0:21.0)[false-City Cargo Bike]:53 6 (53.0:12.0)[false-City Cargo Bike]:49 24 (49.0:30.0)[false-City Cargo Bike]:17 23 (17.0:1.0)[false-City Cargo Bike]:21 7 (21.0:14.0)[true-Van]:59 26 (59.0:93.0)[false-City Cargo Bike]:25 22 (25.0:74.0)[false-City Cargo Bike]:26 6 (26.0:68.0)[false-City Cargo Bike]:41 26 (41.0:35.0)[false-City Cargo Bike]:33 9 (33.0:38.0)[false-City Cargo Bike]:8 4 (8.0:7.0)[false-City Cargo Bike]:7 11 (7.0:38.0)[false-City Cargo Bike]:6 7 (6.0:53.0)[true-Van]:5 8 (5.0:96.0)[false-City Cargo Bike]:36 18 (36.0:93.0)[false-City Cargo Bike]:27 11 (27.0:73.0)[false-City Cargo Bike]:34 20 (34.0:90.0)[false-City Cargo Bike]:50 19 (50.0:85.0)[false-City Cargo Bike]:35 2 (35.0:58.0)[false-City Cargo Bike]:31 14 (31.0:52.0)[false-City Cargo Bike]:42 3 (42.0:96.0)[true-Van]:28 12 (28.0:92.0)[false-City Cargo Bike]:43 23 (43.0:73.0)[false-City Cargo Bike]:56 2 (56.0:71.0)[false-Walker]:46 9 (46.0:55.0)[false-Van]:47 21 (47.0:56.0)[false-Van]:48 24 (48.0:68.0)[false-Van]:32 2 (32.0:61.0)[false-City Cargo Bike]:14 1 (14.0:38.0)[false-City Cargo Bike]:62 7 (62.0:26.0)[false-Van]:55 2 (55.0:72.0)[false-Van]:40 16 (40.0:84.0)[false-City Cargo Bike]:51 12 (51.0:85.0)[false-Van]:60 21 (60.0:70.0)[false-Van]:57 23 (57.0:33.0)[false-Van]:29 2 (29.0:4.0)[false-City Cargo Bike]:11 16 (11.0:4.0)[false-City Cargo Bike]:58 16 (58.0:51.0)[false-Van]:19 3 (19.0:50.0)[false-City Cargo Bike]:20 20 (20.0:35.0)[false-City Cargo Bike]:30 14 (30.0:24.0)[false-City Cargo Bike]:38 18 (38.0:13.0)[false-City Cargo Bike]:39 4 (39.0:34.0)[false-City Cargo Bike]:15 2 (15.0:42.0)[false-City Cargo Bike]:23 2 (23.0:23.0)[false-City Cargo Bike]:,SOL:R:City Cargo Bike::R:City Cargo Bike:3::R:Van:2:12:4:22:24:18:10:37::R:City Cargo Bike:16::R:City Cargo Bike:54:13::R:City Cargo Bike:9::R:Van:61:52:45:44:53:49:17::R:Van:21:59:25:26:41:33:8::R:City Cargo Bike:7::R:Van:6:5:36:27:34:50:35:31::R:Van:42:28:43:56:46:47:48:32:14::R:Van:62:55:40:51:60:57:29:11::R:Van:58:19:20:30:38:39:15:23:,35309.17871,13,108495.8447,353847.5538,1140,352707.5538,7830.683689,NaN,5800.77957,1778.620406,54,0,0,46,90,0,0,10,61,0,0,39,91,0,0,9,RndSwap:simple
0:0:0:1,-1,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:2,-1,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:3,-1,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:4,-1,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:0,48367.80979,0,0,1,0,2 26 (2.0:64.0)[true-Van]:3 18 (3.0:33.0)[false-City Cargo Bike]:4 16 (4.0:77.0)[false-City Cargo Bike]:10 9 (10.0:73.0)[false-City Cargo Bike]:15 2 (15.0:42.0)[false-City Cargo Bike]:13 6 (13.0:30.0)[false-City Cargo Bike]:16 22 (16.0:5.0)[false-City Cargo Bike]:17 23 (17.0:1.0)[true-Walker]:26 6 (26.0:68.0)[false-City Cargo Bike]:39 4 (39.0:34.0)[false-Van]:6 7 (6.0:53.0)[false-City Cargo Bike]:19 3 (19.0:50.0)[false-City Cargo Bike]:33 9 (33.0:38.0)[true-City Cargo Bike]:14 1 (14.0:38.0)[false-City Cargo Bike]:5 8 (5.0:96.0)[false-City Cargo Bike]:35 2 (35.0:58.0)[false-City Cargo Bike]:12 7 (12.0:82.0)[false-City Cargo Bike]:23 2 (23.0:23.0)[false-City Cargo Bike]:34 20 (34.0:90.0)[true-Van]:36 18 (36.0:93.0)[false-City Cargo Bike]:49 24 (49.0:30.0)[false-Van]:11 16 (11.0:4.0)[false-City Cargo Bike]:28 12 (28.0:92.0)[true-Van]:32 2 (32.0:61.0)[false-City Cargo Bike]:31 14 (31.0:52.0)[false-City Cargo Bike]:57 23 (57.0:33.0)[false-Van]:46 9 (46.0:55.0)[false-City Cargo Bike]:58 16 (58.0:51.0)[false-Van]:44 16 (44.0:21.0)[false-City Cargo Bike]:30 14 (30.0:24.0)[true-Van]:27 11 (27.0:73.0)[false-City Cargo Bike]:18 4 (18.0:94.0)[false-Van]:42 3 (42.0:96.0)[false-Van]:24 12 (24.0:96.0)[false-City Cargo Bike]:22 1 (22.0:94.0)[false-City Cargo Bike]:25 22 (25.0:74.0)[false-City Cargo Bike]:47 21 (47.0:56.0)[false-Van]:45 10 (45.0:28.0)[false-City Cargo Bike]:48 24 (48.0:68.0)[true-Van]:50 19 (50.0:85.0)[false-Van]:43 23 (43.0:73.0)[false-City Cargo Bike]:51 12 (51.0:85.0)[false-Van]:52 16 (52.0:0.0)[false-Van]:8 4 (8.0:7.0)[false-City Cargo Bike]:9 9 (9.0:7.0)[true-Van]:53 6 (53.0:12.0)[true-Van]:54 2 (54.0:26.0)[false-Van]:41 26 (41.0:35.0)[false-City Cargo Bike]:40 16 (40.0:84.0)[false-City Cargo Bike]:55 2 (55.0:72.0)[false-Van]:56 2 (56.0:71.0)[false-Van]:59 26 (59.0:93.0)[false-Van]:21 7 (21.0:14.0)[false-City Cargo Bike]:20 20 (20.0:35.0)[false-Van]:7 11 (7.0:38.0)[false-City Cargo Bike]:38 18 (38.0:13.0)[false-City Cargo Bike]:37 19 (37.0:8.0)[false-City Cargo Bike]:61 2 (61.0:54.0)[false-Van]:60 21 (60.0:70.0)[false-Van]:62 7 (62.0:26.0)[false-City Cargo Bike]:29 2 (29.0:4.0)[false-Van]:,SOL:R:Van::R:Van:2:3:4:10:15:13:16::R:Walker:17::R:City Cargo Bike:26:39::R:City Cargo Bike:6:19::R:City Cargo Bike:33:14::R:City Cargo Bike:5:35::R:City Cargo Bike:12:23::R:Van:34:36:49:11::R:Van:28:32:31:57:46:58:44::R:Van:30:27:18:42:24:22:25:47:45::R:Van:48:50:43:51:52:8::R:Van:9::R:Van:53:54:41:40:55:56:59:21::R:Van:20:7:38:37:61:60:62:29:,48367.80979,15,105977.6985,373657.6358,1380,372277.6358,7819.94188,NaN,6125.535013,1737.33932,60,7,0,33,82,2,0,16,44,4,0,52,90,3,0,7,CrossOver:simple
0:0:1:1,126653.8818,0,0,1,1,21 7 (21.0:14.0)[true-City Cargo Bike]:41 26 (41.0:35.0)[false-City Cargo Bike]:3 18 (3.0:33.0)[false-City Cargo Bike]:7 11 (7.0:38.0)[false-City Cargo Bike]:2 26 (2.0:64.0)[false-Van]:12 7 (12.0:82.0)[false-City Cargo Bike]:4 16 (4.0:77.0)[false-Van]:22 1 (22.0:94.0)[false-City Cargo Bike]:50 19 (50.0:85.0)[false-City Cargo Bike]:18 4 (18.0:94.0)[false-City Cargo Bike]:10 9 (10.0:73.0)[false-City Cargo Bike]:16 22 (16.0:5.0)[true-City Cargo Bike]:31 14 (31.0:52.0)[false-City Cargo Bike]:24 12 (24.0:96.0)[false-City Cargo Bike]:52 16 (52.0:0.0)[false-City Cargo Bike]:54 2 (54.0:26.0)[false-City Cargo Bike]:13 6 (13.0:30.0)[false-City Cargo Bike]:53 6 (53.0:12.0)[false-City Cargo Bike]:14 1 (14.0:38.0)[false-City Cargo Bike]:23 2 (23.0:23.0)[false-City Cargo Bike]:27 11 (27.0:73.0)[false-City Cargo Bike]:9 9 (9.0:7.0)[false-City Cargo Bike]:61 2 (61.0:54.0)[false-Van]:44 16 (44.0:21.0)[false-City Cargo Bike]:45 10 (45.0:28.0)[false-Walker]:37 19 (37.0:8.0)[false-City Cargo Bike]:49 24 (49.0:30.0)[false-City Cargo Bike]:17 23 (17.0:1.0)[false-City Cargo Bike]:20 20 (20.0:35.0)[false-City Cargo Bike]:36 18 (36.0:93.0)[false-City Cargo Bike]:25 22 (25.0:74.0)[false-City Cargo Bike]:26 6 (26.0:68.0)[false-City Cargo Bike]:8 4 (8.0:7.0)[false-City Cargo Bike]:34 20 (34.0:90.0)[false-City Cargo Bike]:11 16 (11.0:4.0)[false-City Cargo Bike]:6 7 (6.0:53.0)[true-Van]:5 8 (5.0:96.0)[false-City Cargo Bike]:35 2 (35.0:58.0)[false-City Cargo Bike]:33 9 (33.0:38.0)[false-City Cargo Bike]:38 18 (38.0:13.0)[false-City Cargo Bike]:30 14 (30.0:24.0)[false-City Cargo Bike]:42 3 (42.0:96.0)[true-Van]:28 12 (28.0:92.0)[false-City Cargo Bike]:43 23 (43.0:73.0)[false-City Cargo Bike]:56 2 (56.0:71.0)[false-Walker]:46 9 (46.0:55.0)[false-Van]:47 21 (47.0:56.0)[false-Van]:48 24 (48.0:68.0)[false-Van]:19 3 (19.0:50.0)[false-City Cargo Bike]:62 7 (62.0:26.0)[false-Van]:55 2 (55.0:72.0)[false-Van]:40 16 (40.0:84.0)[false-City Cargo Bike]:51 12 (51.0:85.0)[false-Van]:60 21 (60.0:70.0)[false-Van]:57 23 (57.0:33.0)[false-Van]:58 16 (58.0:51.0)[false-Van]:29 2 (29.0:4.0)[false-City Cargo Bike]:39 4 (39.0:34.0)[false-City Cargo Bike]:32 2 (32.0:61.0)[false-City Cargo Bike]:15 2 (15.0:42.0)[false-City Cargo Bike]:59 26 (59.0:93.0)[false-City Cargo Bike]:,SOL:R:City Cargo Bike::R:City Cargo Bike:21::R:City Cargo Bike:41::R:City Cargo Bike:3::R:City Cargo Bike:7::R:Van:2:12:4:22:50:18:10::R:City Cargo Bike:16::R:City Cargo Bike:31::R:City Cargo Bike:24::R:City Cargo Bike:52::R:City Cargo Bike:54:13::R:City Cargo Bike:53:14:23::R:City Cargo Bike:27::R:City Cargo Bike:9::R:Van:61:44:45:37:49:17::R:City Cargo Bike:20::R:City Cargo Bike:36::R:City Cargo Bike:25::R:City Cargo Bike:26:8::R:City Cargo Bike:34::R:City Cargo Bike:11::R:Van:6:5:35:33:38:30::R:Van:42:28:43:56:46:47:48:19::R:Van:62:55:40:51:60:57:58:29::R:City Cargo Bike:39:32:15::R:City Cargo Bike:59:,126653.8818,26,111950.6661,546029.4956,1650,544379.4956,7443.091987,NaN,8951.303206,1835.256822,19,0,0,81,57,0,0,43,18,0,0,82,59,0,0,41,RndSwap:simple
0:0:1:2,-1,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:3,-1,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:4,-1,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
