Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,z,source
0:0:0:0,11669.09883,0,0,0,0,4 3 (4.0:93.0)[false-Van]:17 6 (17.0:75.0)[false-Van]:28 20 (28.0:57.0)[false-City Cargo Bike]:19 13 (19.0:25.0)[false-City Cargo Bike]:5 20 (5.0:13.0)[false-Van]:16 14 (16.0:53.0)[true-Van]:30 6 (30.0:55.0)[false-Walker]:39 7 (39.0:45.0)[false-City Cargo Bike]:27 12 (27.0:51.0)[false-City Cargo Bike]:7 23 (7.0:31.0)[false-City Cargo Bike]:9 3 (9.0:27.0)[false-City Cargo Bike]:26 10 (26.0:3.0)[false-City Cargo Bike]:22 3 (22.0:1.0)[false-Walker]:10 20 (10.0:27.0)[false-City Cargo Bike]:6 26 (6.0:67.0)[false-Van]:3 24 (3.0:79.0)[false-City Cargo Bike]:24 16 (24.0:41.0)[false-City Cargo Bike]:12 9 (12.0:31.0)[false-Van]:13 21 (13.0:27.0)[false-Van]:14 3 (14.0:15.0)[false-City Cargo Bike]:18 6 (18.0:47.0)[true-Van]:32 2 (32.0:37.0)[false-City Cargo Bike]:31 1 (31.0:3.0)[false-City Cargo Bike]:15 24 (15.0:7.0)[false-City Cargo Bike]:2 5 (2.0:43.0)[true-Van]:11 16 (11.0:69.0)[false-Van]:8 15 (8.0:81.0)[false-City Cargo Bike]:33 13 (33.0:73.0)[false-City Cargo Bike]:25 22 (25.0:75.0)[false-City Cargo Bike]:34 7 (34.0:19.0)[false-Van]:20 5 (20.0:1.0)[false-City Cargo Bike]:21 3 (21.0:45.0)[true-Van]:35 6 (35.0:75.0)[false-Van]:23 20 (23.0:93.0)[false-Van]:38 4 (38.0:97.0)[false-Van]:36 24 (36.0:93.0)[false-City Cargo Bike]:37 19 (37.0:41.0)[false-Van]:29 24 (29.0:21.0)[false-City Cargo Bike]:,SOL:R:Van:4:17:28:19:5::R:Van:16:30:39:27:7:9:26:22:10::R:Van:6:3:24:12:13:14::R:Van:18:32:31:15::R:Van:2:11:8:33:25:34:20::R:Van:21:35:23:38:36:37:29:,11669.09883,6,58345.49413,175756.4824,720,175036.4824,6599.141164,951.0375269,4625.170589,1535.40774,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,RndSwap:simple
0:0:0:1,-1,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:2,-1,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:3,-1,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:4,-1,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:0,13710.82188,0,0,1,0,2 5 (2.0:43.0)[true-Van]:8 15 (8.0:81.0)[false-City Cargo Bike]:3 24 (3.0:79.0)[false-Van]:4 3 (4.0:93.0)[false-Van]:10 20 (10.0:27.0)[false-Van]:17 6 (17.0:75.0)[true-Van]:5 20 (5.0:13.0)[false-City Cargo Bike]:16 14 (16.0:53.0)[true-Van]:23 20 (23.0:93.0)[false-City Cargo Bike]:36 24 (36.0:93.0)[false-City Cargo Bike]:25 22 (25.0:75.0)[false-City Cargo Bike]:14 3 (14.0:15.0)[false-City Cargo Bike]:22 3 (22.0:1.0)[true-Van]:6 26 (6.0:67.0)[false-Van]:24 16 (24.0:41.0)[false-City Cargo Bike]:12 9 (12.0:31.0)[false-Van]:13 21 (13.0:27.0)[false-Van]:15 24 (15.0:7.0)[false-City Cargo Bike]:39 7 (39.0:45.0)[false-Van]:29 24 (29.0:21.0)[false-City Cargo Bike]:20 5 (20.0:1.0)[false-City Cargo Bike]:21 3 (21.0:45.0)[false-Van]:9 3 (9.0:27.0)[false-Walker]:7 23 (7.0:31.0)[true-Van]:18 6 (18.0:47.0)[false-City Cargo Bike]:38 4 (38.0:97.0)[false-Van]:35 6 (35.0:75.0)[false-City Cargo Bike]:28 20 (28.0:57.0)[false-Van]:31 1 (31.0:3.0)[false-Walker]:26 10 (26.0:3.0)[false-City Cargo Bike]:27 12 (27.0:51.0)[true-Van]:11 16 (11.0:69.0)[false-Van]:33 13 (33.0:73.0)[false-Van]:30 6 (30.0:55.0)[false-Van]:37 19 (37.0:41.0)[false-Van]:34 7 (34.0:19.0)[false-Van]:32 2 (32.0:37.0)[false-Van]:19 13 (19.0:25.0)[false-Walker]:,SOL:R:Van::R:Van:2:8:3:4:10::R:Van:17:5::R:Van:16:23:36:25:14::R:Van:22:6:24:12:13:15::R:Van:39:29:20:21:9::R:Van:7:18:38:35:28:31:26::R:Van:27:11:33:30:37:34:32:19:,13710.82188,8,68554.10942,206622.3282,960,205662.3282,6523.953192,NaN,5437.429691,1804.055511,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,RndSwap:simple
0:0:1:1,72629.44842,0,0,1,1,19 13 (19.0:25.0)[false-Van]:30 6 (30.0:55.0)[false-City Cargo Bike]:4 3 (4.0:93.0)[false-City Cargo Bike]:3 24 (3.0:79.0)[false-City Cargo Bike]:2 5 (2.0:43.0)[false-City Cargo Bike]:5 20 (5.0:13.0)[false-City Cargo Bike]:7 23 (7.0:31.0)[true-Van]:25 22 (25.0:75.0)[false-City Cargo Bike]:10 20 (10.0:27.0)[false-City Cargo Bike]:26 10 (26.0:3.0)[false-City Cargo Bike]:22 3 (22.0:1.0)[true-Van]:6 26 (6.0:67.0)[false-Van]:11 16 (11.0:69.0)[false-Van]:24 16 (24.0:41.0)[false-City Cargo Bike]:12 9 (12.0:31.0)[false-Van]:13 21 (13.0:27.0)[false-Van]:14 3 (14.0:15.0)[false-City Cargo Bike]:15 24 (15.0:7.0)[false-City Cargo Bike]:18 6 (18.0:47.0)[false-City Cargo Bike]:21 3 (21.0:45.0)[false-City Cargo Bike]:9 3 (9.0:27.0)[false-City Cargo Bike]:39 7 (39.0:45.0)[false-City Cargo Bike]:32 2 (32.0:37.0)[false-City Cargo Bike]:20 5 (20.0:1.0)[false-City Cargo Bike]:27 12 (27.0:51.0)[false-City Cargo Bike]:8 15 (8.0:81.0)[false-City Cargo Bike]:31 1 (31.0:3.0)[false-City Cargo Bike]:37 19 (37.0:41.0)[false-City Cargo Bike]:28 20 (28.0:57.0)[false-City Cargo Bike]:29 24 (29.0:21.0)[false-City Cargo Bike]:16 14 (16.0:53.0)[false-City Cargo Bike]:33 13 (33.0:73.0)[false-City Cargo Bike]:34 7 (34.0:19.0)[false-Van]:35 6 (35.0:75.0)[false-Van]:23 20 (23.0:93.0)[false-City Cargo Bike]:36 24 (36.0:93.0)[false-Van]:17 6 (17.0:75.0)[false-Van]:38 4 (38.0:97.0)[false-Van]:,SOL:R:Van:19:30:4:3:2:5::R:Van:7:25:10:26::R:Van:22:6:11:24:12:13:14::R:City Cargo Bike:15::R:City Cargo Bike:18:21::R:City Cargo Bike:9:39::R:City Cargo Bike:32:20::R:City Cargo Bike:27::R:City Cargo Bike:8::R:City Cargo Bike:31::R:City Cargo Bike:37::R:City Cargo Bike:28::R:City Cargo Bike:29::R:City Cargo Bike:16::R:City Cargo Bike:33::R:Van:34:35:23:36:17:38:,72629.44842,16,74194.00259,339243.3036,1080,338163.3036,6583.537168,1987.653207,8927.455358,1952.473752,25,0,0,75,61,0,0,39,20,0,0,80,65,0,0,35,RndSwap:simple
0:0:1:2,-1,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:3,-1,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:4,-1,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
