Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol
0:0:0:0,116593.0380131778,0,0,0,0,51 10 (51.0:23.0)[false-Van]:80 24 (80.0:87.0)[false-City Cargo Bike]:2 24 (2.0:88.0)[false-Van]:3 22 (3.0:70.0)[true-Walker]:4 23 (4.0:57.0)[false-Van]:26 12 (26.0:29.0)[false-City Cargo Bike]:16 2 (16.0:20.0)[false-City Cargo Bike]:20 12 (20.0:21.0)[false-City Cargo Bike]:10 23 (10.0:3.0)[false-City Cargo Bike]:5 5 (5.0:0.0)[false-City Cargo Bike]:7 23 (7.0:65.0)[false-City Cargo Bike]:8 26 (8.0:91.0)[false-Van]:37 12 (37.0:63.0)[false-City Cargo Bike]:6 11 (6.0:61.0)[false-City Cargo Bike]:9 9 (9.0:59.0)[false-City Cargo Bike]:40 21 (40.0:48.0)[false-City Cargo Bike]:11 9 (11.0:95.0)[false-City Cargo Bike]:58 21 (58.0:31.0)[true-Van]:59 7 (59.0:36.0)[false-City Cargo Bike]:62 22 (62.0:39.0)[false-City Cargo Bike]:12 14 (12.0:80.0)[false-City Cargo Bike]:13 16 (13.0:66.0)[false-Van]:14 12 (14.0:79.0)[false-City Cargo Bike]:15 2 (15.0:99.0)[false-City Cargo Bike]:17 6 (17.0:40.0)[true-Van]:63 18 (63.0:76.0)[false-City Cargo Bike]:64 22 (64.0:83.0)[false-City Cargo Bike]:18 20 (18.0:50.0)[false-City Cargo Bike]:19 26 (19.0:97.0)[false-City Cargo Bike]:21 15 (21.0:36.0)[false-City Cargo Bike]:22 13 (22.0:100.0)[false-City Cargo Bike]:23 26 (23.0:11.0)[false-City Cargo Bike]:55 2 (55.0:15.0)[false-City Cargo Bike]:32 2 (32.0:48.0)[false-City Cargo Bike]:28 4 (28.0:50.0)[false-City Cargo Bike]:29 20 (29.0:89.0)[false-City Cargo Bike]:33 9 (33.0:17.0)[false-City Cargo Bike]:34 1 (34.0:21.0)[false-City Cargo Bike]:35 2 (35.0:77.0)[false-City Cargo Bike]:36 2 (36.0:2.0)[false-City Cargo Bike]:27 4 (27.0:14.0)[false-City Cargo Bike]:38 14 (38.0:68.0)[false-City Cargo Bike]:39 23 (39.0:41.0)[false-City Cargo Bike]:42 13 (42.0:26.0)[false-City Cargo Bike]:43 23 (43.0:69.0)[true-Van]:44 3 (44.0:40.0)[false-City Cargo Bike]:45 6 (45.0:65.0)[false-City Cargo Bike]:46 23 (46.0:14.0)[false-City Cargo Bike]:47 11 (47.0:32.0)[false-City Cargo Bike]:48 2 (48.0:14.0)[false-City Cargo Bike]:49 7 (49.0:96.0)[false-City Cargo Bike]:41 13 (41.0:98.0)[false-City Cargo Bike]:50 13 (50.0:82.0)[false-Van]:52 3 (52.0:63.0)[false-City Cargo Bike]:53 6 (53.0:87.0)[false-City Cargo Bike]:54 13 (54.0:56.0)[false-Van]:70 9 (70.0:3.0)[false-City Cargo Bike]:66 2 (66.0:0.0)[false-City Cargo Bike]:56 14 (56.0:10.0)[false-City Cargo Bike]:57 7 (57.0:7.0)[false-City Cargo Bike]:31 9 (31.0:60.0)[false-City Cargo Bike]:30 10 (30.0:57.0)[false-City Cargo Bike]:25 7 (25.0:69.0)[false-City Cargo Bike]:24 17 (24.0:69.0)[false-City Cargo Bike]:61 13 (61.0:49.0)[false-City Cargo Bike]:60 22 (60.0:50.0)[false-City Cargo Bike]:68 5 (68.0:52.0)[false-City Cargo Bike]:67 11 (67.0:52.0)[true-Van]:65 6 (65.0:33.0)[false-City Cargo Bike]:69 9 (69.0:46.0)[false-City Cargo Bike]:71 5 (71.0:46.0)[false-City Cargo Bike]:73 2 (73.0:26.0)[false-City Cargo Bike]:79 2 (79.0:51.0)[false-Van]:77 14 (77.0:28.0)[false-Van]:76 6 (76.0:34.0)[false-Van]:78 2 (78.0:59.0)[false-Walker]:75 19 (75.0:57.0)[false-City Cargo Bike]:74 12 (74.0:75.0)[false-City Cargo Bike]:72 12 (72.0:94.0)[false-City Cargo Bike]:,SOL:R:Van:51:80:2::R:Walker:3::R:Van:4:26:16:20:10:5:7::R:Van:8:37:6:9:40:11::R:Van:58:59:62:12:13:14:15::R:Van:17:63:64:18:19::R:City Cargo Bike:21::R:City Cargo Bike:22::R:City Cargo Bike:23::R:City Cargo Bike:55:32:28::R:City Cargo Bike:29::R:City Cargo Bike:33:34::R:City Cargo Bike:35:36:27::R:City Cargo Bike:38::R:City Cargo Bike:39::R:City Cargo Bike:42::R:Van:43:44:45:46:47:48:49:41::R:Van:50:52:53:54:70:66:56:57:31:30:25::R:City Cargo Bike:24::R:City Cargo Bike:61::R:City Cargo Bike:60::R:City Cargo Bike:68::R:Van:67:65:69:71:73:79:77:76:78:75:74:72:,116593.0380131778,23.0,122618.84853092424,553705.0822067586,1710.0,551995.0822067586,7596.079702986737,2233.2311759982854,7008.925091224792,1552.1373231762561,35.0,4.0,0.0,61.0,75.0,1.0,0.0,24.0,21.0,2.0,0.0,77.0,76.0,2.0,0.0,22.0
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:0,116593.0380131778,0,0,1,0,51 10 (51.0:23.0)[true-Van]:80 24 (80.0:87.0)[false-City Cargo Bike]:2 24 (2.0:88.0)[false-Van]:3 22 (3.0:70.0)[true-Walker]:4 23 (4.0:57.0)[false-Van]:26 12 (26.0:29.0)[false-City Cargo Bike]:16 2 (16.0:20.0)[false-City Cargo Bike]:20 12 (20.0:21.0)[false-City Cargo Bike]:10 23 (10.0:3.0)[false-City Cargo Bike]:5 5 (5.0:0.0)[false-City Cargo Bike]:7 23 (7.0:65.0)[false-City Cargo Bike]:8 26 (8.0:91.0)[false-Van]:37 12 (37.0:63.0)[false-City Cargo Bike]:6 11 (6.0:61.0)[false-City Cargo Bike]:9 9 (9.0:59.0)[false-City Cargo Bike]:40 21 (40.0:48.0)[false-City Cargo Bike]:11 9 (11.0:95.0)[false-City Cargo Bike]:58 21 (58.0:31.0)[true-Van]:59 7 (59.0:36.0)[false-City Cargo Bike]:62 22 (62.0:39.0)[false-City Cargo Bike]:12 14 (12.0:80.0)[false-City Cargo Bike]:13 16 (13.0:66.0)[false-Van]:14 12 (14.0:79.0)[false-City Cargo Bike]:15 2 (15.0:99.0)[false-City Cargo Bike]:17 6 (17.0:40.0)[true-Van]:63 18 (63.0:76.0)[false-City Cargo Bike]:64 22 (64.0:83.0)[false-City Cargo Bike]:18 20 (18.0:50.0)[false-City Cargo Bike]:19 26 (19.0:97.0)[false-City Cargo Bike]:21 15 (21.0:36.0)[false-City Cargo Bike]:22 13 (22.0:100.0)[false-City Cargo Bike]:23 26 (23.0:11.0)[false-City Cargo Bike]:55 2 (55.0:15.0)[false-City Cargo Bike]:32 2 (32.0:48.0)[false-City Cargo Bike]:28 4 (28.0:50.0)[false-City Cargo Bike]:29 20 (29.0:89.0)[false-City Cargo Bike]:33 9 (33.0:17.0)[false-City Cargo Bike]:34 1 (34.0:21.0)[false-City Cargo Bike]:35 2 (35.0:77.0)[false-City Cargo Bike]:36 2 (36.0:2.0)[false-City Cargo Bike]:27 4 (27.0:14.0)[false-City Cargo Bike]:38 14 (38.0:68.0)[false-City Cargo Bike]:39 23 (39.0:41.0)[false-City Cargo Bike]:42 13 (42.0:26.0)[false-City Cargo Bike]:43 23 (43.0:69.0)[true-Van]:44 3 (44.0:40.0)[false-City Cargo Bike]:45 6 (45.0:65.0)[false-City Cargo Bike]:46 23 (46.0:14.0)[false-City Cargo Bike]:47 11 (47.0:32.0)[false-City Cargo Bike]:48 2 (48.0:14.0)[false-City Cargo Bike]:49 7 (49.0:96.0)[false-City Cargo Bike]:41 13 (41.0:98.0)[false-City Cargo Bike]:50 13 (50.0:82.0)[false-Van]:52 3 (52.0:63.0)[false-City Cargo Bike]:53 6 (53.0:87.0)[false-City Cargo Bike]:54 13 (54.0:56.0)[false-Van]:70 9 (70.0:3.0)[false-City Cargo Bike]:66 2 (66.0:0.0)[false-City Cargo Bike]:56 14 (56.0:10.0)[false-City Cargo Bike]:57 7 (57.0:7.0)[false-City Cargo Bike]:31 9 (31.0:60.0)[false-City Cargo Bike]:30 10 (30.0:57.0)[false-City Cargo Bike]:25 7 (25.0:69.0)[false-City Cargo Bike]:24 17 (24.0:69.0)[false-City Cargo Bike]:61 13 (61.0:49.0)[false-City Cargo Bike]:60 22 (60.0:50.0)[false-City Cargo Bike]:68 5 (68.0:52.0)[false-City Cargo Bike]:67 11 (67.0:52.0)[true-Van]:65 6 (65.0:33.0)[false-City Cargo Bike]:69 9 (69.0:46.0)[false-City Cargo Bike]:71 5 (71.0:46.0)[false-City Cargo Bike]:73 2 (73.0:26.0)[false-City Cargo Bike]:79 2 (79.0:51.0)[false-Van]:77 14 (77.0:28.0)[false-Van]:76 6 (76.0:34.0)[false-Van]:78 2 (78.0:59.0)[false-Walker]:75 19 (75.0:57.0)[false-City Cargo Bike]:74 12 (74.0:75.0)[false-City Cargo Bike]:72 12 (72.0:94.0)[false-City Cargo Bike]:,SOL:R:Van::R:Van:51:80:2::R:Walker:3::R:Van:4:26:16:20:10:5:7::R:Van:8:37:6:9:40:11::R:Van:58:59:62:12:13:14:15::R:Van:17:63:64:18:19::R:City Cargo Bike:21::R:City Cargo Bike:22::R:City Cargo Bike:23::R:City Cargo Bike:55:32:28::R:City Cargo Bike:29::R:City Cargo Bike:33:34::R:City Cargo Bike:35:36:27::R:City Cargo Bike:38::R:City Cargo Bike:39::R:City Cargo Bike:42::R:Van:43:44:45:46:47:48:49:41::R:Van:50:52:53:54:70:66:56:57:31:30:25::R:City Cargo Bike:24::R:City Cargo Bike:61::R:City Cargo Bike:60::R:City Cargo Bike:68::R:Van:67:65:69:71:73:79:77:76:78:75:74:72:,116593.0380131778,24.0,122618.84853092424,553825.0822067586,1830.0,551995.0822067586,7596.079702986737,NaN,7010.444078566564,1552.1373231762561,38.0,4.0,0.0,58.0,75.0,1.0,0.0,24.0,21.0,2.0,0.0,77.0,76.0,2.0,0.0,22.0
0:0:1:1,160883.03171563626,0,0,1,1,21 15 (21.0:36.0)[true-Van]:43 23 (43.0:69.0)[false-City Cargo Bike]:30 10 (30.0:57.0)[false-City Cargo Bike]:2 24 (2.0:88.0)[false-Van]:3 22 (3.0:70.0)[true-City Cargo Bike]:4 23 (4.0:57.0)[false-Van]:6 11 (6.0:61.0)[false-City Cargo Bike]:9 9 (9.0:59.0)[false-City Cargo Bike]:26 12 (26.0:29.0)[false-City Cargo Bike]:17 6 (17.0:40.0)[false-City Cargo Bike]:18 20 (18.0:50.0)[false-City Cargo Bike]:32 2 (32.0:48.0)[false-City Cargo Bike]:11 9 (11.0:95.0)[false-City Cargo Bike]:8 26 (8.0:91.0)[false-Van]:7 23 (7.0:65.0)[true-Van]:13 16 (13.0:66.0)[false-City Cargo Bike]:5 5 (5.0:0.0)[false-Van]:10 23 (10.0:3.0)[false-City Cargo Bike]:12 14 (12.0:80.0)[false-City Cargo Bike]:15 2 (15.0:99.0)[true-Walker]:19 26 (19.0:97.0)[false-City Cargo Bike]:14 12 (14.0:79.0)[false-City Cargo Bike]:33 9 (33.0:17.0)[false-City Cargo Bike]:23 26 (23.0:11.0)[false-City Cargo Bike]:29 20 (29.0:89.0)[false-City Cargo Bike]:31 9 (31.0:60.0)[false-City Cargo Bike]:38 14 (38.0:68.0)[false-City Cargo Bike]:35 2 (35.0:77.0)[false-City Cargo Bike]:37 12 (37.0:63.0)[false-City Cargo Bike]:20 12 (20.0:21.0)[false-City Cargo Bike]:16 2 (16.0:20.0)[true-City Cargo Bike]:28 4 (28.0:50.0)[false-City Cargo Bike]:34 1 (34.0:21.0)[false-City Cargo Bike]:46 23 (46.0:14.0)[false-City Cargo Bike]:48 2 (48.0:14.0)[false-City Cargo Bike]:27 4 (27.0:14.0)[false-City Cargo Bike]:39 23 (39.0:41.0)[true-City Cargo Bike]:40 21 (40.0:48.0)[false-City Cargo Bike]:41 13 (41.0:98.0)[false-Van]:44 3 (44.0:40.0)[false-City Cargo Bike]:45 6 (45.0:65.0)[false-City Cargo Bike]:22 13 (22.0:100.0)[false-City Cargo Bike]:50 13 (50.0:82.0)[false-City Cargo Bike]:53 6 (53.0:87.0)[false-City Cargo Bike]:49 7 (49.0:96.0)[false-City Cargo Bike]:47 11 (47.0:32.0)[true-Van]:42 13 (42.0:26.0)[false-City Cargo Bike]:54 13 (54.0:56.0)[false-City Cargo Bike]:75 19 (75.0:57.0)[false-Van]:51 10 (51.0:23.0)[false-Van]:60 22 (60.0:50.0)[false-City Cargo Bike]:52 3 (52.0:63.0)[false-City Cargo Bike]:25 7 (25.0:69.0)[false-City Cargo Bike]:72 12 (72.0:94.0)[false-City Cargo Bike]:63 18 (63.0:76.0)[false-City Cargo Bike]:64 22 (64.0:83.0)[false-Walker]:55 2 (55.0:15.0)[false-City Cargo Bike]:36 2 (36.0:2.0)[false-City Cargo Bike]:56 14 (56.0:10.0)[false-City Cargo Bike]:57 7 (57.0:7.0)[false-Van]:74 12 (74.0:75.0)[false-City Cargo Bike]:58 21 (58.0:31.0)[false-Van]:59 7 (59.0:36.0)[false-Van]:61 13 (61.0:49.0)[false-Van]:62 22 (62.0:39.0)[false-City Cargo Bike]:24 17 (24.0:69.0)[false-City Cargo Bike]:65 6 (65.0:33.0)[false-Van]:66 2 (66.0:0.0)[false-Van]:67 11 (67.0:52.0)[false-Walker]:68 5 (68.0:52.0)[false-Van]:73 2 (73.0:26.0)[false-Van]:79 2 (79.0:51.0)[false-City Cargo Bike]:76 6 (76.0:34.0)[false-City Cargo Bike]:71 5 (71.0:46.0)[false-Van]:78 2 (78.0:59.0)[false-Van]:70 9 (70.0:3.0)[false-Van]:77 14 (77.0:28.0)[false-Van]:80 24 (80.0:87.0)[false-Van]:69 9 (69.0:46.0)[false-Van]:,SOL:R:Van::R:Van:21:43:30:2::R:City Cargo Bike:3::R:Van:4:6:9:26:17:18:32:11::R:Van:8::R:Van:7:13:5:10:12::R:Walker:15::R:City Cargo Bike:19::R:City Cargo Bike:14::R:City Cargo Bike:33::R:City Cargo Bike:23::R:City Cargo Bike:29::R:City Cargo Bike:31::R:City Cargo Bike:38::R:City Cargo Bike:35::R:City Cargo Bike:37::R:City Cargo Bike:20::R:City Cargo Bike:16:28:34::R:City Cargo Bike:46::R:City Cargo Bike:48:27::R:City Cargo Bike:39::R:City Cargo Bike:40::R:Van:41:44:45:22:50:53:49::R:Van:47:42:54:75:51:60:52:25::R:City Cargo Bike:72::R:City Cargo Bike:63::R:Walker:64::R:City Cargo Bike:55:36::R:City Cargo Bike:56::R:Van:57:74:58:59:61:62:24::R:Van:65:66:67:68:73:79:76:71:78:70:77:80:69:,160883.03171563626,31.0,125294.11548212564,649710.7636847993,2180.0,647530.7636847993,7540.197536067201,NaN,8224.186882086067,1586.0014617990587,29.0,6.0,0.0,65.0,67.0,3.0,0.0,30.0,16.0,5.0,0.0,79.0,66.0,3.0,0.0,31.0
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
