Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol
0:0:0:0,34388.72533347817,0,0,0,0,60 23 (60.0:65.0)[true-Van]:14 20 (14.0:81.0)[false-Van]:16 5 (16.0:69.0)[false-City Cargo Bike]:27 19 (27.0:83.0)[false-City Cargo Bike]:2 16 (2.0:33.0)[false-City Cargo Bike]:25 24 (25.0:35.0)[true-City Cargo Bike]:8 21 (8.0:79.0)[false-Van]:9 23 (9.0:81.0)[false-Van]:57 18 (57.0:85.0)[false-City Cargo Bike]:56 9 (56.0:61.0)[false-Van]:5 11 (5.0:1.0)[false-Van]:4 7 (4.0:7.0)[false-City Cargo Bike]:6 9 (6.0:49.0)[true-Van]:20 3 (20.0:57.0)[false-City Cargo Bike]:44 21 (44.0:85.0)[false-City Cargo Bike]:58 22 (58.0:89.0)[false-City Cargo Bike]:38 2 (38.0:93.0)[false-City Cargo Bike]:51 4 (51.0:63.0)[false-City Cargo Bike]:32 11 (32.0:15.0)[false-City Cargo Bike]:7 17 (7.0:21.0)[false-Van]:12 19 (12.0:7.0)[false-Van]:47 1 (47.0:15.0)[false-City Cargo Bike]:50 2 (50.0:13.0)[false-City Cargo Bike]:45 18 (45.0:21.0)[false-City Cargo Bike]:41 11 (41.0:15.0)[false-City Cargo Bike]:30 17 (30.0:83.0)[false-City Cargo Bike]:33 2 (33.0:83.0)[false-City Cargo Bike]:15 13 (15.0:37.0)[false-Van]:3 2 (3.0:29.0)[true-City Cargo Bike]:35 9 (35.0:31.0)[false-City Cargo Bike]:10 10 (10.0:85.0)[true-Van]:13 18 (13.0:95.0)[false-Van]:18 24 (18.0:89.0)[false-City Cargo Bike]:28 2 (28.0:85.0)[false-City Cargo Bike]:31 9 (31.0:1.0)[false-City Cargo Bike]:29 17 (29.0:19.0)[false-City Cargo Bike]:26 18 (26.0:19.0)[false-Van]:23 20 (23.0:45.0)[false-Van]:37 9 (37.0:29.0)[false-Van]:39 14 (39.0:63.0)[false-City Cargo Bike]:46 48 (46.0:53.0)[false-Walker]:19 2 (19.0:33.0)[false-City Cargo Bike]:24 23 (24.0:43.0)[false-City Cargo Bike]:21 1 (21.0:11.0)[false-City Cargo Bike]:22 5 (22.0:3.0)[false-Walker]:36 5 (36.0:59.0)[true-Van]:40 19 (40.0:65.0)[false-City Cargo Bike]:42 21 (42.0:31.0)[false-Van]:43 20 (43.0:57.0)[false-Van]:54 21 (54.0:3.0)[false-City Cargo Bike]:11 6 (11.0:45.0)[false-City Cargo Bike]:49 42 (49.0:45.0)[false-City Cargo Bike]:34 6 (34.0:41.0)[false-Van]:52 24 (52.0:95.0)[false-City Cargo Bike]:48 17 (48.0:41.0)[false-Walker]:59 9 (59.0:45.0)[false-City Cargo Bike]:53 18 (53.0:55.0)[false-Van]:55 11 (55.0:47.0)[false-City Cargo Bike]:17 11 (17.0:15.0)[false-Van]:,SOL:R:Van::R:Van:60:14:16:27:2::R:City Cargo Bike:25::R:Van:8:9:57:56:5:4::R:Van:6:20:44:58:38:51:32:7::R:Van:12:47:50:45:41:30:33:15::R:City Cargo Bike:3::R:City Cargo Bike:35::R:Van:10:13:18:28:31:29:26::R:Van:23:37:39:46:19::R:City Cargo Bike:24::R:City Cargo Bike:21:22::R:Van:36:40:42:43:54:11::R:City Cargo Bike:49::R:Van:34:52:48:59:53:55:17:,34388.72533347817,15.0,76388.52850878087,268767.62478978664,1380.0,267387.62478978664,7285.219230455234,NaN,4555.383471013333,1294.7208221827266,60.0,0.0,0.0,40.0,88.0,0.0,0.0,12.0,44.0,0.0,0.0,56.0,87.0,0.0,0.0,13.0
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:0,36911.76995991397,0,0,1,0,60 23 (60.0:65.0)[true-Van]:14 20 (14.0:81.0)[false-Van]:16 5 (16.0:69.0)[false-City Cargo Bike]:27 19 (27.0:83.0)[false-City Cargo Bike]:2 16 (2.0:33.0)[false-City Cargo Bike]:25 24 (25.0:35.0)[true-City Cargo Bike]:8 21 (8.0:79.0)[false-Van]:9 23 (9.0:81.0)[false-Van]:57 18 (57.0:85.0)[false-City Cargo Bike]:56 9 (56.0:61.0)[false-Van]:5 11 (5.0:1.0)[false-Van]:4 7 (4.0:7.0)[false-City Cargo Bike]:6 9 (6.0:49.0)[true-Van]:20 3 (20.0:57.0)[false-City Cargo Bike]:44 21 (44.0:85.0)[false-City Cargo Bike]:58 22 (58.0:89.0)[false-City Cargo Bike]:38 2 (38.0:93.0)[false-City Cargo Bike]:51 4 (51.0:63.0)[false-City Cargo Bike]:32 11 (32.0:15.0)[false-City Cargo Bike]:7 17 (7.0:21.0)[false-Van]:12 19 (12.0:7.0)[false-Van]:47 1 (47.0:15.0)[true-Van]:50 2 (50.0:13.0)[false-City Cargo Bike]:45 18 (45.0:21.0)[false-City Cargo Bike]:41 11 (41.0:15.0)[false-City Cargo Bike]:30 17 (30.0:83.0)[false-City Cargo Bike]:33 2 (33.0:83.0)[false-City Cargo Bike]:15 13 (15.0:37.0)[false-Van]:3 2 (3.0:29.0)[true-City Cargo Bike]:35 9 (35.0:31.0)[false-City Cargo Bike]:10 10 (10.0:85.0)[true-Van]:13 18 (13.0:95.0)[false-Van]:18 24 (18.0:89.0)[false-City Cargo Bike]:28 2 (28.0:85.0)[false-City Cargo Bike]:31 9 (31.0:1.0)[false-City Cargo Bike]:29 17 (29.0:19.0)[false-City Cargo Bike]:26 18 (26.0:19.0)[false-Van]:23 20 (23.0:45.0)[false-Van]:37 9 (37.0:29.0)[false-Van]:39 14 (39.0:63.0)[false-City Cargo Bike]:46 48 (46.0:53.0)[false-Walker]:19 2 (19.0:33.0)[false-City Cargo Bike]:24 23 (24.0:43.0)[false-City Cargo Bike]:21 1 (21.0:11.0)[false-City Cargo Bike]:22 5 (22.0:3.0)[false-Walker]:36 5 (36.0:59.0)[true-Van]:40 19 (40.0:65.0)[false-City Cargo Bike]:42 21 (42.0:31.0)[false-Van]:43 20 (43.0:57.0)[false-Van]:54 21 (54.0:3.0)[false-City Cargo Bike]:11 6 (11.0:45.0)[false-City Cargo Bike]:49 42 (49.0:45.0)[false-City Cargo Bike]:34 6 (34.0:41.0)[false-Van]:52 24 (52.0:95.0)[false-City Cargo Bike]:48 17 (48.0:41.0)[false-Walker]:59 9 (59.0:45.0)[false-City Cargo Bike]:53 18 (53.0:55.0)[false-Van]:55 11 (55.0:47.0)[false-City Cargo Bike]:17 11 (17.0:15.0)[false-Van]:,SOL:R:Van::R:Van:60:14:16:27:2::R:City Cargo Bike:25::R:Van:8:9:57:56:5:4::R:Van:6:20:44:58:38:51:32:7::R:Van:12::R:Van:47:50:45:41:30:33:15::R:City Cargo Bike:3::R:City Cargo Bike:35::R:Van:10:13:18:28:31:29:26::R:Van:23:37:39:46:19::R:City Cargo Bike:24::R:City Cargo Bike:21:22::R:Van:36:40:42:43:54:11::R:City Cargo Bike:49::R:Van:34:52:48:59:53:55:17:,36911.76995991397,16.0,89003.7516409599,306733.29418632365,1500.0,305233.29418632365,7285.219230455234,NaN,5198.869392988537,1508.5381634061,63.0,0.0,0.0,38.0,88.0,0.0,0.0,12.0,48.0,0.0,0.0,52.0,87.0,0.0,0.0,13.0
0:0:1:1,116231.22648462087,0,0,1,1,3 2 (3.0:29.0)[false-Van]:7 17 (7.0:21.0)[true-Van]:29 17 (29.0:19.0)[false-Van]:41 11 (41.0:15.0)[false-City Cargo Bike]:25 24 (25.0:35.0)[false-City Cargo Bike]:11 6 (11.0:45.0)[false-City Cargo Bike]:14 20 (14.0:81.0)[true-Van]:9 23 (9.0:81.0)[false-Van]:16 5 (16.0:69.0)[false-City Cargo Bike]:10 10 (10.0:85.0)[false-City Cargo Bike]:13 18 (13.0:95.0)[false-Van]:34 6 (34.0:41.0)[false-City Cargo Bike]:2 16 (2.0:33.0)[false-City Cargo Bike]:4 7 (4.0:7.0)[false-City Cargo Bike]:5 11 (5.0:1.0)[false-City Cargo Bike]:18 24 (18.0:89.0)[false-City Cargo Bike]:8 21 (8.0:79.0)[false-City Cargo Bike]:26 18 (26.0:19.0)[true-Van]:6 9 (6.0:49.0)[false-City Cargo Bike]:24 23 (24.0:43.0)[false-City Cargo Bike]:12 19 (12.0:7.0)[false-City Cargo Bike]:46 48 (46.0:53.0)[false-Van]:60 23 (60.0:65.0)[false-City Cargo Bike]:56 9 (56.0:61.0)[false-Walker]:15 13 (15.0:37.0)[false-City Cargo Bike]:42 21 (42.0:31.0)[false-City Cargo Bike]:17 11 (17.0:15.0)[false-City Cargo Bike]:19 2 (19.0:33.0)[false-City Cargo Bike]:20 3 (20.0:57.0)[false-City Cargo Bike]:22 5 (22.0:3.0)[false-City Cargo Bike]:31 9 (31.0:1.0)[false-City Cargo Bike]:21 1 (21.0:11.0)[false-City Cargo Bike]:28 2 (28.0:85.0)[false-City Cargo Bike]:51 4 (51.0:63.0)[false-City Cargo Bike]:30 17 (30.0:83.0)[false-City Cargo Bike]:35 9 (35.0:31.0)[false-City Cargo Bike]:33 2 (33.0:83.0)[false-City Cargo Bike]:39 14 (39.0:63.0)[true-Walker]:27 19 (27.0:83.0)[false-City Cargo Bike]:32 11 (32.0:15.0)[false-City Cargo Bike]:36 5 (36.0:59.0)[false-Van]:37 9 (37.0:29.0)[false-City Cargo Bike]:40 19 (40.0:65.0)[false-City Cargo Bike]:44 21 (44.0:85.0)[false-City Cargo Bike]:43 20 (43.0:57.0)[false-City Cargo Bike]:54 21 (54.0:3.0)[false-City Cargo Bike]:50 2 (50.0:13.0)[false-City Cargo Bike]:47 1 (47.0:15.0)[false-City Cargo Bike]:23 20 (23.0:45.0)[false-Van]:55 11 (55.0:47.0)[false-City Cargo Bike]:53 18 (53.0:55.0)[false-Van]:38 2 (38.0:93.0)[false-City Cargo Bike]:58 22 (58.0:89.0)[false-City Cargo Bike]:59 9 (59.0:45.0)[false-City Cargo Bike]:45 18 (45.0:21.0)[false-City Cargo Bike]:49 42 (49.0:45.0)[false-Walker]:52 24 (52.0:95.0)[false-City Cargo Bike]:48 17 (48.0:41.0)[true-Walker]:57 18 (57.0:85.0)[true-City Cargo Bike]:,SOL:R:Van:3::R:Van:7:29:41:25:11::R:Van:14:9:16:10:13:34:2::R:City Cargo Bike:4::R:City Cargo Bike:5::R:City Cargo Bike:18::R:City Cargo Bike:8::R:Van:26:6:24:12::R:Van:46:60:56:15::R:City Cargo Bike:42::R:City Cargo Bike:17::R:City Cargo Bike:19:20:22::R:City Cargo Bike:31:21::R:City Cargo Bike:28:51::R:City Cargo Bike:30::R:City Cargo Bike:35::R:City Cargo Bike:33::R:Walker:39::R:City Cargo Bike:27::R:City Cargo Bike:32::R:Van:36:37:40:44:43:54:50:47::R:Van:23:55:53:38:58:59:45::R:Walker:49::R:City Cargo Bike:52::R:Walker:48::R:City Cargo Bike:57:,116231.22648462087,26.0,89371.9006378121,466619.3946275533,1790.0,464829.3946275533,6913.360398904271,2394.2328533855843,7908.80329877209,1514.7779769120696,27.0,12.0,0.0,62.0,61.0,5.0,0.0,34.0,15.0,14.0,0.0,70.0,65.0,9.0,0.0,27.0
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
