Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol
0:0:0:0,15554.117589611418,0,0,0,0,9 20 (9.0:34.0)[true-Van]:22 19 (22.0:21.0)[false-City Cargo Bike]:23 12 (23.0:19.0)[false-City Cargo Bike]:34 8 (34.0:16.0)[false-Van]:12 16 (12.0:40.0)[false-Van]:2 1 (2.0:29.0)[false-Van]:5 5 (5.0:67.0)[false-Van]:6 7 (6.0:13.0)[true-Van]:3 23 (3.0:4.0)[false-Van]:4 23 (4.0:25.0)[false-Van]:7 18 (7.0:62.0)[false-Van]:8 12 (8.0:84.0)[false-Van]:17 17 (17.0:87.0)[false-City Cargo Bike]:10 19 (10.0:19.0)[false-Van]:11 19 (11.0:42.0)[false-Van]:13 2 (13.0:25.0)[false-Van]:18 14 (18.0:54.0)[false-Van]:14 26 (14.0:63.0)[false-Van]:15 13 (15.0:75.0)[false-Van]:30 18 (30.0:96.0)[false-Van]:37 21 (37.0:84.0)[false-Van]:16 19 (16.0:61.0)[false-Van]:19 8 (19.0:66.0)[false-Van]:20 10 (20.0:46.0)[false-Van]:21 5 (21.0:47.0)[false-Van]:25 18 (25.0:94.0)[false-Van]:27 20 (27.0:41.0)[true-Van]:29 3 (29.0:1.0)[false-Van]:24 9 (24.0:1.0)[false-Van]:31 26 (31.0:57.0)[false-Van]:32 21 (32.0:47.0)[false-Van]:33 21 (33.0:68.0)[false-Van]:28 8 (28.0:100.0)[false-Van]:35 19 (35.0:51.0)[false-Van]:36 66 (36.0:83.0)[false-Van]:26 4 (26.0:82.0)[false-Van]:,SOL:R:Van::R:Van:9:22:23:34:12:2:5::R:Van:6:3:4:7:8:17::R:Van:10:11:13:18:14:15::R:Van:30:37:16:19:20:21:25::R:Van:27:29:24:31:32:33::R:Van:28:35:36:26:,15554.117589611418,7.0,77770.58794805709,234151.76384417125,840.0,233311.76384417125,6364.724880674542,NaN,6504.215662338091,2160.2941096682525,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:0,16024.99703751996,0,0,1,0,9 20 (9.0:34.0)[true-Van]:22 19 (22.0:21.0)[false-City Cargo Bike]:23 12 (23.0:19.0)[false-City Cargo Bike]:24 9 (24.0:1.0)[false-Van]:6 7 (6.0:13.0)[false-Van]:14 26 (14.0:63.0)[false-City Cargo Bike]:18 14 (18.0:54.0)[false-Van]:35 19 (35.0:51.0)[false-Van]:20 10 (20.0:46.0)[false-Van]:28 8 (28.0:100.0)[false-City Cargo Bike]:30 18 (30.0:96.0)[false-Van]:8 12 (8.0:84.0)[false-City Cargo Bike]:36 66 (36.0:83.0)[false-Van]:11 19 (11.0:42.0)[false-City Cargo Bike]:26 4 (26.0:82.0)[false-Van]:15 13 (15.0:75.0)[true-Van]:34 8 (34.0:16.0)[false-Walker]:17 17 (17.0:87.0)[false-City Cargo Bike]:33 21 (33.0:68.0)[true-Van]:29 3 (29.0:1.0)[false-Van]:31 26 (31.0:57.0)[false-City Cargo Bike]:16 19 (16.0:61.0)[false-City Cargo Bike]:19 8 (19.0:66.0)[false-City Cargo Bike]:7 18 (7.0:62.0)[false-City Cargo Bike]:2 1 (2.0:29.0)[true-Van]:4 23 (4.0:25.0)[false-Van]:3 23 (3.0:4.0)[false-City Cargo Bike]:10 19 (10.0:19.0)[false-Van]:13 2 (13.0:25.0)[false-Van]:12 16 (12.0:40.0)[false-Van]:5 5 (5.0:67.0)[false-City Cargo Bike]:21 5 (21.0:47.0)[true-Van]:37 21 (37.0:84.0)[false-Van]:27 20 (27.0:41.0)[false-City Cargo Bike]:32 21 (32.0:47.0)[false-City Cargo Bike]:25 18 (25.0:94.0)[false-City Cargo Bike]:,SOL:R:Van::R:Van:9:22:23:24:6:14::R:Van:18:35:20:28:30:8::R:Van:36:11:26::R:Van:15:34:17::R:Van:33:29:31:16:19:7::R:Van:2:4:3:10:13:12:5::R:Van:21:37:27:32:25:,16024.99703751996,8.0,80124.98518759978,241334.95556279932,960.0,240374.95556279932,6469.126006824562,NaN,6703.748765633314,2225.694032988883,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0:0:1:1,84558.75351715645,0,0,1,1,8 12 (8.0:84.0)[false-Van]:5 5 (5.0:67.0)[false-Van]:7 18 (7.0:62.0)[false-Van]:26 4 (26.0:82.0)[false-City Cargo Bike]:2 1 (2.0:29.0)[false-Van]:4 23 (4.0:25.0)[false-Van]:9 20 (9.0:34.0)[false-Van]:10 19 (10.0:19.0)[false-Van]:11 19 (11.0:42.0)[false-Van]:12 16 (12.0:40.0)[false-Van]:13 2 (13.0:25.0)[false-Van]:32 21 (32.0:47.0)[false-Van]:35 19 (35.0:51.0)[false-Van]:14 26 (14.0:63.0)[true-Van]:16 19 (16.0:61.0)[false-Van]:3 23 (3.0:4.0)[false-City Cargo Bike]:17 17 (17.0:87.0)[false-City Cargo Bike]:15 13 (15.0:75.0)[true-Van]:25 18 (25.0:94.0)[false-City Cargo Bike]:18 14 (18.0:54.0)[false-City Cargo Bike]:19 8 (19.0:66.0)[false-City Cargo Bike]:33 21 (33.0:68.0)[false-City Cargo Bike]:30 18 (30.0:96.0)[false-Van]:28 8 (28.0:100.0)[false-Van]:37 21 (37.0:84.0)[false-City Cargo Bike]:36 66 (36.0:83.0)[false-City Cargo Bike]:31 26 (31.0:57.0)[false-Walker]:20 10 (20.0:46.0)[false-City Cargo Bike]:21 5 (21.0:47.0)[false-City Cargo Bike]:27 20 (27.0:41.0)[false-City Cargo Bike]:22 19 (22.0:21.0)[false-City Cargo Bike]:23 12 (23.0:19.0)[false-City Cargo Bike]:34 8 (34.0:16.0)[false-City Cargo Bike]:24 9 (24.0:1.0)[false-City Cargo Bike]:29 3 (29.0:1.0)[false-City Cargo Bike]:6 7 (6.0:13.0)[false-Van]:,SOL:R:Van:8:5:7:26:2:4:9::R:Van:10:11:12:13:32:35::R:Van:14:16:3:17::R:Van:15:25:18:19:33:30:28::R:City Cargo Bike:37::R:City Cargo Bike:36::R:Walker:31::R:City Cargo Bike:20::R:City Cargo Bike:21::R:City Cargo Bike:27::R:City Cargo Bike:22::R:City Cargo Bike:23::R:City Cargo Bike:34::R:City Cargo Bike:24::R:City Cargo Bike:29:6:,84558.75351715645,15.0,80981.30107895615,380698.88983959897,1030.0,379668.88983959897,6262.722462235255,2616.6315766578177,10574.969162211082,2249.48058552656,27.0,7.0,0.0,67.0,67.0,3.0,0.0,31.0,19.0,5.0,0.0,75.0,64.0,5.0,0.0,32.0
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
