Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol
0:0:0:0,-1.0,0,0,0,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:0,-1.0,0,0,1,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:1,119158.26879335288,0,0,1,1,3 12 (3.0:10.0)[false-Van]:38 15 (38.0:21.0)[false-City Cargo Bike]:4 25 (4.0:16.0)[false-City Cargo Bike]:8 21 (8.0:14.0)[false-Van]:15 11 (15.0:13.0)[false-City Cargo Bike]:9 10 (9.0:42.0)[false-Van]:10 20 (10.0:90.0)[true-Van]:2 3 (2.0:94.0)[false-City Cargo Bike]:7 20 (7.0:81.0)[false-City Cargo Bike]:11 13 (11.0:41.0)[false-City Cargo Bike]:12 14 (12.0:21.0)[false-City Cargo Bike]:13 16 (13.0:41.0)[false-City Cargo Bike]:6 11 (6.0:41.0)[false-Van]:22 22 (22.0:41.0)[false-Walker]:14 17 (14.0:65.0)[false-City Cargo Bike]:16 36 (16.0:21.0)[false-City Cargo Bike]:18 7 (18.0:14.0)[false-City Cargo Bike]:23 10 (23.0:50.0)[false-City Cargo Bike]:26 23 (26.0:47.0)[false-City Cargo Bike]:20 11 (20.0:58.0)[false-City Cargo Bike]:33 22 (33.0:47.0)[false-City Cargo Bike]:19 21 (19.0:66.0)[true-City Cargo Bike]:27 19 (27.0:11.0)[false-City Cargo Bike]:28 15 (28.0:60.0)[false-City Cargo Bike]:44 10 (44.0:84.0)[false-City Cargo Bike]:40 13 (40.0:81.0)[false-City Cargo Bike]:25 21 (25.0:97.0)[false-City Cargo Bike]:29 22 (29.0:60.0)[true-City Cargo Bike]:30 7 (30.0:58.0)[false-Van]:41 3 (41.0:49.0)[false-City Cargo Bike]:31 11 (31.0:30.0)[false-City Cargo Bike]:32 15 (32.0:9.0)[false-City Cargo Bike]:35 24 (35.0:15.0)[false-City Cargo Bike]:34 12 (34.0:19.0)[false-City Cargo Bike]:17 6 (17.0:57.0)[false-City Cargo Bike]:5 4 (5.0:25.0)[false-City Cargo Bike]:24 19 (24.0:84.0)[false-City Cargo Bike]:36 25 (36.0:88.0)[false-City Cargo Bike]:42 20 (42.0:51.0)[false-City Cargo Bike]:39 18 (39.0:57.0)[false-City Cargo Bike]:43 14 (43.0:9.0)[true-City Cargo Bike]:45 10 (45.0:95.0)[false-City Cargo Bike]:46 66 (46.0:89.0)[false-City Cargo Bike]:21 17 (21.0:5.0)[false-City Cargo Bike]:48 7 (48.0:69.0)[false-City Cargo Bike]:37 2 (37.0:33.0)[false-Van]:49 12 (49.0:75.0)[false-Van]:51 5 (51.0:74.0)[false-City Cargo Bike]:53 7 (53.0:96.0)[false-Van]:50 24 (50.0:97.0)[false-Van]:55 12 (55.0:74.0)[false-Van]:47 10 (47.0:10.0)[false-Walker]:52 18 (52.0:1.0)[false-Walker]:54 11 (54.0:46.0)[false-Van]:,SOL:R:Van:3:38:4:8:15:9::R:Van:10:2:7:11:12:13:6::R:Walker:22::R:City Cargo Bike:14::R:City Cargo Bike:16::R:City Cargo Bike:18::R:City Cargo Bike:23::R:City Cargo Bike:26::R:City Cargo Bike:20::R:City Cargo Bike:33::R:City Cargo Bike:19::R:City Cargo Bike:27::R:City Cargo Bike:28::R:City Cargo Bike:44::R:City Cargo Bike:40::R:City Cargo Bike:25::R:City Cargo Bike:29::R:Van:30:41:31:32:35:34:17:5::R:City Cargo Bike:24::R:City Cargo Bike:36::R:City Cargo Bike:42::R:City Cargo Bike:39::R:City Cargo Bike:43::R:City Cargo Bike:45::R:City Cargo Bike:46::R:City Cargo Bike:21::R:City Cargo Bike:48:37::R:Van:49:51:53:50:55:47:52:54:,119158.26879335288,28.0,45810.19676317716,359103.04917096643,1680.0,357423.04917096643,6155.621348006631,2134.2128184096423,6650.056466129008,848.3369770958734,14.0,4.0,0.0,82.0,54.0,2.0,0.0,44.0,8.0,2.0,0.0,90.0,44.0,3.0,0.0,53.0
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:2:0,-1.0,0,0,2,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
