Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,source
0:0:0:0:0,12294.552055496872,0,0,0,0,0,51 17 (51.0:78.0)[false-Van]:3 1 (3.0:77.0)[false-Van]:21 18 (21.0:104.0)[false-Van]:43 1 (43.0:80.0)[false-Van]:46 6 (46.0:44.0)[false-Van]:27 18 (27.0:10.0)[false-Van]:4 3 (4.0:35.0)[false-Van]:48 11 (48.0:100.0)[false-Van]:53 1 (53.0:78.0)[false-Van]:18 14 (18.0:10.0)[false-Van]:45 14 (45.0:36.0)[false-Van]:31 26 (31.0:78.0)[false-Van]:8 6 (8.0:97.0)[false-Van]:11 23 (11.0:36.0)[false-Van]:5 9 (5.0:1.0)[false-Van]:15 23 (15.0:86.0)[false-Van]:26 1 (26.0:4.0)[false-Van]:55 12 (55.0:10.0)[false-Van-30]:16 8 (16.0:68.0)[false-Van]:56 9 (56.0:40.0)[false-Van]:37 13 (37.0:8.0)[false-Van]:36 7 (36.0:8.0)[false-Van]:39 10 (39.0:8.0)[false-Van]:14 10 (14.0:24.0)[false-Van]:29 12 (29.0:4.0)[false-Van]:17 5 (17.0:28.0)[false-Van]:30 9 (30.0:4.0)[false-Van]:25 1 (25.0:26.0)[false-Van]:22 15 (22.0:38.0)[false-Van]:23 10 (23.0:80.0)[false-Van]:24 17 (24.0:22.0)[false-Van-30]:19 6 (19.0:8.0)[false-Van-30]:32 60 (32.0:64.0)[false-Van]:33 12 (33.0:98.0)[false-Van]:20 15 (20.0:10.0)[false-Van]:6 13 (6.0:21.0)[false-Van]:41 24 (41.0:6.0)[false-Van]:40 17 (40.0:86.0)[false-Van]:42 25 (42.0:10.0)[false-Van]:9 22 (9.0:3.0)[false-Van]:34 17 (34.0:24.0)[false-Van]:54 8 (54.0:6.0)[false-Van]:44 20 (44.0:102.0)[false-Van]:38 24 (38.0:84.0)[false-Van]:13 15 (13.0:6.0)[false-Van]:7 21 (7.0:63.0)[false-Van]:50 11 (50.0:30.0)[false-City Cargo Bike]:12 2 (12.0:64.0)[false-Van]:52 3 (52.0:10.0)[false-Van]:2 2 (2.0:37.0)[false-Van]:49 2 (49.0:28.0)[false-City Cargo Bike]:28 7 (28.0:26.0)[false-Van]:47 9 (47.0:22.0)[false-Van]:35 9 (35.0:10.0)[false-Van]:57 13 (57.0:10.0)[false-Van]:10 10 (10.0:5.0)[false-Van]:,SOL:R:Van:51:3:21:43:46:27:4:48:53:18::R:Van:45:31:8:11:5::R:Van:15:26:55:16:56:37:36:39:14::R:Van:29:17:30:25:22:23:24:19::R:Van:32:33:20:6::R:Van:41:40:42:9::R:Van:34:54:44:38:13::R:Van:7:50:12:52:2:49:28:47:35:57:10:,12294.552055496872,8.0,61472.76027748436,185378.28083245308,960.0,184418.28083245308,16169.724185858191,1496.8661740546297,3310.326443436662,1097.727862097935,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,init
0:0:0:0:1,-1.0,0,0,0,0,1,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:0:2,-1.0,0,0,0,0,2,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:0:3,-1.0,0,0,0,0,3,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:0:4,-1.0,0,0,0,0,4,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:1:0,14410.651834696648,0,0,0,1,0,6 13 (6.0:21.0)[false-City Cargo Bike]:51 17 (51.0:78.0)[false-Van]:3 1 (3.0:77.0)[false-Van]:21 18 (21.0:104.0)[false-Van]:43 1 (43.0:80.0)[false-Van]:46 6 (46.0:44.0)[false-Van]:27 18 (27.0:10.0)[false-Van]:4 3 (4.0:35.0)[false-Van]:48 11 (48.0:100.0)[false-Van]:53 1 (53.0:78.0)[false-Van]:18 14 (18.0:10.0)[false-Van]:45 14 (45.0:36.0)[false-Van]:31 26 (31.0:78.0)[false-Van]:8 6 (8.0:97.0)[false-Van]:11 23 (11.0:36.0)[false-Van]:5 9 (5.0:1.0)[false-Van]:15 23 (15.0:86.0)[false-Van]:26 1 (26.0:4.0)[false-Van]:55 12 (55.0:10.0)[false-Van-30]:16 8 (16.0:68.0)[false-Van]:56 9 (56.0:40.0)[false-Van]:37 13 (37.0:8.0)[false-Van]:36 7 (36.0:8.0)[false-Van]:39 10 (39.0:8.0)[false-Van]:14 10 (14.0:24.0)[false-Van]:29 12 (29.0:4.0)[false-Van]:17 5 (17.0:28.0)[false-Van]:30 9 (30.0:4.0)[false-Van]:25 1 (25.0:26.0)[false-Van]:22 15 (22.0:38.0)[false-Van]:23 10 (23.0:80.0)[false-Van]:24 17 (24.0:22.0)[false-Van-30]:19 6 (19.0:8.0)[false-Van-30]:32 60 (32.0:64.0)[false-Van]:33 12 (33.0:98.0)[false-Van]:20 15 (20.0:10.0)[false-Van]:41 24 (41.0:6.0)[false-Van]:40 17 (40.0:86.0)[false-Van]:42 25 (42.0:10.0)[false-Van]:9 22 (9.0:3.0)[false-Van]:34 17 (34.0:24.0)[false-Van]:54 8 (54.0:6.0)[false-Van]:44 20 (44.0:102.0)[false-Van]:38 24 (38.0:84.0)[false-Van]:13 15 (13.0:6.0)[false-Van]:7 21 (7.0:63.0)[false-Van]:50 11 (50.0:30.0)[false-City Cargo Bike]:12 2 (12.0:64.0)[false-Van]:52 3 (52.0:10.0)[false-Van]:2 2 (2.0:37.0)[false-Van]:49 2 (49.0:28.0)[false-City Cargo Bike]:28 7 (28.0:26.0)[false-Van]:47 9 (47.0:22.0)[false-Van]:35 9 (35.0:10.0)[false-Van]:57 13 (57.0:10.0)[false-Van]:10 10 (10.0:5.0)[false-Van]:,SOL:R:City Cargo Bike::R:City Cargo Bike:6::R:Van:51:3:21:43:46:27:4:48:53:18::R:Van:45:31:8:11:5::R:Van:15:26:55:16:56:37:36:39:14::R:Van:29:17:30:25:22:23:24:19::R:Van:32:33:20::R:Van:41:40:42:9::R:Van:34:54:44:38:13::R:Van:7:50:12:52:2:49:28:47:35:57:10:,14410.651834696648,10.0,65846.41103935434,201081.9723717145,1060.0,200021.9723717145,16169.724185858191,NaN,3590.749506637759,1175.828768559899,80.0,0.0,0.0,20.0,98.0,0.0,0.0,2.0,91.0,0.0,0.0,9.0,98.0,0.0,0.0,2.0,init
0:0:0:1:1,28280.941370911078,0,0,0,1,1,17 5 (17.0:28.0)[true-Van]:44 20 (44.0:102.0)[false-Van-30]:24 17 (24.0:22.0)[false-Van]:55 12 (55.0:10.0)[true-Van]:41 24 (41.0:6.0)[false-Van]:39 10 (39.0:8.0)[false-City Cargo Bike]:54 8 (54.0:6.0)[false-Van-30]:15 23 (15.0:86.0)[false-City Cargo Bike]:5 9 (5.0:1.0)[false-Van]:42 25 (42.0:10.0)[false-Van]:16 8 (16.0:68.0)[false-Van]:48 11 (48.0:100.0)[false-Van]:7 21 (7.0:63.0)[false-Van]:31 26 (31.0:78.0)[false-City Cargo Bike]:30 9 (30.0:4.0)[false-City Cargo Bike]:18 14 (18.0:10.0)[false-City Cargo Bike]:3 1 (3.0:77.0)[false-City Cargo Bike]:49 2 (49.0:28.0)[false-City Cargo Bike]:43 1 (43.0:80.0)[false-City Cargo Bike]:52 3 (52.0:10.0)[false-City Cargo Bike]:25 1 (25.0:26.0)[false-City Cargo Bike]:2 2 (2.0:37.0)[false-City Cargo Bike]:6 13 (6.0:21.0)[false-City Cargo Bike]:20 15 (20.0:10.0)[false-City Cargo Bike]:53 1 (53.0:78.0)[false-City Cargo Bike]:36 7 (36.0:8.0)[false-City Cargo Bike]:4 3 (4.0:35.0)[true-Van]:38 24 (38.0:84.0)[false-Van]:35 9 (35.0:10.0)[false-Van]:8 6 (8.0:97.0)[false-Van]:50 11 (50.0:30.0)[false-Van]:27 18 (27.0:10.0)[false-Van]:33 12 (33.0:98.0)[false-Van]:12 2 (12.0:64.0)[false-Van]:13 15 (13.0:6.0)[false-City Cargo Bike]:51 17 (51.0:78.0)[false-Van]:34 17 (34.0:24.0)[false-Van-30]:29 12 (29.0:4.0)[false-City Cargo Bike]:14 10 (14.0:24.0)[false-City Cargo Bike]:11 23 (11.0:36.0)[false-City Cargo Bike]:56 9 (56.0:40.0)[true-Van]:26 1 (26.0:4.0)[false-City Cargo Bike]:32 60 (32.0:64.0)[false-City Cargo Bike]:22 15 (22.0:38.0)[false-Van]:10 10 (10.0:5.0)[false-City Cargo Bike]:21 18 (21.0:104.0)[false-Van]:46 6 (46.0:44.0)[false-Van]:45 14 (45.0:36.0)[false-Van]:37 13 (37.0:8.0)[false-Van]:47 9 (47.0:22.0)[false-Van-30]:23 10 (23.0:80.0)[false-Van]:28 7 (28.0:26.0)[false-Van]:9 22 (9.0:3.0)[false-Van]:40 17 (40.0:86.0)[false-Van]:57 13 (57.0:10.0)[false-City Cargo Bike]:19 6 (19.0:8.0)[false-City Cargo Bike]:,SOL:R:Van::R:Van:17:44:24::R:Van:55:41:39:54:15:5::R:Van:42:16:48:7:31:30::R:City Cargo Bike:18::R:City Cargo Bike:3:49:43:52:25:2::R:City Cargo Bike:6::R:City Cargo Bike:20::R:City Cargo Bike:53:36::R:Van:4:38:35:8:50:27:33:12:13::R:Van:51:34:29:14:11::R:Van:56:26:32:22:10::R:Van:21:46:45:37:47:23:28:9::R:Van:40:57:19:,28280.941370911078,14.0,81156.34693596076,268898.3847753202,1330.0,267568.3847753202,18020.876113966,NaN,4801.756870987861,1449.2204809992993,64.0,0.0,0.0,36.0,80.0,0.0,0.0,20.0,57.0,0.0,0.0,43.0,91.0,0.0,0.0,9.0,init
0:0:0:1:2,-1.0,0,0,0,1,2,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:1:3,-1.0,0,0,0,1,3,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:1:4,-1.0,0,0,0,1,4,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
