Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,,RawDistance,RawNoRoutes,RawCO2,RawTotalCost,RawFixedCost,RawRunningCost,RawTimeOfLastDel,RawAvgDelTime,RawCostPerDelivery,RawCO2PerDelivery,RawPCICRoutes,RawPCWalkRoutes,RawPCEVRoutes,RawPCCycleRoutes,RawPCICVisits,RawPCWalkVisits,RawPCEVVisits,RawPCCycleVisits,RawPCICDist,RawPCWalkDist,RawPCEVDist,RawPCCycleDist,RawPCICVol,RawPCWalkVol,RawPCEVVol,RawPCCycleVol,source
0:0:0:0,34634.52015017097,0,0,0,0,13 24 (13.0:27.0)[false-Van]:42 6 (42.0:33.0)[false-Van]:30 20 (30.0:27.0)[false-City Cargo Bike]:2 12 (2.0:7.0)[false-Walker]:12 7 (12.0:37.0)[false-Van]:5 20 (5.0:81.0)[false-Walker]:38 23 (38.0:67.0)[true-Van]:9 7 (9.0:35.0)[false-City Cargo Bike]:34 3 (34.0:27.0)[false-City Cargo Bike]:28 10 (28.0:17.0)[false-Van]:35 7 (35.0:9.0)[false-City Cargo Bike]:8 20 (8.0:43.0)[false-City Cargo Bike]:3 26 (3.0:77.0)[false-Van]:11 15 (11.0:37.0)[false-City Cargo Bike]:23 22 (23.0:49.0)[false-Van]:36 18 (36.0:11.0)[false-City Cargo Bike]:41 13 (41.0:3.0)[false-City Cargo Bike]:19 9 (19.0:3.0)[false-City Cargo Bike]:17 13 (17.0:9.0)[false-City Cargo Bike]:43 22 (43.0:17.0)[false-City Cargo Bike]:6 2 (6.0:59.0)[false-City Cargo Bike]:22 9 (22.0:51.0)[false-City Cargo Bike]:24 18 (24.0:81.0)[false-City Cargo Bike]:21 6 (21.0:29.0)[false-City Cargo Bike]:37 3 (37.0:59.0)[false-City Cargo Bike]:4 1 (4.0:51.0)[false-City Cargo Bike]:27 24 (27.0:91.0)[false-City Cargo Bike]:16 23 (16.0:23.0)[false-City Cargo Bike]:18 19 (18.0:73.0)[false-City Cargo Bike]:29 4 (29.0:61.0)[false-City Cargo Bike]:46 2 (46.0:97.0)[false-Van]:39 1 (39.0:77.0)[false-City Cargo Bike]:32 13 (32.0:21.0)[false-Van]:45 21 (45.0:23.0)[false-Van]:26 20 (26.0:21.0)[false-Van]:25 19 (25.0:7.0)[false-Van]:20 12 (20.0:41.0)[false-City Cargo Bike]:10 10 (10.0:77.0)[false-City Cargo Bike]:33 12 (33.0:59.0)[false-Van]:40 17 (40.0:47.0)[false-Walker]:31 15 (31.0:83.0)[false-City Cargo Bike]:14 10 (14.0:95.0)[false-Walker]:44 20 (44.0:91.0)[false-City Cargo Bike]:7 13 (7.0:93.0)[false-City Cargo Bike]:15 12 (15.0:87.0)[false-Van]:,SOL:R:Van:13:42:30:2:12:5::R:Van:38:9:34:28:35:8:3::R:City Cargo Bike:11::R:Van:23:36:41:19:17:43:6::R:City Cargo Bike:22::R:City Cargo Bike:24::R:City Cargo Bike:21:37:4::R:City Cargo Bike:27::R:City Cargo Bike:16::R:City Cargo Bike:18::R:City Cargo Bike:29:46:39::R:Van:32:45:26:25:20:10::R:Van:33:40:31:14:44:7:15:,34634.52015017097,13.0,30209.088805114807,148812.67119364042,1000.0,147812.67119364042,7438.632564820333,1514.6900810881516,3306.948248747565,671.3130845581068,38.0,0.0,0.0,62.0,73.0,0.0,0.0,27.0,17.0,0.0,0.0,83.0,79.0,0.0,0.0,21.0,RndSwap:simple
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:0,34634.52015017097,0,0,1,0,13 24 (13.0:27.0)[true-Van]:42 6 (42.0:33.0)[false-Van]:30 20 (30.0:27.0)[false-City Cargo Bike]:2 12 (2.0:7.0)[false-Walker]:12 7 (12.0:37.0)[false-Van]:5 20 (5.0:81.0)[false-Walker]:38 23 (38.0:67.0)[true-Van]:9 7 (9.0:35.0)[false-City Cargo Bike]:34 3 (34.0:27.0)[false-City Cargo Bike]:28 10 (28.0:17.0)[false-Van]:35 7 (35.0:9.0)[false-City Cargo Bike]:8 20 (8.0:43.0)[false-City Cargo Bike]:3 26 (3.0:77.0)[false-Van]:11 15 (11.0:37.0)[false-City Cargo Bike]:23 22 (23.0:49.0)[false-Van]:36 18 (36.0:11.0)[false-City Cargo Bike]:41 13 (41.0:3.0)[false-City Cargo Bike]:19 9 (19.0:3.0)[false-City Cargo Bike]:17 13 (17.0:9.0)[false-City Cargo Bike]:43 22 (43.0:17.0)[false-City Cargo Bike]:6 2 (6.0:59.0)[false-City Cargo Bike]:22 9 (22.0:51.0)[false-City Cargo Bike]:24 18 (24.0:81.0)[false-City Cargo Bike]:21 6 (21.0:29.0)[false-City Cargo Bike]:37 3 (37.0:59.0)[false-City Cargo Bike]:4 1 (4.0:51.0)[false-City Cargo Bike]:27 24 (27.0:91.0)[false-City Cargo Bike]:16 23 (16.0:23.0)[false-City Cargo Bike]:18 19 (18.0:73.0)[false-City Cargo Bike]:29 4 (29.0:61.0)[false-City Cargo Bike]:46 2 (46.0:97.0)[false-Van]:39 1 (39.0:77.0)[false-City Cargo Bike]:32 13 (32.0:21.0)[false-Van]:45 21 (45.0:23.0)[false-Van]:26 20 (26.0:21.0)[false-Van]:25 19 (25.0:7.0)[false-Van]:20 12 (20.0:41.0)[false-City Cargo Bike]:10 10 (10.0:77.0)[false-City Cargo Bike]:33 12 (33.0:59.0)[false-Van]:40 17 (40.0:47.0)[false-Walker]:31 15 (31.0:83.0)[false-City Cargo Bike]:14 10 (14.0:95.0)[false-Walker]:44 20 (44.0:91.0)[false-City Cargo Bike]:7 13 (7.0:93.0)[false-City Cargo Bike]:15 12 (15.0:87.0)[false-Van]:,SOL:R:Van::R:Van:13:42:30:2:12:5::R:Van:38:9:34:28:35:8:3::R:City Cargo Bike:11::R:Van:23:36:41:19:17:43:6::R:City Cargo Bike:22::R:City Cargo Bike:24::R:City Cargo Bike:21:37:4::R:City Cargo Bike:27::R:City Cargo Bike:16::R:City Cargo Bike:18::R:City Cargo Bike:29:46:39::R:Van:32:45:26:25:20:10::R:Van:33:40:31:14:44:7:15:,34634.52015017097,14.0,30209.088805114807,148932.67119364042,1120.0,147812.67119364042,7438.632564820333,NaN,3309.6149154142313,671.3130845581068,43.0,0.0,0.0,57.0,73.0,0.0,0.0,27.0,17.0,0.0,0.0,83.0,79.0,0.0,0.0,21.0,AddRoute:LargeVan:simple
0:0:1:1,63527.543654714784,0,0,1,1,33 12 (33.0:59.0)[false-Van]:40 17 (40.0:47.0)[false-City Cargo Bike]:19 9 (19.0:3.0)[false-City Cargo Bike]:2 12 (2.0:7.0)[false-Van]:24 18 (24.0:81.0)[false-Walker]:5 20 (5.0:81.0)[false-City Cargo Bike]:4 1 (4.0:51.0)[true-Walker]:20 12 (20.0:41.0)[false-City Cargo Bike]:9 7 (9.0:35.0)[true-Van]:26 20 (26.0:21.0)[false-City Cargo Bike]:16 23 (16.0:23.0)[false-City Cargo Bike]:32 13 (32.0:21.0)[false-City Cargo Bike]:37 3 (37.0:59.0)[false-City Cargo Bike]:21 6 (21.0:29.0)[false-City Cargo Bike]:10 10 (10.0:77.0)[false-Walker]:11 15 (11.0:37.0)[true-City Cargo Bike]:6 2 (6.0:59.0)[false-City Cargo Bike]:35 7 (35.0:9.0)[false-City Cargo Bike]:23 22 (23.0:49.0)[false-City Cargo Bike]:8 20 (8.0:43.0)[false-City Cargo Bike]:12 7 (12.0:37.0)[false-City Cargo Bike]:14 10 (14.0:95.0)[false-City Cargo Bike]:31 15 (31.0:83.0)[false-City Cargo Bike]:29 4 (29.0:61.0)[false-City Cargo Bike]:34 3 (34.0:27.0)[false-City Cargo Bike]:39 1 (39.0:77.0)[false-City Cargo Bike]:7 13 (7.0:93.0)[false-City Cargo Bike]:46 2 (46.0:97.0)[true-Van]:36 18 (36.0:11.0)[false-Van]:45 21 (45.0:23.0)[false-City Cargo Bike]:30 20 (30.0:27.0)[false-City Cargo Bike]:3 26 (3.0:77.0)[false-Van]:43 22 (43.0:17.0)[false-City Cargo Bike]:38 23 (38.0:67.0)[false-Van]:41 13 (41.0:3.0)[false-City Cargo Bike]:13 24 (13.0:27.0)[false-Van]:42 6 (42.0:33.0)[false-Van]:27 24 (27.0:91.0)[false-City Cargo Bike]:18 19 (18.0:73.0)[false-City Cargo Bike]:22 9 (22.0:51.0)[true-Walker]:28 10 (28.0:17.0)[true-Van]:25 19 (25.0:7.0)[false-Van]:17 13 (17.0:9.0)[false-Van]:44 20 (44.0:91.0)[false-City Cargo Bike]:15 12 (15.0:87.0)[false-Van]:,SOL:R:Van:33:40:19:2:24:5::R:Walker:4::R:City Cargo Bike:20::R:Van:9:26:16:32:37:21:10::R:City Cargo Bike:11::R:City Cargo Bike:6:35::R:City Cargo Bike:23::R:City Cargo Bike:8::R:City Cargo Bike:12::R:City Cargo Bike:14::R:City Cargo Bike:31::R:City Cargo Bike:29:34:39::R:City Cargo Bike:7::R:Van:46:36:45:30:3::R:City Cargo Bike:43::R:Van:38:41:13:42:27::R:City Cargo Bike:18::R:Walker:22::R:Van:28:25:17:44:15:,63527.543654714784,19.0,37699.93435835091,226374.91664114196,1300.0,225074.91664114196,7466.0397696566215,1866.6823377836924,5030.553703136488,837.7763190744647,26.0,11.0,0.0,63.0,62.0,4.0,0.0,33.0,12.0,10.0,0.0,78.0,70.0,2.0,0.0,29.0,DelRoute:LargeVan:simple
0:0:1:2,114979.92453930309,0,0,1,2,5 20 (5.0:81.0)[false-Van]:12 7 (12.0:37.0)[false-City Cargo Bike]:9 7 (9.0:35.0)[false-City Cargo Bike]:21 6 (21.0:29.0)[false-City Cargo Bike]:34 3 (34.0:27.0)[false-City Cargo Bike]:35 7 (35.0:9.0)[false-City Cargo Bike]:3 26 (3.0:77.0)[false-Van]:23 22 (23.0:49.0)[false-Van]:36 18 (36.0:11.0)[false-City Cargo Bike]:41 13 (41.0:3.0)[false-City Cargo Bike]:19 9 (19.0:3.0)[false-City Cargo Bike]:17 13 (17.0:9.0)[false-City Cargo Bike]:31 15 (31.0:83.0)[false-City Cargo Bike]:43 22 (43.0:17.0)[false-City Cargo Bike]:37 3 (37.0:59.0)[false-Van]:33 12 (33.0:59.0)[false-Van]:45 21 (45.0:23.0)[false-City Cargo Bike]:28 10 (28.0:17.0)[false-City Cargo Bike]:30 20 (30.0:27.0)[false-City Cargo Bike]:38 23 (38.0:67.0)[false-City Cargo Bike]:22 9 (22.0:51.0)[false-City Cargo Bike]:4 1 (4.0:51.0)[false-Van]:7 13 (7.0:93.0)[true-Van]:20 12 (20.0:41.0)[false-City Cargo Bike]:15 12 (15.0:87.0)[false-City Cargo Bike]:24 18 (24.0:81.0)[false-City Cargo Bike]:14 10 (14.0:95.0)[false-Van]:27 24 (27.0:91.0)[false-City Cargo Bike]:10 10 (10.0:77.0)[false-Van]:11 15 (11.0:37.0)[false-City Cargo Bike]:8 20 (8.0:43.0)[false-City Cargo Bike]:13 24 (13.0:27.0)[false-City Cargo Bike]:26 20 (26.0:21.0)[false-City Cargo Bike]:18 19 (18.0:73.0)[false-City Cargo Bike]:42 6 (42.0:33.0)[false-City Cargo Bike]:6 2 (6.0:59.0)[false-City Cargo Bike]:40 17 (40.0:47.0)[false-City Cargo Bike]:2 12 (2.0:7.0)[false-City Cargo Bike]:44 20 (44.0:91.0)[false-City Cargo Bike]:32 13 (32.0:21.0)[false-City Cargo Bike]:16 23 (16.0:23.0)[false-City Cargo Bike]:46 2 (46.0:97.0)[false-City Cargo Bike]:39 1 (39.0:77.0)[false-City Cargo Bike]:29 4 (29.0:61.0)[false-City Cargo Bike]:25 19 (25.0:7.0)[false-City Cargo Bike]:,SOL:R:Van:5:12:9:21:34:35:3:23::R:City Cargo Bike:36::R:City Cargo Bike:41::R:City Cargo Bike:19::R:City Cargo Bike:17::R:City Cargo Bike:31::R:City Cargo Bike:43::R:Van:37:33:45:28:30:38:22:4::R:Van:7:20:15:24:14:27:10::R:City Cargo Bike:11::R:City Cargo Bike:8::R:City Cargo Bike:13::R:City Cargo Bike:26::R:City Cargo Bike:18::R:City Cargo Bike:42:6::R:City Cargo Bike:40::R:City Cargo Bike:2::R:City Cargo Bike:44::R:City Cargo Bike:32::R:City Cargo Bike:16::R:City Cargo Bike:46:39:29::R:City Cargo Bike:25:,114979.92453930309,22.0,37184.28958155024,327949.0019906368,1310.0,326639.0019906368,7419.735743070941,2637.965227298465,7287.755599791929,826.317546256672,14.0,0.0,0.0,86.0,51.0,0.0,0.0,49.0,6.0,0.0,0.0,94.0,49.0,0.0,0.0,51.0,RndSwap:simple
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
