Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,,RawDistance,RawNoRoutes,RawCO2,RawTotalCost,RawFixedCost,RawRunningCost,RawTimeOfLastDel,RawAvgDelTime,RawCostPerDelivery,RawCO2PerDelivery,RawPCICRoutes,RawPCWalkRoutes,RawPCEVRoutes,RawPCCycleRoutes,RawPCICVisits,RawPCWalkVisits,RawPCEVVisits,RawPCCycleVisits,RawPCICDist,RawPCWalkDist,RawPCEVDist,RawPCCycleDist,RawPCICVol,RawPCWalkVol,RawPCEVVol,RawPCCycleVol,source
0:0:0:0,13204.99725710582,0,0,0,0,34 7 (34.0:19.0)[false-Van]:24 16 (24.0:41.0)[false-City Cargo Bike]:16 14 (16.0:53.0)[false-Van]:22 3 (22.0:1.0)[false-City Cargo Bike]:26 10 (26.0:3.0)[false-Walker]:19 13 (19.0:25.0)[false-Van]:18 6 (18.0:47.0)[false-City Cargo Bike]:32 2 (32.0:37.0)[false-Walker]:15 24 (15.0:7.0)[false-Van]:30 6 (30.0:55.0)[true-Van]:25 22 (25.0:75.0)[false-City Cargo Bike]:37 19 (37.0:41.0)[false-City Cargo Bike]:21 3 (21.0:45.0)[false-City Cargo Bike]:39 7 (39.0:45.0)[false-City Cargo Bike]:2 5 (2.0:43.0)[false-Van]:13 21 (13.0:27.0)[false-Van]:14 3 (14.0:15.0)[false-City Cargo Bike]:11 16 (11.0:69.0)[true-Van]:17 6 (17.0:75.0)[false-City Cargo Bike]:3 24 (3.0:79.0)[false-Walker]:8 15 (8.0:81.0)[false-City Cargo Bike]:4 3 (4.0:93.0)[false-Van]:29 24 (29.0:21.0)[false-City Cargo Bike]:9 3 (9.0:27.0)[false-Van]:6 26 (6.0:67.0)[true-Van]:33 13 (33.0:73.0)[false-City Cargo Bike]:23 20 (23.0:93.0)[false-Van]:28 20 (28.0:57.0)[false-City Cargo Bike]:10 20 (10.0:27.0)[false-Walker]:31 1 (31.0:3.0)[true-City Cargo Bike]:12 9 (12.0:31.0)[false-City Cargo Bike]:20 5 (20.0:1.0)[true-Walker]:7 23 (7.0:31.0)[false-Van]:27 12 (27.0:51.0)[false-Van]:35 6 (35.0:75.0)[false-Van]:36 24 (36.0:93.0)[false-Van]:38 4 (38.0:97.0)[false-Van]:5 20 (5.0:13.0)[false-Van]:,SOL:R:Van:34:24:16:22:26:19:18:32:15::R:Van:30:25:37:21:39:2:13:14::R:Van:11:17:3:8:4:29:9::R:Van:6:33:23:28:10::R:City Cargo Bike:31:12::R:Walker:20::R:Van:7:27:35:36:38:5:,13204.99725710582,7.0,41006.803218117566,133727.6828813173,700.0,133027.6828813173,7956.097076464663,1318.9180354473826,3519.14954950835,1079.1264004767781,71.0,14.0,0.0,14.0,92.0,3.0,0.0,5.0,62.0,17.0,0.0,21.0,97.0,1.0,0.0,2.0,RndSwap:simple
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:0,16058.987262882189,0,0,1,0,34 7 (34.0:19.0)[true-Van]:24 16 (24.0:41.0)[false-City Cargo Bike]:16 14 (16.0:53.0)[false-Van]:22 3 (22.0:1.0)[false-City Cargo Bike]:19 13 (19.0:25.0)[false-Van]:18 6 (18.0:47.0)[false-City Cargo Bike]:32 2 (32.0:37.0)[false-Walker]:15 24 (15.0:7.0)[false-Van]:30 6 (30.0:55.0)[true-Van]:25 22 (25.0:75.0)[false-City Cargo Bike]:37 19 (37.0:41.0)[false-City Cargo Bike]:21 3 (21.0:45.0)[false-City Cargo Bike]:39 7 (39.0:45.0)[false-City Cargo Bike]:2 5 (2.0:43.0)[false-Van]:13 21 (13.0:27.0)[false-Van]:14 3 (14.0:15.0)[false-City Cargo Bike]:11 16 (11.0:69.0)[true-Van]:17 6 (17.0:75.0)[false-City Cargo Bike]:3 24 (3.0:79.0)[false-Walker]:8 15 (8.0:81.0)[false-City Cargo Bike]:4 3 (4.0:93.0)[false-Van]:29 24 (29.0:21.0)[false-City Cargo Bike]:9 3 (9.0:27.0)[false-Van]:6 26 (6.0:67.0)[true-Van]:33 13 (33.0:73.0)[false-City Cargo Bike]:23 20 (23.0:93.0)[false-Van]:28 20 (28.0:57.0)[false-City Cargo Bike]:10 20 (10.0:27.0)[false-Walker]:31 1 (31.0:3.0)[true-City Cargo Bike]:12 9 (12.0:31.0)[false-City Cargo Bike]:20 5 (20.0:1.0)[true-Walker]:26 10 (26.0:3.0)[false-Walker]:7 23 (7.0:31.0)[false-Van]:27 12 (27.0:51.0)[false-Van]:35 6 (35.0:75.0)[false-Van]:36 24 (36.0:93.0)[false-Van]:38 4 (38.0:97.0)[false-Van]:5 20 (5.0:13.0)[false-Van]:,SOL:R:Van::R:Van:34:24:16:22:19:18:32:15::R:Van:30:25:37:21:39:2:13:14::R:Van:11:17:3:8:4:29:9::R:Van:6:33:23:28:10::R:City Cargo Bike:31:12::R:Walker:20::R:Walker:26::R:Van:7:27:35:36:38:5:,16058.987262882189,9.0,41006.803218117566,139605.66289287005,870.0,138735.66289287005,7837.342843765797,NaN,3673.8332340228962,1079.1264004767781,67.0,22.0,0.0,11.0,89.0,5.0,0.0,5.0,51.0,32.0,0.0,17.0,95.0,3.0,0.0,2.0,RndSwap:simple
0:0:1:1,58806.1568721647,0,0,1,1,34 7 (34.0:19.0)[false-Van]:39 7 (39.0:45.0)[false-Van]:3 24 (3.0:79.0)[false-Van]:24 16 (24.0:41.0)[false-Van]:16 14 (16.0:53.0)[false-Van]:14 3 (14.0:15.0)[false-City Cargo Bike]:19 13 (19.0:25.0)[true-Van]:33 13 (33.0:73.0)[false-City Cargo Bike]:18 6 (18.0:47.0)[false-City Cargo Bike]:32 2 (32.0:37.0)[false-Walker]:15 24 (15.0:7.0)[false-Van]:30 6 (30.0:55.0)[true-Walker]:28 20 (28.0:57.0)[false-City Cargo Bike]:25 22 (25.0:75.0)[false-City Cargo Bike]:37 19 (37.0:41.0)[false-City Cargo Bike]:21 3 (21.0:45.0)[false-City Cargo Bike]:23 20 (23.0:93.0)[false-Van]:29 24 (29.0:21.0)[false-City Cargo Bike]:2 5 (2.0:43.0)[false-Van]:13 21 (13.0:27.0)[false-Van]:11 16 (11.0:69.0)[true-Van]:17 6 (17.0:75.0)[false-City Cargo Bike]:8 15 (8.0:81.0)[false-City Cargo Bike]:4 3 (4.0:93.0)[false-Van]:9 3 (9.0:27.0)[false-Van]:6 26 (6.0:67.0)[true-City Cargo Bike]:31 1 (31.0:3.0)[true-City Cargo Bike]:12 9 (12.0:31.0)[false-City Cargo Bike]:20 5 (20.0:1.0)[true-Walker]:22 3 (22.0:1.0)[true-Van]:26 10 (26.0:3.0)[false-Walker]:27 12 (27.0:51.0)[false-Van]:36 24 (36.0:93.0)[false-Van]:7 23 (7.0:31.0)[false-Van]:5 20 (5.0:13.0)[false-City Cargo Bike]:38 4 (38.0:97.0)[true-City Cargo Bike]:35 6 (35.0:75.0)[false-Van]:10 20 (10.0:27.0)[false-Walker]:,SOL:R:Van:34:39:3:24:16:14::R:Van:19:33:18:32:15::R:Walker:30::R:City Cargo Bike:28::R:City Cargo Bike:25::R:City Cargo Bike:37::R:City Cargo Bike:21::R:Van:23:29:2:13::R:Van:11:17:8:4:9::R:City Cargo Bike:6::R:City Cargo Bike:31:12::R:Walker:20::R:Van:22:26:27:36:7:5::R:City Cargo Bike:38:35::R:Walker:10:,58806.1568721647,15.0,41818.48093393026,227440.36417254808,1100.0,226340.36417254808,7472.561236808639,2420.5815256861147,5985.272741382844,1100.4863403665859,33.0,20.0,0.0,47.0,68.0,8.0,0.0,24.0,14.0,18.0,0.0,68.0,70.0,7.0,0.0,23.0,DelRoute:LargeVan:simple
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
