Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,source
0:0:0:0:0,34965.5357492944,0,0,0,0,0,3 3 (3.0:5.0)[true-Van]:59 5 (59.0:6.0)[false-Van-30]:35 21 (35.0:26.0)[false-Van]:11 22 (11.0:1.0)[false-Van]:26 16 (26.0:73.0)[false-City Cargo Bike]:25 8 (25.0:2.0)[false-Van]:7 2 (7.0:29.0)[false-City Cargo Bike]:8 23 (8.0:51.0)[false-Van]:68 17 (68.0:36.0)[false-Van]:64 3 (64.0:77.0)[false-Van-30]:9 8 (9.0:7.0)[false-Van]:60 9 (60.0:28.0)[false-Van]:18 18 (18.0:16.0)[false-City Cargo Bike]:42 17 (42.0:8.0)[false-City Cargo Bike]:10 9 (10.0:25.0)[false-Van]:12 12 (12.0:72.0)[false-Van]:27 26 (27.0:12.0)[false-Van]:58 12 (58.0:10.0)[false-City Cargo Bike]:13 20 (13.0:28.0)[false-City Cargo Bike]:6 2 (6.0:45.0)[false-Van]:15 9 (15.0:46.0)[false-Van]:14 21 (14.0:52.0)[false-Van]:2 10 (2.0:63.0)[false-Van]:32 23 (32.0:68.0)[false-City Cargo Bike]:62 21 (62.0:6.0)[false-Van]:33 1 (33.0:32.0)[false-Van]:41 16 (41.0:75.0)[false-Van]:17 11 (17.0:28.0)[false-Van]:67 16 (67.0:58.0)[false-Van]:21 11 (21.0:14.0)[false-Van]:40 2 (40.0:73.0)[false-Van]:5 18 (5.0:59.0)[false-Van]:19 23 (19.0:2.0)[false-Van]:56 22 (56.0:74.0)[false-Van]:31 5 (31.0:30.0)[false-Van-30]:28 19 (28.0:66.0)[false-Van]:24 23 (24.0:73.0)[false-Van]:50 48 (50.0:8.0)[false-City Cargo Bike]:34 2 (34.0:64.0)[false-Van]:47 14 (47.0:52.0)[false-Van]:29 9 (29.0:2.0)[false-Van]:30 18 (30.0:38.0)[false-Van]:36 19 (36.0:62.0)[false-Van]:37 5 (37.0:34.0)[false-Van]:51 12 (51.0:76.0)[false-Van]:38 14 (38.0:8.0)[false-Van]:16 6 (16.0:66.0)[false-City Cargo Bike]:46 11 (46.0:28.0)[false-Van]:54 10 (54.0:78.0)[false-Van]:65 8 (65.0:68.0)[false-Van]:22 3 (22.0:32.0)[false-City Cargo Bike]:48 17 (48.0:60.0)[false-Van]:49 8 (49.0:26.0)[false-Van]:52 9 (52.0:6.0)[false-Van]:45 6 (45.0:26.0)[false-Van]:53 6 (53.0:14.0)[false-Van]:61 8 (61.0:60.0)[false-Van]:4 7 (4.0:71.0)[false-Van]:23 10 (23.0:6.0)[false-Van]:55 19 (55.0:34.0)[false-City Cargo Bike]:43 5 (43.0:36.0)[false-Van]:63 9 (63.0:46.0)[false-Van]:66 9 (66.0:58.0)[false-Van]:39 10 (39.0:77.0)[false-Van]:57 5 (57.0:64.0)[false-Van]:44 16 (44.0:56.0)[false-Van]:20 10 (20.0:79.0)[false-City Cargo Bike]:,SOL:R:Van::R:Van:3:59:35:11:26:25:7:8::R:Van:68:64:9:60:18:42:10:12::R:Van:27:58:13:6:15:14:2::R:City Cargo Bike:32::R:Van:62:33:41:17:67:21:40:5::R:Van:19:56:31:28:24::R:City Cargo Bike:50::R:Van:34:47:29:30:36:37:51:38:16::R:Van:46:54:65:22:48:49:52:45:53:61:4::R:Van:23:55:43:63:66:39:57:44:20:,34965.5357492944,11.0,109208.26404674344,355052.5580201217,1180.0,353872.5580201217,14748.6977822999,NaN,5299.291910748085,1629.974090249902,82.0,0.0,0.0,18.0,97.0,0.0,0.0,3.0,62.0,0.0,0.0,38.0,92.0,0.0,0.0,8.0,AddRoute:LargeVan:simple
0:0:0:0:1,-1.0,0,0,0,0,1,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:0:2,-1.0,0,0,0,0,2,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:0:3,-1.0,0,0,0,0,3,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:0:4,-1.0,0,0,0,0,4,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:1:0,34965.5357492944,0,0,0,1,0,3 3 (3.0:5.0)[false-Van]:59 5 (59.0:6.0)[false-Van-30]:35 21 (35.0:26.0)[false-Van]:11 22 (11.0:1.0)[false-Van]:26 16 (26.0:73.0)[false-City Cargo Bike]:25 8 (25.0:2.0)[false-Van]:7 2 (7.0:29.0)[false-City Cargo Bike]:8 23 (8.0:51.0)[false-Van]:68 17 (68.0:36.0)[false-Van]:64 3 (64.0:77.0)[false-Van-30]:9 8 (9.0:7.0)[false-Van]:60 9 (60.0:28.0)[false-Van]:18 18 (18.0:16.0)[false-City Cargo Bike]:42 17 (42.0:8.0)[false-City Cargo Bike]:10 9 (10.0:25.0)[false-Van]:12 12 (12.0:72.0)[false-Van]:27 26 (27.0:12.0)[false-Van]:58 12 (58.0:10.0)[false-City Cargo Bike]:13 20 (13.0:28.0)[false-City Cargo Bike]:6 2 (6.0:45.0)[false-Van]:15 9 (15.0:46.0)[false-Van]:14 21 (14.0:52.0)[false-Van]:2 10 (2.0:63.0)[false-Van]:32 23 (32.0:68.0)[false-City Cargo Bike]:62 21 (62.0:6.0)[false-Van]:33 1 (33.0:32.0)[false-Van]:41 16 (41.0:75.0)[false-Van]:17 11 (17.0:28.0)[false-Van]:67 16 (67.0:58.0)[false-Van]:21 11 (21.0:14.0)[false-Van]:40 2 (40.0:73.0)[false-Van]:5 18 (5.0:59.0)[false-Van]:19 23 (19.0:2.0)[false-Van]:56 22 (56.0:74.0)[false-Van]:31 5 (31.0:30.0)[false-Van-30]:28 19 (28.0:66.0)[false-Van]:24 23 (24.0:73.0)[false-Van]:50 48 (50.0:8.0)[false-City Cargo Bike]:34 2 (34.0:64.0)[false-Van]:47 14 (47.0:52.0)[false-Van]:29 9 (29.0:2.0)[false-Van]:30 18 (30.0:38.0)[false-Van]:36 19 (36.0:62.0)[false-Van]:37 5 (37.0:34.0)[false-Van]:51 12 (51.0:76.0)[false-Van]:38 14 (38.0:8.0)[false-Van]:16 6 (16.0:66.0)[false-City Cargo Bike]:46 11 (46.0:28.0)[false-Van]:54 10 (54.0:78.0)[false-Van]:65 8 (65.0:68.0)[false-Van]:22 3 (22.0:32.0)[false-City Cargo Bike]:48 17 (48.0:60.0)[false-Van]:49 8 (49.0:26.0)[false-Van]:52 9 (52.0:6.0)[false-Van]:45 6 (45.0:26.0)[false-Van]:53 6 (53.0:14.0)[false-Van]:61 8 (61.0:60.0)[false-Van]:4 7 (4.0:71.0)[false-Van]:23 10 (23.0:6.0)[false-Van]:55 19 (55.0:34.0)[false-City Cargo Bike]:43 5 (43.0:36.0)[false-Van]:63 9 (63.0:46.0)[false-Van]:66 9 (66.0:58.0)[false-Van]:39 10 (39.0:77.0)[false-Van]:57 5 (57.0:64.0)[false-Van]:44 16 (44.0:56.0)[false-Van]:20 10 (20.0:79.0)[false-City Cargo Bike]:,SOL:R:Van:3:59:35:11:26:25:7:8::R:Van:68:64:9:60:18:42:10:12::R:Van:27:58:13:6:15:14:2::R:City Cargo Bike:32::R:Van:62:33:41:17:67:21:40:5::R:Van:19:56:31:28:24::R:City Cargo Bike:50::R:Van:34:47:29:30:36:37:51:38:16::R:Van:46:54:65:22:48:49:52:45:53:61:4::R:Van:23:55:43:63:66:39:57:44:20:,34965.5357492944,10.0,109208.26404674344,354932.5580201217,1060.0,353872.5580201217,14748.6977822999,1811.4409345246597,5297.500865971966,1629.974090249902,80.0,0.0,0.0,20.0,97.0,0.0,0.0,3.0,62.0,0.0,0.0,38.0,92.0,0.0,0.0,8.0,RndSwap:simple
0:0:0:1:1,-1.0,0,0,0,1,1,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:1:2,-1.0,0,0,0,1,2,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:1:3,-1.0,0,0,0,1,3,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:1:4,-1.0,0,0,0,1,4,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
