Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,,RawDistance,RawNoRoutes,RawCO2,RawTotalCost,RawFixedCost,RawRunningCost,RawTimeOfLastDel,RawAvgDelTime,RawCostPerDelivery,RawCO2PerDelivery,RawPCICRoutes,RawPCWalkRoutes,RawPCEVRoutes,RawPCCycleRoutes,RawPCICVisits,RawPCWalkVisits,RawPCEVVisits,RawPCCycleVisits,RawPCICDist,RawPCWalkDist,RawPCEVDist,RawPCCycleDist,RawPCICVol,RawPCWalkVol,RawPCEVVol,RawPCCycleVol,source
0:0:0:0,54312.499288533945,0,0,0,0,4 7 (4.0:7.0)[false-Van]:31 9 (31.0:1.0)[false-Van]:35 9 (35.0:31.0)[false-Van]:37 9 (37.0:29.0)[false-City Cargo Bike]:36 5 (36.0:59.0)[false-City Cargo Bike]:40 19 (40.0:65.0)[false-Van]:60 23 (60.0:65.0)[false-City Cargo Bike]:51 4 (51.0:63.0)[false-Van]:3 2 (3.0:29.0)[false-City Cargo Bike]:24 23 (24.0:43.0)[false-City Cargo Bike]:20 3 (20.0:57.0)[true-Van]:34 6 (34.0:41.0)[false-City Cargo Bike]:39 14 (39.0:63.0)[false-City Cargo Bike]:41 11 (41.0:15.0)[false-City Cargo Bike]:32 11 (32.0:15.0)[false-City Cargo Bike]:45 18 (45.0:21.0)[false-City Cargo Bike]:50 2 (50.0:13.0)[false-City Cargo Bike]:47 1 (47.0:15.0)[false-City Cargo Bike]:21 1 (21.0:11.0)[false-City Cargo Bike]:22 5 (22.0:3.0)[false-Walker]:25 24 (25.0:35.0)[false-City Cargo Bike]:54 21 (54.0:3.0)[false-City Cargo Bike]:26 18 (26.0:19.0)[false-City Cargo Bike]:28 2 (28.0:85.0)[false-City Cargo Bike]:16 5 (16.0:69.0)[false-City Cargo Bike]:5 11 (5.0:1.0)[false-City Cargo Bike]:23 20 (23.0:45.0)[true-Van]:9 23 (9.0:81.0)[false-City Cargo Bike]:12 19 (12.0:7.0)[false-City Cargo Bike]:29 17 (29.0:19.0)[false-City Cargo Bike]:2 16 (2.0:33.0)[false-City Cargo Bike]:52 24 (52.0:95.0)[false-City Cargo Bike]:14 20 (14.0:81.0)[true-Van]:8 21 (8.0:79.0)[false-City Cargo Bike]:59 9 (59.0:45.0)[false-City Cargo Bike]:42 21 (42.0:31.0)[false-City Cargo Bike]:55 11 (55.0:47.0)[false-City Cargo Bike]:15 13 (15.0:37.0)[false-City Cargo Bike]:46 48 (46.0:53.0)[false-City Cargo Bike]:33 2 (33.0:83.0)[false-City Cargo Bike]:38 2 (38.0:93.0)[false-Van]:19 2 (19.0:33.0)[false-City Cargo Bike]:10 10 (10.0:85.0)[false-Van]:13 18 (13.0:95.0)[false-Van]:49 42 (49.0:45.0)[false-Van]:53 18 (53.0:55.0)[false-City Cargo Bike]:6 9 (6.0:49.0)[false-City Cargo Bike]:18 24 (18.0:89.0)[true-Van]:58 22 (58.0:89.0)[false-City Cargo Bike]:43 20 (43.0:57.0)[false-City Cargo Bike]:7 17 (7.0:21.0)[false-City Cargo Bike]:17 11 (17.0:15.0)[true-Van]:30 17 (30.0:83.0)[false-City Cargo Bike]:56 9 (56.0:61.0)[false-City Cargo Bike]:44 21 (44.0:85.0)[false-City Cargo Bike]:57 18 (57.0:85.0)[false-City Cargo Bike]:48 17 (48.0:41.0)[false-City Cargo Bike]:11 6 (11.0:45.0)[false-Van]:27 19 (27.0:83.0)[false-City Cargo Bike]:,SOL:R:Van:4:31:35:37:36:40:60:51:3::R:City Cargo Bike:24::R:Van:20:34:39:41:32:45:50:47:21:22:25::R:City Cargo Bike:54::R:City Cargo Bike:26::R:City Cargo Bike:28:16::R:City Cargo Bike:5::R:Van:23:9:12:29:2::R:City Cargo Bike:52::R:Van:14:8:59:42:55:15::R:City Cargo Bike:46::R:City Cargo Bike:33:38:19::R:Van:10:13:49:53:6::R:Van:18:58:43:7::R:Van:17:30:56:44:57:48:11::R:City Cargo Bike:27:,54312.499288533945,16.0,57128.712915025215,258449.65215613347,1290.0,257159.65215613347,7794.713705828627,1916.5484001575226,4380.502578917516,968.2832697461901,44.0,0.0,0.0,56.0,80.0,0.0,0.0,20.0,21.0,0.0,0.0,79.0,79.0,0.0,0.0,21.0,RndSwap:simple
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:0,54312.499288533945,0,0,1,0,4 7 (4.0:7.0)[true-Van]:31 9 (31.0:1.0)[false-Van]:35 9 (35.0:31.0)[false-Van]:37 9 (37.0:29.0)[false-City Cargo Bike]:36 5 (36.0:59.0)[false-City Cargo Bike]:40 19 (40.0:65.0)[false-Van]:60 23 (60.0:65.0)[false-City Cargo Bike]:51 4 (51.0:63.0)[false-Van]:3 2 (3.0:29.0)[false-City Cargo Bike]:24 23 (24.0:43.0)[false-City Cargo Bike]:20 3 (20.0:57.0)[true-Van]:34 6 (34.0:41.0)[false-City Cargo Bike]:39 14 (39.0:63.0)[false-City Cargo Bike]:41 11 (41.0:15.0)[false-City Cargo Bike]:32 11 (32.0:15.0)[false-City Cargo Bike]:45 18 (45.0:21.0)[false-City Cargo Bike]:50 2 (50.0:13.0)[false-City Cargo Bike]:47 1 (47.0:15.0)[false-City Cargo Bike]:21 1 (21.0:11.0)[false-City Cargo Bike]:22 5 (22.0:3.0)[false-Walker]:25 24 (25.0:35.0)[false-City Cargo Bike]:54 21 (54.0:3.0)[false-City Cargo Bike]:26 18 (26.0:19.0)[false-City Cargo Bike]:28 2 (28.0:85.0)[false-City Cargo Bike]:16 5 (16.0:69.0)[false-City Cargo Bike]:5 11 (5.0:1.0)[false-City Cargo Bike]:23 20 (23.0:45.0)[true-Van]:9 23 (9.0:81.0)[false-City Cargo Bike]:12 19 (12.0:7.0)[false-City Cargo Bike]:29 17 (29.0:19.0)[false-City Cargo Bike]:2 16 (2.0:33.0)[false-City Cargo Bike]:52 24 (52.0:95.0)[false-City Cargo Bike]:14 20 (14.0:81.0)[true-Van]:8 21 (8.0:79.0)[false-City Cargo Bike]:59 9 (59.0:45.0)[false-City Cargo Bike]:42 21 (42.0:31.0)[false-City Cargo Bike]:55 11 (55.0:47.0)[false-City Cargo Bike]:15 13 (15.0:37.0)[false-City Cargo Bike]:46 48 (46.0:53.0)[false-City Cargo Bike]:33 2 (33.0:83.0)[false-City Cargo Bike]:38 2 (38.0:93.0)[false-Van]:19 2 (19.0:33.0)[false-City Cargo Bike]:10 10 (10.0:85.0)[false-Van]:13 18 (13.0:95.0)[false-Van]:49 42 (49.0:45.0)[false-Van]:53 18 (53.0:55.0)[false-City Cargo Bike]:6 9 (6.0:49.0)[false-City Cargo Bike]:18 24 (18.0:89.0)[true-Van]:58 22 (58.0:89.0)[false-City Cargo Bike]:43 20 (43.0:57.0)[false-City Cargo Bike]:7 17 (7.0:21.0)[false-City Cargo Bike]:17 11 (17.0:15.0)[true-Van]:30 17 (30.0:83.0)[false-City Cargo Bike]:56 9 (56.0:61.0)[false-City Cargo Bike]:44 21 (44.0:85.0)[false-City Cargo Bike]:57 18 (57.0:85.0)[false-City Cargo Bike]:48 17 (48.0:41.0)[false-City Cargo Bike]:11 6 (11.0:45.0)[false-Van]:27 19 (27.0:83.0)[false-City Cargo Bike]:,SOL:R:Van::R:Van:4:31:35:37:36:40:60:51:3::R:City Cargo Bike:24::R:Van:20:34:39:41:32:45:50:47:21:22:25::R:City Cargo Bike:54::R:City Cargo Bike:26::R:City Cargo Bike:28:16::R:City Cargo Bike:5::R:Van:23:9:12:29:2::R:City Cargo Bike:52::R:Van:14:8:59:42:55:15::R:City Cargo Bike:46::R:City Cargo Bike:33:38:19::R:Van:10:13:49:53:6::R:Van:18:58:43:7::R:Van:17:30:56:44:57:48:11::R:City Cargo Bike:27:,54312.499288533945,17.0,57128.712915025215,258569.65215613347,1410.0,257159.65215613347,7794.713705828627,NaN,4382.536477222601,968.2832697461901,47.0,0.0,0.0,53.0,80.0,0.0,0.0,20.0,21.0,0.0,0.0,79.0,79.0,0.0,0.0,21.0,AddRoute:LargeVan:simple
0:0:1:1,110367.93935361975,0,0,1,1,49 42 (49.0:45.0)[false-Van]:25 24 (25.0:35.0)[false-Van]:10 10 (10.0:85.0)[false-Van]:6 9 (6.0:49.0)[false-City Cargo Bike]:4 7 (4.0:7.0)[false-City Cargo Bike]:39 14 (39.0:63.0)[true-Van]:34 6 (34.0:41.0)[false-City Cargo Bike]:44 21 (44.0:85.0)[false-City Cargo Bike]:60 23 (60.0:65.0)[false-City Cargo Bike]:40 19 (40.0:65.0)[false-City Cargo Bike]:2 16 (2.0:33.0)[false-City Cargo Bike]:41 11 (41.0:15.0)[true-City Cargo Bike]:8 21 (8.0:79.0)[false-City Cargo Bike]:31 9 (31.0:1.0)[true-Van]:50 2 (50.0:13.0)[false-City Cargo Bike]:47 1 (47.0:15.0)[false-City Cargo Bike]:53 18 (53.0:55.0)[false-City Cargo Bike]:46 48 (46.0:53.0)[false-City Cargo Bike]:21 1 (21.0:11.0)[false-City Cargo Bike]:22 5 (22.0:3.0)[false-City Cargo Bike]:17 11 (17.0:15.0)[true-City Cargo Bike]:45 18 (45.0:21.0)[false-City Cargo Bike]:9 23 (9.0:81.0)[false-City Cargo Bike]:5 11 (5.0:1.0)[false-City Cargo Bike]:26 18 (26.0:19.0)[false-City Cargo Bike]:37 9 (37.0:29.0)[false-City Cargo Bike]:7 17 (7.0:21.0)[false-City Cargo Bike]:29 17 (29.0:19.0)[false-City Cargo Bike]:12 19 (12.0:7.0)[true-Van]:15 13 (15.0:37.0)[false-City Cargo Bike]:55 11 (55.0:47.0)[false-Walker]:16 5 (16.0:69.0)[false-City Cargo Bike]:19 2 (19.0:33.0)[false-City Cargo Bike]:27 19 (27.0:83.0)[true-Van]:18 24 (18.0:89.0)[false-City Cargo Bike]:20 3 (20.0:57.0)[false-Van]:43 20 (43.0:57.0)[false-City Cargo Bike]:59 9 (59.0:45.0)[false-City Cargo Bike]:24 23 (24.0:43.0)[false-City Cargo Bike]:30 17 (30.0:83.0)[false-City Cargo Bike]:32 11 (32.0:15.0)[false-City Cargo Bike]:35 9 (35.0:31.0)[false-City Cargo Bike]:28 2 (28.0:85.0)[false-City Cargo Bike]:33 2 (33.0:83.0)[false-City Cargo Bike]:11 6 (11.0:45.0)[false-City Cargo Bike]:52 24 (52.0:95.0)[false-City Cargo Bike]:13 18 (13.0:95.0)[false-City Cargo Bike]:14 20 (14.0:81.0)[false-City Cargo Bike]:54 21 (54.0:3.0)[false-City Cargo Bike]:57 18 (57.0:85.0)[false-City Cargo Bike]:36 5 (36.0:59.0)[false-City Cargo Bike]:38 2 (38.0:93.0)[false-City Cargo Bike]:42 21 (42.0:31.0)[true-Van]:48 17 (48.0:41.0)[false-City Cargo Bike]:23 20 (23.0:45.0)[false-City Cargo Bike]:51 4 (51.0:63.0)[false-Van]:58 22 (58.0:89.0)[false-Van]:56 9 (56.0:61.0)[false-City Cargo Bike]:3 2 (3.0:29.0)[false-City Cargo Bike]:,SOL:R:Van:49:25:10:6:4::R:Van:39:34:44:60:40:2::R:City Cargo Bike:41::R:City Cargo Bike:8::R:Van:31:50:47:53:46:21:22::R:City Cargo Bike:17::R:City Cargo Bike:45::R:City Cargo Bike:9::R:City Cargo Bike:5::R:City Cargo Bike:26::R:City Cargo Bike:37::R:City Cargo Bike:7::R:City Cargo Bike:29::R:Van:12:15:55:16:19::R:Van:27:18:20:43:59:24::R:City Cargo Bike:30::R:City Cargo Bike:32::R:City Cargo Bike:35::R:City Cargo Bike:28:33:11::R:City Cargo Bike:52::R:City Cargo Bike:13::R:City Cargo Bike:14::R:City Cargo Bike:54::R:City Cargo Bike:57::R:City Cargo Bike:36:38::R:Van:42:48:23:51:58:56:3:,110367.93935361975,26.0,59613.87228508042,377451.9466484486,1720.0,375731.9466484486,7529.312372315543,2116.958615134517,6397.490621160146,1010.404615001363,23.0,0.0,0.0,77.0,61.0,0.0,0.0,39.0,11.0,0.0,0.0,89.0,62.0,0.0,0.0,38.0,RndSwap:simple
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
