Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,,RawDistance,RawNoRoutes,RawCO2,RawTotalCost,RawFixedCost,RawRunningCost,RawTimeOfLastDel,RawAvgDelTime,RawCostPerDelivery,RawCO2PerDelivery,RawPCICRoutes,RawPCWalkRoutes,RawPCEVRoutes,RawPCCycleRoutes,RawPCICVisits,RawPCWalkVisits,RawPCEVVisits,RawPCCycleVisits,RawPCICDist,RawPCWalkDist,RawPCEVDist,RawPCCycleDist,RawPCICVol,RawPCWalkVol,RawPCEVVol,RawPCCycleVol,source
0:0:0:0,-1.0,0,0,0,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:0,-1.0,0,0,1,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:1,-1.0,0,0,1,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:2:0,-1.0,0,0,2,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:2:1,-1.0,0,0,2,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:2:2,-1.0,0,0,2,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:2:3,-1.0,0,0,2,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:2:4,-1.0,0,0,2,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:3:0,-1.0,0,0,3,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:3:1,195022.7497860878,0,0,3,1,12 8 (12.0:78.0)[false-City Cargo Bike]:9 14 (9.0:24.0)[false-City Cargo Bike]:2 8 (2.0:73.0)[false-City Cargo Bike]:5 19 (5.0:34.0)[false-City Cargo Bike]:6 9 (6.0:58.0)[false-City Cargo Bike]:8 9 (8.0:18.0)[false-City Cargo Bike]:31 24 (31.0:63.0)[false-City Cargo Bike]:18 14 (18.0:39.0)[false-City Cargo Bike]:24 18 (24.0:58.0)[false-City Cargo Bike]:26 24 (26.0:38.0)[false-City Cargo Bike]:10 3 (10.0:17.0)[false-City Cargo Bike]:16 4 (16.0:32.0)[false-City Cargo Bike]:22 2 (22.0:79.0)[false-City Cargo Bike]:20 18 (20.0:42.0)[false-City Cargo Bike]:27 8 (27.0:63.0)[false-City Cargo Bike]:15 18 (15.0:2.0)[false-City Cargo Bike]:28 24 (28.0:42.0)[false-City Cargo Bike]:29 14 (29.0:32.0)[false-City Cargo Bike]:41 13 (41.0:48.0)[false-City Cargo Bike]:38 24 (38.0:87.0)[false-City Cargo Bike]:7 18 (7.0:33.0)[false-City Cargo Bike]:32 23 (32.0:22.0)[false-City Cargo Bike]:33 9 (33.0:88.0)[false-City Cargo Bike]:3 24 (3.0:13.0)[false-City Cargo Bike]:19 8 (19.0:87.0)[false-City Cargo Bike]:35 14 (35.0:43.0)[false-City Cargo Bike]:21 13 (21.0:83.0)[false-City Cargo Bike]:34 13 (34.0:58.0)[false-City Cargo Bike]:13 8 (13.0:42.0)[false-City Cargo Bike]:36 14 (36.0:73.0)[false-City Cargo Bike]:37 18 (37.0:17.0)[false-City Cargo Bike]:23 9 (23.0:22.0)[false-City Cargo Bike]:4 9 (4.0:37.0)[false-City Cargo Bike]:17 24 (17.0:97.0)[false-City Cargo Bike]:40 8 (40.0:48.0)[false-City Cargo Bike]:25 3 (25.0:53.0)[false-City Cargo Bike]:14 13 (14.0:1.0)[false-City Cargo Bike]:42 4 (42.0:7.0)[false-City Cargo Bike]:39 4 (39.0:12.0)[false-City Cargo Bike]:43 14 (43.0:98.0)[false-City Cargo Bike]:11 14 (11.0:72.0)[false-City Cargo Bike]:30 13 (30.0:38.0)[false-City Cargo Bike]:44 18 (44.0:34.0)[false-City Cargo Bike]:,SOL:R:City Cargo Bike:12::R:City Cargo Bike:9::R:City Cargo Bike:2::R:City Cargo Bike:5::R:City Cargo Bike:6::R:City Cargo Bike:8::R:City Cargo Bike:31::R:City Cargo Bike:18::R:City Cargo Bike:24::R:City Cargo Bike:26::R:City Cargo Bike:10:16:22::R:City Cargo Bike:20::R:City Cargo Bike:27::R:City Cargo Bike:15::R:City Cargo Bike:28::R:City Cargo Bike:29::R:City Cargo Bike:41::R:City Cargo Bike:38::R:City Cargo Bike:7::R:City Cargo Bike:32::R:City Cargo Bike:33::R:City Cargo Bike:3::R:City Cargo Bike:19::R:City Cargo Bike:35::R:City Cargo Bike:21::R:City Cargo Bike:34::R:City Cargo Bike:13::R:City Cargo Bike:36::R:City Cargo Bike:37::R:City Cargo Bike:23::R:City Cargo Bike:4::R:City Cargo Bike:17::R:City Cargo Bike:40::R:City Cargo Bike:25::R:City Cargo Bike:14::R:City Cargo Bike:42:39::R:City Cargo Bike:43::R:City Cargo Bike:11::R:City Cargo Bike:30::R:City Cargo Bike:44:,195022.7497860878,40.0,0.0,392045.4995721756,2000.0,390045.4995721756,4723.337354814639,2357.0153766022013,9117.337199352922,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,init
0:0:3:2,-1.0,0,0,3,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:3:3,-1.0,0,0,3,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:3:4,-1.0,0,0,3,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
