Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,,RawDistance,RawNoRoutes,RawCO2,RawTotalCost,RawFixedCost,RawRunningCost,RawTimeOfLastDel,RawAvgDelTime,RawCostPerDelivery,RawCO2PerDelivery,RawPCICRoutes,RawPCWalkRoutes,RawPCEVRoutes,RawPCCycleRoutes,RawPCICVisits,RawPCWalkVisits,RawPCEVVisits,RawPCCycleVisits,RawPCICDist,RawPCWalkDist,RawPCEVDist,RawPCCycleDist,RawPCICVol,RawPCWalkVol,RawPCEVVol,RawPCCycleVol,source
0:0:0:0,-1.0,0,0,0,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:0,-1.0,0,0,1,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:1,-1.0,0,0,1,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:2:0,-1.0,0,0,2,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:2:1,-1.0,0,0,2,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:2:2,-1.0,0,0,2,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:2:3,-1.0,0,0,2,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:2:4,-1.0,0,0,2,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:3:0,-1.0,0,0,3,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:3:1,-1.0,0,0,3,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:3:2,-1.0,0,0,3,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:3:3,-1.0,0,0,3,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:3:4,-1.0,0,0,3,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:4:0,-1.0,0,0,4,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:4:1,157559.92088333526,0,0,4,1,30 18 (30.0:96.0)[false-City Cargo Bike]:31 26 (31.0:57.0)[false-City Cargo Bike]:4 23 (4.0:25.0)[false-City Cargo Bike]:11 19 (11.0:42.0)[false-City Cargo Bike]:6 7 (6.0:13.0)[false-City Cargo Bike]:13 2 (13.0:25.0)[false-City Cargo Bike]:8 12 (8.0:84.0)[false-City Cargo Bike]:33 21 (33.0:68.0)[false-City Cargo Bike]:35 19 (35.0:51.0)[false-City Cargo Bike]:9 20 (9.0:34.0)[false-City Cargo Bike]:19 8 (19.0:66.0)[false-City Cargo Bike]:17 17 (17.0:87.0)[false-City Cargo Bike]:26 4 (26.0:82.0)[false-City Cargo Bike]:23 12 (23.0:19.0)[false-City Cargo Bike]:36 66 (36.0:83.0)[false-City Cargo Bike]:3 23 (3.0:4.0)[false-City Cargo Bike]:15 13 (15.0:75.0)[false-City Cargo Bike]:10 19 (10.0:19.0)[false-City Cargo Bike]:22 19 (22.0:21.0)[false-City Cargo Bike]:25 18 (25.0:94.0)[false-City Cargo Bike]:16 19 (16.0:61.0)[false-City Cargo Bike]:21 5 (21.0:47.0)[false-City Cargo Bike]:5 5 (5.0:67.0)[false-City Cargo Bike]:34 8 (34.0:16.0)[false-City Cargo Bike]:24 9 (24.0:1.0)[false-City Cargo Bike]:2 1 (2.0:29.0)[false-City Cargo Bike]:27 20 (27.0:41.0)[false-City Cargo Bike]:7 18 (7.0:62.0)[false-City Cargo Bike]:12 16 (12.0:40.0)[false-City Cargo Bike]:20 10 (20.0:46.0)[false-City Cargo Bike]:32 21 (32.0:47.0)[false-City Cargo Bike]:37 21 (37.0:84.0)[false-City Cargo Bike]:28 8 (28.0:100.0)[false-City Cargo Bike]:29 3 (29.0:1.0)[false-City Cargo Bike]:14 26 (14.0:63.0)[false-City Cargo Bike]:18 14 (18.0:54.0)[false-City Cargo Bike]:,SOL:R:City Cargo Bike::R:City Cargo Bike:30::R:City Cargo Bike:31::R:City Cargo Bike:4::R:City Cargo Bike:11::R:City Cargo Bike:6:13::R:City Cargo Bike:8::R:City Cargo Bike:33::R:City Cargo Bike:35::R:City Cargo Bike:9::R:City Cargo Bike:19::R:City Cargo Bike:17::R:City Cargo Bike:26::R:City Cargo Bike:23::R:City Cargo Bike:36::R:City Cargo Bike:3::R:City Cargo Bike:15::R:City Cargo Bike:10::R:City Cargo Bike:22::R:City Cargo Bike:25::R:City Cargo Bike:16::R:City Cargo Bike:21:5::R:City Cargo Bike:34::R:City Cargo Bike:24:2::R:City Cargo Bike:27::R:City Cargo Bike:7::R:City Cargo Bike:12::R:City Cargo Bike:20::R:City Cargo Bike:32::R:City Cargo Bike:37::R:City Cargo Bike:28::R:City Cargo Bike:29::R:City Cargo Bike:14::R:City Cargo Bike:18:,157559.92088333526,34.0,0.0,316819.8417666705,1700.0,315119.8417666705,6668.538196264518,NaN,8800.551160185292,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,init
0:0:4:2,-1.0,0,0,4,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
