Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,z,source
0:0:0:0,-1.0,0,0,0,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:1:0,82459.45436451849,0,0,1,0,52 18 (52.0:1.0)[false-Van]:43 14 (43.0:9.0)[false-City Cargo Bike]:26 23 (26.0:47.0)[false-City Cargo Bike]:29 22 (29.0:60.0)[false-City Cargo Bike]:30 7 (30.0:58.0)[false-City Cargo Bike]:20 11 (20.0:58.0)[false-City Cargo Bike]:5 4 (5.0:25.0)[false-City Cargo Bike]:4 25 (4.0:16.0)[false-City Cargo Bike]:3 12 (3.0:10.0)[true-Van]:8 21 (8.0:14.0)[false-City Cargo Bike]:32 15 (32.0:9.0)[false-City Cargo Bike]:41 3 (41.0:49.0)[false-City Cargo Bike]:39 18 (39.0:57.0)[false-City Cargo Bike]:28 15 (28.0:60.0)[false-City Cargo Bike]:17 6 (17.0:57.0)[false-City Cargo Bike]:9 10 (9.0:42.0)[false-City Cargo Bike]:33 22 (33.0:47.0)[false-City Cargo Bike]:14 17 (14.0:65.0)[true-Van]:23 10 (23.0:50.0)[false-City Cargo Bike]:40 13 (40.0:81.0)[false-City Cargo Bike]:24 19 (24.0:84.0)[false-City Cargo Bike]:36 25 (36.0:88.0)[false-City Cargo Bike]:11 13 (11.0:41.0)[false-City Cargo Bike]:13 16 (13.0:41.0)[false-City Cargo Bike]:22 22 (22.0:41.0)[false-City Cargo Bike]:15 11 (15.0:13.0)[true-Van]:16 36 (16.0:21.0)[false-City Cargo Bike]:18 7 (18.0:14.0)[false-City Cargo Bike]:12 14 (12.0:21.0)[false-City Cargo Bike]:10 20 (10.0:90.0)[false-City Cargo Bike]:6 11 (6.0:41.0)[false-City Cargo Bike]:19 21 (19.0:66.0)[false-City Cargo Bike]:7 20 (7.0:81.0)[false-City Cargo Bike]:21 17 (21.0:5.0)[false-City Cargo Bike]:35 24 (35.0:15.0)[false-City Cargo Bike]:42 20 (42.0:51.0)[false-City Cargo Bike]:54 11 (54.0:46.0)[true-Walker]:31 11 (31.0:30.0)[false-City Cargo Bike]:27 19 (27.0:11.0)[false-City Cargo Bike]:46 66 (46.0:89.0)[false-City Cargo Bike]:2 3 (2.0:94.0)[false-City Cargo Bike]:48 7 (48.0:69.0)[false-City Cargo Bike]:25 21 (25.0:97.0)[false-City Cargo Bike]:51 5 (51.0:74.0)[false-City Cargo Bike]:37 2 (37.0:33.0)[false-City Cargo Bike]:55 12 (55.0:74.0)[false-Van]:49 12 (49.0:75.0)[false-City Cargo Bike]:45 10 (45.0:95.0)[false-City Cargo Bike]:53 7 (53.0:96.0)[false-Van]:50 24 (50.0:97.0)[false-City Cargo Bike]:44 10 (44.0:84.0)[false-City Cargo Bike]:47 10 (47.0:10.0)[false-City Cargo Bike]:38 15 (38.0:21.0)[false-City Cargo Bike]:34 12 (34.0:19.0)[false-City Cargo Bike]:,SOL:R:Van:52:43:26:29:30:20:5::R:City Cargo Bike:4::R:Van:3:8:32:41:39:28:17:9::R:City Cargo Bike:33::R:Van:14:23:40:24:36:11::R:City Cargo Bike:13::R:City Cargo Bike:22::R:Van:15:16:18:12:10:6::R:City Cargo Bike:19::R:City Cargo Bike:7::R:City Cargo Bike:21::R:City Cargo Bike:35::R:City Cargo Bike:42::R:Walker:54::R:City Cargo Bike:31::R:City Cargo Bike:27::R:City Cargo Bike:46::R:City Cargo Bike:2:48::R:City Cargo Bike:25::R:City Cargo Bike:51:37::R:Van:55:49:45:53:50:44:47:38::R:City Cargo Bike:34:,82459.45436451849,22.0,44148.769990868044,281155.71070529387,1450.0,279705.71070529387,6180.765488477972,2025.9709071704472,5206.587235283219,817.5698146457045,23.0,5.0,0.0,73.0,65.0,2.0,0.0,33.0,11.0,7.0,0.0,82.0,59.0,1.0,0.0,40.0,RndSwap:simple
0:0:1:1,89713.82930991215,0,0,1,1,2 3 (2.0:94.0)[false-City Cargo Bike]:30 7 (30.0:58.0)[false-City Cargo Bike]:8 21 (8.0:14.0)[false-City Cargo Bike]:32 15 (32.0:9.0)[false-City Cargo Bike]:4 25 (4.0:16.0)[false-City Cargo Bike]:9 10 (9.0:42.0)[true-Van]:46 66 (46.0:89.0)[false-City Cargo Bike]:13 16 (13.0:41.0)[false-Van]:26 23 (26.0:47.0)[false-City Cargo Bike]:7 20 (7.0:81.0)[false-City Cargo Bike]:34 12 (34.0:19.0)[false-City Cargo Bike]:3 12 (3.0:10.0)[false-City Cargo Bike]:10 20 (10.0:90.0)[true-Van]:20 11 (20.0:58.0)[false-City Cargo Bike]:17 6 (17.0:57.0)[false-City Cargo Bike]:33 22 (33.0:47.0)[false-City Cargo Bike]:39 18 (39.0:57.0)[false-City Cargo Bike]:31 11 (31.0:30.0)[false-City Cargo Bike]:5 4 (5.0:25.0)[false-City Cargo Bike]:22 22 (22.0:41.0)[true-Van]:14 17 (14.0:65.0)[false-City Cargo Bike]:42 20 (42.0:51.0)[false-City Cargo Bike]:54 11 (54.0:46.0)[false-Van]:15 11 (15.0:13.0)[false-City Cargo Bike]:6 11 (6.0:41.0)[false-City Cargo Bike]:24 19 (24.0:84.0)[false-City Cargo Bike]:21 17 (21.0:5.0)[true-Van]:47 10 (47.0:10.0)[false-City Cargo Bike]:52 18 (52.0:1.0)[false-City Cargo Bike]:38 15 (38.0:21.0)[false-City Cargo Bike]:43 14 (43.0:9.0)[false-City Cargo Bike]:27 19 (27.0:11.0)[false-City Cargo Bike]:18 7 (18.0:14.0)[false-City Cargo Bike]:12 14 (12.0:21.0)[false-City Cargo Bike]:16 36 (16.0:21.0)[false-City Cargo Bike]:35 24 (35.0:15.0)[false-City Cargo Bike]:19 21 (19.0:66.0)[false-City Cargo Bike]:44 10 (44.0:84.0)[false-City Cargo Bike]:25 21 (25.0:97.0)[false-City Cargo Bike]:28 15 (28.0:60.0)[false-City Cargo Bike]:29 22 (29.0:60.0)[false-City Cargo Bike]:11 13 (11.0:41.0)[false-City Cargo Bike]:36 25 (36.0:88.0)[false-City Cargo Bike]:48 7 (48.0:69.0)[false-City Cargo Bike]:37 2 (37.0:33.0)[false-City Cargo Bike]:49 12 (49.0:75.0)[true-Van]:50 24 (50.0:97.0)[false-City Cargo Bike]:53 7 (53.0:96.0)[false-Van]:40 13 (40.0:81.0)[false-City Cargo Bike]:45 10 (45.0:95.0)[false-City Cargo Bike]:51 5 (51.0:74.0)[false-Van]:55 12 (55.0:74.0)[false-Van]:41 3 (41.0:49.0)[false-City Cargo Bike]:23 10 (23.0:50.0)[false-City Cargo Bike]:,SOL:R:City Cargo Bike:2:30::R:City Cargo Bike:8::R:City Cargo Bike:32::R:City Cargo Bike:4::R:Van:9:46:13::R:City Cargo Bike:26::R:City Cargo Bike:7::R:City Cargo Bike:34::R:City Cargo Bike:3::R:Van:10:20:17:33:39:31:5::R:Van:22:14:42:54:15:6::R:City Cargo Bike:24::R:Van:21:47:52:38:43:27:18::R:City Cargo Bike:12::R:City Cargo Bike:16::R:City Cargo Bike:35::R:City Cargo Bike:19::R:City Cargo Bike:44::R:City Cargo Bike:25::R:City Cargo Bike:28::R:City Cargo Bike:29::R:City Cargo Bike:11::R:City Cargo Bike:36::R:City Cargo Bike:48:37::R:Van:49:50:53:40:45:51:55:41:23:,89713.82930991215,25.0,47321.02489276849,304062.3233410224,1600.0,302462.3233410224,6237.7221926850525,1838.8259146994114,5630.783765574489,876.3152757920091,20.0,0.0,0.0,80.0,59.0,0.0,0.0,41.0,11.0,0.0,0.0,89.0,56.0,0.0,0.0,44.0,RndSwap:simple
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
